book,sample,rule,name,skipped,n_days,n_skipped_bars_per_day,mean_change_prem_per_day,sd_change_prem_per_day,t_change,mean_change_pts_per_bar,mean_book_pair_pts_per_bar,mean_rule_pair_pts_per_bar,identity_max_abs_diff
exit_1530_crossed,whole,R0,every stamp (the book of record),none,865,0,0.0,0.0,,0.0,,,0.0
exit_1530_crossed,daily_era,R0,every stamp (the book of record),none,489,0,0.0,0.0,,0.0,,,0.0
exit_1530_crossed,whole,R1,skip 12:30,12:30,865,1,9.88938258642938e-07,0.07298654548870215,0.0003985055954002226,-0.02440824353324271,-0.6225901428308689,-0.6469983863641116,5.672545766444159e-16
exit_1530_crossed,daily_era,R1,skip 12:30,12:30,489,1,-0.0016694141617092165,0.07623379919135267,-0.48425148260781276,0.00298408929573275,-0.6197403066604914,-0.6167562173647586,5.672545766444159e-16
exit_1530_crossed,whole,R2,skip 12:30 and 13:00,12:30|13:00,865,2,-0.006530309351656221,0.15747786471663122,-1.2196136919245126,-0.08289640804596077,-0.6825636532952614,-0.7654600613412221,1.1102230246251565e-15
exit_1530_crossed,daily_era,R2,skip 12:30 and 13:00,12:30|13:00,489,2,-0.0045798829335800765,0.17519202210348245,-0.5780887014640974,-0.052764687012778054,-0.75723965721077,-0.8100043442235481,1.1102230246251565e-15
exit_1530_crossed,whole,R3,"skip 12:00, 13:00, 14:00 (hourly through the middle)",12:00|13:00|14:00,865,3,-0.007163697604101511,0.1756749856982617,-1.199320816871109,-0.020353557138478712,-0.8114689463133823,-0.8318225034518609,7.771561172376096e-16
exit_1530_crossed,daily_era,R3,"skip 12:00, 13:00, 14:00 (hourly through the middle)",12:00|13:00|14:00,489,3,-0.012207422718254545,0.1952247601692148,-1.3827495160886527,-0.04597087401681676,-0.8621622980775719,-0.9081331720943887,7.771561172376096e-16
exit_1530_crossed,whole,R4,CONTROL skip 11:30 (sparse at the morning edge),11:30,865,1,-0.005323274782502386,0.11479980500048635,-1.3637846187058915,-0.0369258098542228,-0.834839430154078,-0.8717652400083008,5.793976409762536e-16
exit_1530_crossed,daily_era,R4,CONTROL skip 11:30 (sparse at the morning edge),11:30,489,1,-0.007442937297107364,0.11785934163823823,-1.3964801891619825,-0.14449676411099963,-0.8055542395251492,-0.9500510036361489,5.663872149064275e-16
exit_1530_crossed,whole,R5,CONTROL skip 14:30 (sparse at the afternoon edge),14:30,865,1,-0.0036951912442750117,0.13145487839308415,-0.8267386972365104,0.050031591230807554,-0.8985495764593447,-0.8485179852285373,8.795048023202412e-16
exit_1530_crossed,daily_era,R5,CONTROL skip 14:30 (sparse at the afternoon edge),14:30,489,1,-0.01182275984189198,0.14923996665354916,-1.7518146503029752,-0.07491177755294905,-0.9579282926422765,-1.0328400701952254,8.795048023202412e-16
exit_1530_crossed,whole,R6,"rebalance only 11:00, 12:00, 13:30, 15:00 (diurnal-U)",11:30|12:30|13:00|14:00|14:30,865,5,-0.02973537375085542,0.3264478979226751,-2.6789683262740036,-0.06142266043891405,-0.8100280359746636,-0.8714506964135775,1.0547118733938987e-15
exit_1530_crossed,daily_era,R6,"rebalance only 11:00, 12:00, 13:30, 15:00 (diurnal-U)",11:30|12:30|13:00|14:00|14:30,489,5,-0.05251446221091337,0.389613304471646,-2.9805716972855123,-0.1407821636289395,-0.8455105824313579,-0.9862927460602974,1.0547118733938987e-15
exit_1530_crossed,whole,R7,"hourly 11:00, 12:00, 13:00, 14:00, 15:00 (proposal 29's 60 minutes)",11:30|12:30|13:30|14:30,865,4,-0.014072012745088914,0.209372077491056,-1.9767216148787836,-0.03394049675492133,-0.7695107713308311,-0.8034512680857525,8.326672684688674e-16
exit_1530_crossed,daily_era,R7,"hourly 11:00, 12:00, 13:00, 14:00, 15:00 (proposal 29's 60 minutes)",11:30|12:30|13:30|14:30,489,4,-0.027972101685437224,0.23090090523556003,-2.6788839012176764,-0.08320505249453657,-0.7752577269528662,-0.8584627794474028,8.326672684688674e-16
hold_settlement_crossed,whole,R0,every stamp (the book of record),none,865,0,0.0,0.0,,0.0,,,0.0
hold_settlement_crossed,daily_era,R0,every stamp (the book of record),none,489,0,0.0,0.0,,0.0,,,0.0
hold_settlement_crossed,whole,R1,skip 12:30,12:30,865,1,9.88938258642938e-07,0.07298654548870215,0.0003985055954002226,-0.02440824353324271,-0.6225901428308689,-0.6469983863641116,8.881784197001252e-16
hold_settlement_crossed,daily_era,R1,skip 12:30,12:30,489,1,-0.0016694141617092165,0.07623379919135267,-0.48425148260781276,0.00298408929573275,-0.6197403066604914,-0.6167562173647586,5.39499001028787e-16
hold_settlement_crossed,whole,R2,skip 12:30 and 13:00,12:30|13:00,865,2,-0.006530309351656221,0.15747786471663122,-1.2196136919245126,-0.08289640804596077,-0.6825636532952614,-0.7654600613412221,1.1102230246251565e-15
hold_settlement_crossed,daily_era,R2,skip 12:30 and 13:00,12:30|13:00,489,2,-0.0045798829335800765,0.17519202210348245,-0.5780887014640974,-0.052764687012778054,-0.75723965721077,-0.8100043442235481,1.1102230246251565e-15
hold_settlement_crossed,whole,R3,"skip 12:00, 13:00, 14:00 (hourly through the middle)",12:00|13:00|14:00,865,3,-0.007163697604101511,0.1756749856982617,-1.199320816871109,-0.020353557138478712,-0.8114689463133823,-0.8318225034518609,7.771561172376096e-16
hold_settlement_crossed,daily_era,R3,"skip 12:00, 13:00, 14:00 (hourly through the middle)",12:00|13:00|14:00,489,3,-0.012207422718254545,0.1952247601692148,-1.3827495160886527,-0.04597087401681676,-0.8621622980775719,-0.9081331720943887,7.771561172376096e-16
hold_settlement_crossed,whole,R4,CONTROL skip 11:30 (sparse at the morning edge),11:30,865,1,-0.005323274782502386,0.11479980500048635,-1.3637846187058915,-0.0369258098542228,-0.834839430154078,-0.8717652400083008,6.904199434387692e-16
hold_settlement_crossed,daily_era,R4,CONTROL skip 11:30 (sparse at the morning edge),11:30,489,1,-0.007442937297107364,0.11785934163823823,-1.3964801891619825,-0.14449676411099963,-0.8055542395251492,-0.9500510036361489,5.663872149064275e-16
hold_settlement_crossed,whole,R5,CONTROL skip 14:30 (sparse at the afternoon edge),14:30,865,1,-0.0036951912442750117,0.13145487839308415,-0.8267386972365104,0.050031591230807554,-0.8985495764593447,-0.8485179852285373,8.517492267046123e-16
hold_settlement_crossed,daily_era,R5,CONTROL skip 14:30 (sparse at the afternoon edge),14:30,489,1,-0.01182275984189198,0.14923996665354916,-1.7518146503029752,-0.07491177755294905,-0.9579282926422765,-1.0328400701952254,8.517492267046123e-16
hold_settlement_crossed,whole,R6,"rebalance only 11:00, 12:00, 13:30, 15:00 (diurnal-U)",11:30|12:30|13:00|14:00|14:30,865,5,-0.02973537375085542,0.3264478979226751,-2.6789683262740036,-0.06142266043891405,-0.8100280359746636,-0.8714506964135775,1.0547118733938987e-15
