book,sample,rule,leg,n_days,Sharpe_rule,Sharpe_R0,diff,ci_lo,ci_hi,excludes_zero,B,block,seed
exit_1530_crossed,whole,R1,gross,865,2.1974678514483066,2.2525467094164875,-0.055078857968180905,-0.3082670770304802,0.18007524868099944,False,2000,21,0
exit_1530_crossed,whole,R1,net 0.5 bp,865,0.9344048574776918,0.9020325604270627,0.03237229705062905,-0.2073694617196496,0.2546929361684244,False,2000,21,0
exit_1530_crossed,daily_era,R1,gross,489,2.347520441788008,2.5131321677178393,-0.16561172592983153,-0.5130735640103181,0.1459387931836548,False,2000,21,0
exit_1530_crossed,daily_era,R1,net 0.5 bp,489,1.1322030154949378,1.2022400283088015,-0.07003701281386365,-0.38934554708663155,0.22696249609272912,False,2000,21,0
exit_1530_crossed,whole,R2,gross,865,1.7242863543418327,2.2525467094164875,-0.5282603550746547,-1.1314030121510033,0.04339919525737059,False,2000,21,0
exit_1530_crossed,whole,R2,net 0.5 bp,865,0.6331595596006593,0.9020325604270627,-0.2688730008264034,-0.8126564231533538,0.23552348185037533,False,2000,21,0
exit_1530_crossed,daily_era,R2,gross,489,2.0289068464155235,2.5131321677178393,-0.48422532130231577,-1.4042797486014793,0.36132409527608383,False,2000,21,0
exit_1530_crossed,daily_era,R2,net 0.5 bp,489,0.9816164374672205,1.2022400283088015,-0.220623590841581,-1.023373724736019,0.5377372877507335,False,2000,21,0
exit_1530_crossed,whole,R3,gross,865,1.5411646820440954,2.2525467094164875,-0.7113820273723921,-1.232398761041513,-0.16312437423286774,True,2000,21,0
exit_1530_crossed,whole,R3,net 0.5 bp,865,0.5873266626593064,0.9020325604270627,-0.31470589776775626,-0.7782105228313918,0.14700621927845234,False,2000,21,0
exit_1530_crossed,daily_era,R3,gross,489,1.4966558004631636,2.5131321677178393,-1.0164763672546757,-1.6532243798302915,-0.22850386849031704,True,2000,21,0
exit_1530_crossed,daily_era,R3,net 0.5 bp,489,0.6127427436952932,1.2022400283088015,-0.5894972846135083,-1.151789218790935,0.08246291066924478,False,2000,21,0
exit_1530_crossed,whole,R4,gross,865,1.791114309501619,2.2525467094164875,-0.4614323999148684,-0.7796456706309686,-0.14671154764200947,True,2000,21,0
exit_1530_crossed,whole,R4,net 0.5 bp,865,0.6350035556460951,0.9020325604270627,-0.2670290047809676,-0.5552297001050487,0.024704080211961185,False,2000,21,0
exit_1530_crossed,daily_era,R4,gross,489,1.947797142752851,2.5131321677178393,-0.5653350249649882,-0.979005358420354,-0.18657724315933205,True,2000,21,0
exit_1530_crossed,daily_era,R4,net 0.5 bp,489,0.8235591527392413,1.2022400283088015,-0.3786808755695602,-0.7382408903693054,-0.02175808714972478,True,2000,21,0
exit_1530_crossed,whole,R5,gross,865,1.8105347128878602,2.2525467094164875,-0.4420119965286273,-0.9338822959388527,0.08624421519960014,False,2000,21,0
exit_1530_crossed,whole,R5,net 0.5 bp,865,0.6850293048896107,0.9020325604270627,-0.21700325553745203,-0.6478440966012365,0.23108770094133607,False,2000,21,0
exit_1530_crossed,daily_era,R5,gross,489,1.6051859606833492,2.5131321677178393,-0.9079462070344901,-1.463456165655958,-0.23585756562584706,True,2000,21,0
exit_1530_crossed,daily_era,R5,net 0.5 bp,489,0.5776402346132747,1.2022400283088015,-0.6245997936955268,-1.1232979858774335,-0.04714256965710577,True,2000,21,0
exit_1530_crossed,whole,R6,gross,865,0.48974937975668054,2.2525467094164875,-1.762797329659807,-2.6180012786832134,-0.8849994587091488,True,2000,21,0
exit_1530_crossed,whole,R6,net 0.5 bp,865,-0.14435786375848733,0.9020325604270627,-1.04639042418555,-1.8277098515863206,-0.26668230358580386,True,2000,21,0
exit_1530_crossed,daily_era,R6,gross,489,0.020242374317306744,2.5131321677178393,-2.4928897934005327,-3.3241977106054588,-1.6509454091665843,True,2000,21,0
exit_1530_crossed,daily_era,R6,net 0.5 bp,489,-0.5304824616308282,1.2022400283088015,-1.7327224899396296,-2.45974336114013,-0.9996495410620144,True,2000,21,0
