book,sample,rule,tercile,n,mean_gross,sd_gross,Sharpe_gross,t_gross,turnover,mean_net_0.5bp,Sharpe_net_0.5bp
exit_1530_crossed,whole,R0,1_choppy,289,0.12584545974759756,0.2988330006806564,6.685120907537402,7.159091568990966,1.9292447830918316,0.09996941267040167,5.25778957904003
exit_1530_crossed,whole,R0,2_mixed,287,0.04910783154230193,0.30118300266570386,2.5883355010733355,2.7622389635884286,2.106687676639449,0.020449847710924028,1.0659131242420765
exit_1530_crossed,whole,R0,3_trend,289,-0.03720762561642831,0.34824731738977593,-1.6960726358632812,-1.8163230666650687,2.132057462505777,-0.06459653750118212,-2.9032698811900404
exit_1530_crossed,daily_era,R0,1_choppy,156,0.138739040224809,0.31658498007034713,6.956786089265507,5.473570024144052,1.987448427624544,0.11320684081447009,5.621456603682653
exit_1530_crossed,daily_era,R0,2_mixed,164,0.07494116648757365,0.28044910190024086,4.241960943581202,3.422065510402414,2.186082903586981,0.04640502912799277,2.6046944445580458
exit_1530_crossed,daily_era,R0,3_trend,169,-0.04658701949249328,0.37831288888544345,-1.95485279284015,-1.6008739622556272,2.1901737530970213,-0.07492813679332068,-3.101811643850288
exit_1530_crossed,whole,R1,1_choppy,289,0.1297288454986559,0.3106230349236175,6.629841791585712,7.09989320019186,1.8342162853114525,0.10516366392786118,5.3153634031881625
exit_1530_crossed,whole,R1,2_mixed,287,0.05821584112076573,0.29794545707633596,3.101734917821516,3.3101323383991224,1.9996078928517536,0.031001641447066824,1.6331975230122169
exit_1530_crossed,whole,R1,3_trend,289,-0.050133029766882484,0.35898062783351475,-2.216936273701388,-2.3741155927563242,2.075336049743008,-0.07680913323880305,-3.350335291065799
exit_1530_crossed,daily_era,R1,1_choppy,156,0.14041173425881243,0.3303074809172085,6.74815833366888,5.309422583848284,1.8927801985347201,0.11608685955077903,5.518179042176749
exit_1530_crossed,daily_era,R1,2_mixed,164,0.08216121314745854,0.2852619339422124,4.572179703042641,3.688458870141095,2.0773673283209204,0.055013648312315186,3.032409875656338
exit_1530_crossed,daily_era,R1,3_trend,169,-0.0599679156262297,0.39194656603654854,-2.42880339013017,-1.9890030190194112,2.1371626165296567,-0.08764347969780314,-3.5029345375231844
exit_1530_crossed,whole,R2,1_choppy,289,0.13890631257191854,0.32682126714808707,6.747019160826708,7.225378367597572,1.712897270948251,0.11599853776651078,5.5784808084477095
exit_1530_crossed,whole,R2,2_mixed,287,0.058371529830631125,0.325396171334331,2.8476650652332545,3.0389921998809744,1.8840469480349809,0.032681915324562,1.5756976880978397
