rule,name,skipped,n_skipped,exit_rebalance_stamps,exit_n_rebalances,exit_n_trades,hold_rebalance_stamps,hold_n_rebalances,hold_n_trades,exit_held_delta_by_bar
R0,every stamp (the book of record),none,0,11:00|11:30|12:00|12:30|13:00|13:30|14:00|14:30|15:00,8,10,11:00|11:30|12:00|12:30|13:00|13:30|14:00|14:30|15:00|15:30,9,11,11:00|11:30|12:00|12:30|13:00|13:30|14:00|14:30|15:00
R1,skip 12:30,12:30,1,11:00|11:30|12:00|13:00|13:30|14:00|14:30|15:00,7,9,11:00|11:30|12:00|13:00|13:30|14:00|14:30|15:00|15:30,8,10,11:00|11:30|12:00|12:00|13:00|13:30|14:00|14:30|15:00
R2,skip 12:30 and 13:00,12:30|13:00,2,11:00|11:30|12:00|13:30|14:00|14:30|15:00,6,8,11:00|11:30|12:00|13:30|14:00|14:30|15:00|15:30,7,9,11:00|11:30|12:00|12:00|12:00|13:30|14:00|14:30|15:00
R3,"skip 12:00, 13:00, 14:00 (hourly through the middle)",12:00|13:00|14:00,3,11:00|11:30|12:30|13:30|14:30|15:00,5,7,11:00|11:30|12:30|13:30|14:30|15:00|15:30,6,8,11:00|11:30|11:30|12:30|12:30|13:30|13:30|14:30|15:00
R4,CONTROL skip 11:30 (sparse at the morning edge),11:30,1,11:00|12:00|12:30|13:00|13:30|14:00|14:30|15:00,7,9,11:00|12:00|12:30|13:00|13:30|14:00|14:30|15:00|15:30,8,10,11:00|11:00|12:00|12:30|13:00|13:30|14:00|14:30|15:00
R5,CONTROL skip 14:30 (sparse at the afternoon edge),14:30,1,11:00|11:30|12:00|12:30|13:00|13:30|14:00|15:00,7,9,11:00|11:30|12:00|12:30|13:00|13:30|14:00|15:00|15:30,8,10,11:00|11:30|12:00|12:30|13:00|13:30|14:00|14:00|15:00
R6,"rebalance only 11:00, 12:00, 13:30, 15:00 (diurnal-U)",11:30|12:30|13:00|14:00|14:30,5,11:00|12:00|13:30|15:00,3,5,11:00|12:00|13:30|15:00|15:30,4,6,11:00|11:00|12:00|12:00|12:00|13:30|13:30|13:30|15:00
R7,"hourly 11:00, 12:00, 13:00, 14:00, 15:00 (proposal 29's 60 minutes)",11:30|12:30|13:30|14:30,4,11:00|12:00|13:00|14:00|15:00,4,6,11:00|12:00|13:00|14:00|15:00|15:30,5,7,11:00|11:00|12:00|12:00|13:00|13:00|14:00|14:00|15:00
