arm,ladder_arm,rungs_cap,chunks,qlike,mse,rmse,mae,hmse,hmae,oos_r2,mz_beta,mz_r2,n,incumbent_qlike,dm,dm_p,dm_mean_diff,dm_better,ka_exact
b2_c240,2,240,100,0.1333299808628544,4.303199830725215e-11,6.559877918624108e-06,1.27369899604732e-06,0.3150184603955249,0.39838839815735433,0.007563575485610263,0.9398894056213838,0.6995414703173318,218934,0.13415250133747542,-10.510992926930983,7.687980544354653e-26,-0.0008225204746210083,a,
b2_c3125,2,3125,100,0.13332315290684063,4.349135404309455e-11,6.594797498262896e-06,1.277561568710203e-06,0.31509615277752023,0.39843878113264614,-0.003030433205421401,0.9329059971911751,0.697086197188407,218934,0.13415250133747544,-10.58037048948591,3.6750214901140875e-26,-0.0008293484306348052,a,
b2_c960,2,960,100,0.13333913065784184,4.3218913924018175e-11,6.574109363557787e-06,1.2757504744127683e-06,0.3147903952000004,0.39847486763419804,0.003252786452190959,0.937697129295942,0.698454066964647,218934,0.13415250133747544,-10.688988296592171,1.146143594661375e-26,-0.000813370679633613,a,
b3_c240,3,240,100,0.13358873758000256,4.251343571259192e-11,6.520232795889416e-06,1.2730944819765893e-06,0.31401234972625447,0.39869160563799766,0.019523057442660474,0.9432150953511693,0.7028696970425572,218934,0.13415250133747544,-8.013662852842803,1.1134166568735045e-15,-0.0005637637574728649,a,
b3_c3125,3,3125,100,0.13349052776301465,4.3012509678771385e-11,6.558392309001604e-06,1.2786083647967547e-06,0.3121993303173706,0.39868164059160516,0.008013036945203056,0.9320622093312372,0.7005690112776006,218934,0.13415250133747544,-10.188236707862549,2.2378627612088294e-24,-0.0006619735744607892,a,
b3_c960,3,960,100,0.13350469760018874,4.272382243280444e-11,6.536346260167406e-06,1.2755274334552495e-06,0.3126819835518248,0.398708543898074,0.014670960106115793,0.9383979105315323,0.7018776720327244,218934,0.13415250133747542,-9.82186587159827,9.064991306447521e-23,-0.0006478037372866969,a,
b4_c240,4,240,100,0.13377732944728188,4.301931004537068e-11,6.558910736194744e-06,1.2735899299165004e-06,0.3153947265579157,0.39895411489352944,0.007856201757928227,0.944687152498442,0.6991481066215146,218934,0.13415250133747544,-5.321491389632867,1.0291998326562981e-07,-0.0003751718901935445,a,
b4_c3125,4,3125,100,0.13361423646221227,4.3243683474347e-11,6.575992964894883e-06,1.275929282681063e-06,0.3129534563168008,0.39895238816991957,0.002681532387025176,0.937556693974045,0.6982991528816342,218934,0.13415250133747544,-8.472242333772472,2.4071370490339156e-17,-0.0005382648752631713,a,
b4_c960,4,960,100,0.1336799254024807,4.313318412929385e-11,6.567585867675721e-06,1.275798313274917e-06,0.31291089741690714,0.39902677870793607,0.0052299516849769745,0.9401868427430234,0.6987958543646671,218934,0.13415250133747544,-7.297068153891385,2.94105839700069e-13,-0.00047257593499472594,a,
b5_c240,5,240,100,0.1342170062720828,4.288150767851443e-11,6.548397336640045e-06,1.2770278999438885e-06,0.3129629931193284,0.39989304425248107,0.011034303952392022,0.9423479417283177,0.7003681746315388,218934,0.13415250133747544,1.94525829618489,0.05174389870255703,6.450493460737228e-05,b,
b5_c3125,5,3125,100,0.13415250133747542,4.3359954596898524e-11,6.584827605708332e-06,1.2827132324387715e-06,0.3116530385368382,0.3998300503247947,0.0,0.9295203480421143,0.69843434572333,218934,0.13415250133747542,0.0,1.0,0.0,tie,True
b5_c960,5,960,100,0.1341995704368965,4.298352509046258e-11,6.556182203879219e-06,1.2780053808448166e-06,0.3126726452806188,0.39990418435200803,0.008681501397671432,0.9407134912430902,0.6998097586544737,218934,0.13415250133747544,2.0916648330787484,0.036468508455096096,4.706909942107015e-05,b,
