rule,Sharpe mid,target Sharpe mid,mean/day mid,target mean/day mid,Sharpe crossed,target Sharpe crossed,max |gap|
always short,1.9020388792233835,1.9020388792233835,0.1603462841343286,0.1603462841343286,-1.9180993718242016,-1.9180993430911475,2.873305415818095e-08
"always short, flat at 15:30",3.429978549440463,3.429978549440463,0.1458712447559413,0.1458712447559413,-3.6206701881516894,-3.6206701018995,8.62521893907342e-08
sign(s),2.012747679651259,2.012747679651259,0.16941192995360502,0.169411929953605,-2.299827792015441,-2.299827728443276,6.357216486563289e-08
"always short, sign(s) close",2.9722952533758056,2.9722952533758056,0.24267302845513614,0.2426730284551361,-1.0955209315284669,-1.0955208817772624,4.975120448946768e-08
