date,perturbed clock,A Delta moved on cut bar,B Delta moved on cut bar,B Delta moved on other clocks that day,C Delta moved on cut bar
2022-08-17,11:00,0,1,0,0
2021-12-31,12:00,0,1,0,0
2022-01-05,15:00,0,1,0,0
2021-05-14,10:00,0,1,0,0
2022-11-15,11:30,0,1,0,0
2023-08-25,10:00,0,1,0,0
2022-04-22,14:00,0,1,0,0
2022-04-20,11:00,0,1,0,0
2021-07-07,13:00,0,1,0,0
2022-05-18,14:30,0,1,0,0
