clock,rule,n,Sharpe unhedged,Sharpe DH,mean unhedged,mean DH,mean |delta|
10:00,always short,864,0.26328478985358045,0.2626253592168589,0.002479126536552553,0.002450237343383472,0.03783352084205966
10:00,sign(s),864,0.24619198580716434,0.27489047941557065,0.0023182183856249434,0.0025646346639821606,0.03783352084205966
10:30,always short,865,0.6386285626039313,0.632651423969905,0.006194969144158773,0.006159058681407393,0.04106796661868577
10:30,sign(s),865,0.2723223131440815,0.36605714932492356,0.0026433923607400273,0.003565563651803728,0.04106796661868577
11:00,always short,865,0.4646090038559477,0.5460874727953596,0.003829432502077205,0.004445974590826906,0.042961780805384965
11:00,sign(s),865,0.269090444186157,0.2737460865477952,0.0022185476284631352,0.00222969344120873,0.042961780805384965
11:30,always short,865,2.1867042317789434,2.00503271334216,0.01577026550399796,0.015059714142785873,0.04699554525717526
11:30,sign(s),865,0.10852775107421146,0.15410073544095143,0.0007899842801894307,0.0011664771959094082,0.04699554525717526
12:00,always short,866,1.1247591559919643,1.2958444922819699,0.007948599174142427,0.008660202701888678,0.04874544194012036
12:00,sign(s),866,0.7822994051761655,0.6472345153842421,0.005535608702080143,0.0043363025844186534,0.04874544194012036
12:30,always short,866,1.7764065400641929,1.7338272535438004,0.012906430540410673,0.0119742391206683,0.05140196289107456
12:30,sign(s),866,-0.060536549176924886,-0.0686923569565149,-0.00044257174923594596,-0.0004772264111351622,0.05140196289107456
13:00,always short,866,0.2305447770684762,0.3577451079139859,0.002443370235774478,0.0037060985208635807,0.05409239710945159
13:00,sign(s),866,0.9789242826816288,1.0037266991376494,0.010356280372917035,0.010380104240604903,0.05409239710945159
13:30,always short,866,0.7894462924604148,0.8928181210214547,0.008009904019111233,0.008676559150242203,0.058865492994486256
13:30,sign(s),866,0.7953796493532362,0.8033030875241098,0.008069954860679315,0.007808984818618474,0.058865492994486256
14:00,always short,866,0.5030699741597529,0.42643544371593683,0.00751387929482233,0.006344840292731541,0.06295573712271214
14:00,sign(s),866,0.18161081308080584,0.2667703145224837,0.0027130949197160465,0.003969147320867181,0.06295573712271214
14:30,always short,866,1.0040591689390856,1.036193077898532,0.0189708095284767,0.02067824436294119,0.07008051144177545
14:30,sign(s),866,0.45564902068912944,0.3276883112115378,0.008616148226517786,0.006547377899030871,0.07008051144177545
15:00,always short,866,2.5050325353712974,2.801650246732364,0.05983996973164023,0.06263147583935845,0.08103697334319454
15:00,sign(s),866,1.2363280623352464,1.4706299832270524,0.029803368591245598,0.03323554654126206,0.08103697334319454
15:30,always short,866,0.2037791310734338,0.23495994199708478,0.014475039378387317,0.01650971600868797,0.09339334535416786
15:30,sign(s),866,1.3704066416502463,1.329168583249675,0.0968017836991948,0.0928941258399041,0.09339334535416786
