rule,DH crossed 0.5bp,DH crossed 0bp,DH mid 0.5bp,DH mid 0bp,unhedged crossed,unhedged mid
always short,-2.2911429152493787,-1.8551016775589009,1.554726661388609,2.0026039363245816,-1.9180993718242016,1.9020388792233835
"always short, flat at 15:30",-4.186888620361958,-3.554593703753667,2.9251631558619358,3.58016072108149,-3.6206701881516894,3.429978549440463
"always short, sign(s) close",-1.5496899853536652,-1.0949587655830777,2.5547972320226693,3.013356222102235,-1.0955209315284669,2.9722952533758056
sign(s),-2.7778316316938407,-2.33628312083491,1.5668267533583204,2.0176710087926444,-2.299827792015441,2.012747679651259
