period,entry,H30,H60,Hlast,Hnone,H0,Hband,Hhalf
all,10:00,0.280936154962889,0.09295590858796035,-0.2681798790434688,-0.39434398194336756,-0.3918911771243921,0.2728632513287637,-0.22663532748181556
all,10:30,1.1747313000446842,0.7482742804757307,0.18646516816046985,0.022559016691153764,0.009207744300374984,0.8048205452336056,0.36735785434539997
all,11:00,1.1834699295678301,0.6638404340897184,0.23469807579362567,0.01126750725837204,-0.024759417913621993,0.962739046264801,0.3271111882162321
all,11:30,1.0737453040944671,0.6563833829257484,0.395449291299821,0.08876528715201394,0.09428254395469594,0.8470952718821418,0.414032457221051
all,12:00,0.7966625824724461,0.48930464166864873,0.2707221864632825,0.22942641338046565,0.2181402447070333,0.8293049961427209,0.4219641799997204
all,12:30,0.9174297973388357,0.5305306743695487,0.3008027010943297,0.09110386662924518,0.09217604063040753,0.9532956042546512,0.37157385280581234
all,13:00,0.8583376768985661,0.4729232056708008,0.48899340975403693,0.24243364410023963,0.20755431701352886,1.0433960678911829,0.45063011558339766
all,13:30,1.0605034447719297,0.7659063202633898,0.9833514314312204,0.5240346550829713,0.5514156053142554,0.9721552386268085,0.8016563694216772
all,14:00,0.6300181002532237,0.46625246290533745,0.6951851366184938,0.4467919478574096,0.4813726489627301,0.9522581051205454,0.5887743608959128
all,14:30,0.7487889599795234,0.33678933075403866,0.7487889599795234,0.2397872922082824,0.27431964510282963,0.8215445550208869,0.5038672236276348
all,15:00,0.5597820525344491,0.05009689653268163,0.5597820525344491,0.05009689653268163,0.1422008023127318,0.5374800092683417,0.3329973360475647
deck,10:00,1.103470189104325,0.5379291289070469,0.26359147036153285,-0.4981036709706685,-0.48251108603179665,1.0948194911052083,-0.05042351733804385
deck,10:30,2.0029406448408604,1.073330041775475,0.7484833551452957,-0.046707848154991176,-0.06742495837242829,1.4681305228609307,0.58168179075366
deck,11:00,2.274004811981826,1.0813973029661832,0.7527085916391414,-0.17293929448510387,-0.21250192762174308,1.8553138349814848,0.5081732798380123
deck,11:30,1.8596989935856927,0.7881702018814212,0.743354124292122,-0.12165202296782589,-0.10421455602870566,1.5134588355308776,0.5184509309299621
deck,12:00,1.196031564670164,0.2542626683048296,0.5390431059546598,-0.022196867536963448,-0.03237126227454025,1.241806194615446,0.38374173114310234
deck,12:30,1.534661748065503,0.507918138075622,0.7639834186841112,-0.014488252964008347,-0.02687237963307949,1.3456180429909752,0.496634389343003
deck,13:00,0.8833175478557067,0.11468949388684416,0.2558208565922298,-0.3271088612083866,-0.36640096831447067,0.7722542097331008,0.04001626098920014
deck,13:30,0.9788060579917849,0.4215683505678014,0.68846319667661,-0.18534570882321244,-0.18200278152940125,0.7752841957239403,0.2384166580549137
deck,14:00,0.42524138202291223,0.009284084995206637,0.5156050159363854,-0.3318797461290668,-0.2935511167185331,0.6136618812248117,-0.016638281979741404
deck,14:30,0.8276482386766912,0.0569753227875289,0.8276482386766912,-0.2533259861112619,-0.19584994314479157,0.5012504253311622,0.21628452044159863
deck,15:00,0.8453586144647749,-0.04478299890138843,0.8453586144647749,-0.04478299890138843,0.07752018768017646,0.6985872538952327,0.41055401268707337
holdout,10:00,-0.8186992456662383,-0.49129500929607495,-1.003155850881093,-0.26591434038666656,-0.28131011035113757,-0.7833681327643214,-0.4783712268184473
holdout,10:30,0.130923956492403,0.36645237090789134,-0.5191383646576825,0.11315071383918764,0.10861092639429765,-0.05689937446133642,0.12377176528953981
holdout,11:00,-0.2822219347795916,0.058658320245079706,-0.403395805584825,0.2578341588500494,0.22435446168481182,-0.2420126002797837,0.10025427184196327
holdout,11:30,0.045775429078974535,0.5082944454614455,-0.030307306779900102,0.3867130438323745,0.37326100880826846,0.021575663595812384,0.2998600549811821
holdout,12:00,0.23505645442963416,0.8512347876133236,-0.01835716011240739,0.5647936733258032,0.5516967650303174,0.2720522922608491,0.4998301663016252
holdout,12:30,0.1322587209364111,0.5917816129748291,-0.23112117206452526,0.23577520091690898,0.2567886935112646,0.49805888277627813,0.2344669774170773
holdout,13:00,0.8751619402102043,0.9552342801931302,0.8234044953482286,1.01685392121421,0.9812056871623965,1.4731922162499602,1.0004373193102405
holdout,13:30,1.2134436487440574,1.4129227077709905,1.489599200302079,1.8276520960856093,1.9074492223537611,1.3276461337447376,1.8206971449726759
holdout,14:00,1.0055011385051005,1.3593000426777453,1.0098135198761231,1.7741801121895424,1.804976076933641,1.5573626189316103,1.666219591899122
holdout,14:30,0.6139765286557719,0.9197659039295905,0.6139765286557719,1.24952355168307,1.2383955639327775,1.4761831066568438,1.0779769471223675
holdout,15:00,0.03420854783587012,0.24376429406416963,0.03420854783587012,0.24376429406416963,0.2732119514188729,0.23383138369595954,0.1794577278394509
