entry,schedule,period,stress_live_median,stress_live_p95,stress_signed_median,stress_signed_p95
11:00,H30,deck,35862.188966199785,48292.81481983051,31335.412030556814,42907.77641931266
11:00,H30,holdout,54222.96191565525,68119.28714091705,49162.35736707348,61620.54413621053
11:00,H60,deck,33179.664161839486,46814.803322520296,29429.321600726416,41119.79372088992
11:00,H60,holdout,52135.44536139605,67334.7986667041,47521.48260147559,60587.21365179758
11:00,Hlast,deck,35862.188966199785,48292.81481983051,31335.412030556814,42907.77641931266
11:00,Hlast,holdout,54222.96191565525,68119.28714091705,49162.35736707348,61620.54413621053
11:00,Hnone,deck,21378.83004492781,26648.496576668727,20638.131745862724,25860.16484327698
11:00,Hnone,holdout,30626.339189564238,36301.86463593906,29473.60283722872,35334.17842439932
11:00,H0,deck,20537.553706169136,25619.85593891142,20537.553706169136,25619.85593891142
11:00,H0,holdout,29509.8876953125,34840.83981704714,29509.8876953125,34840.83981704714
11:00,Hband,deck,35146.0582939862,47954.43458422171,31390.516478476355,42907.77641931266
11:00,Hband,holdout,54064.27087939041,67682.87782216695,48615.6849736963,61620.54413621053
11:00,Hhalf,deck,27932.072917382495,36718.92166715656,23691.796214914524,31726.09736427285
11:00,Hhalf,holdout,41524.56005964558,51393.364557751636,36593.12417266643,45594.77037072476
13:30,H30,deck,31702.82751070986,46053.264376202205,29548.564747974095,41551.82805413713
13:30,H30,holdout,46527.9599284901,64192.18230699168,43752.56987906368,58821.157590611125
13:30,H60,deck,28810.918557275705,43410.81078409808,27058.925931420134,38943.92382991004
13:30,H60,holdout,42067.43188835043,60257.73240576677,40433.07318047211,55688.608098972254
13:30,Hlast,deck,31702.82751070986,46053.264376202205,29548.564747974095,41551.82805413713
13:30,Hlast,holdout,46527.9599284901,64192.18230699168,43752.56987906368,58821.157590611125
13:30,Hnone,deck,21422.119746191544,26826.859827199794,20784.15796536187,26123.129934517707
13:30,Hnone,holdout,30717.402937049104,36962.09489204986,29899.889516130035,35801.40078895328
13:30,H0,deck,20404.26024436956,24935.607302188873,20404.26024436956,24935.607302188873
13:30,H0,holdout,29187.158222198468,34113.556640625065,29187.158222198468,34113.556640625065
13:30,Hband,deck,31199.223875770334,45893.047303857835,28727.20038359196,41360.09005517138
13:30,Hband,holdout,45241.58763521454,63248.55077698399,43086.39496071189,58585.628497344216
13:30,Hhalf,deck,25886.664874609083,34944.88637671431,23512.56092507227,31301.61804064297
13:30,Hhalf,holdout,37500.02914409882,49158.3618797394,34627.22447134462,44166.09440244075
