entry,cost_bp,ranking_deck
11:00,0.0,H30 3.35 > Hband 2.55 > H60 1.63 > Hlast 1.14 > Hhalf 0.82 > Hnone -0.16 > H0 -0.21
11:00,0.25,H30 2.81 > Hband 2.20 > H60 1.36 > Hlast 0.95 > Hhalf 0.67 > Hnone -0.17 > H0 -0.21
11:00,0.5,H30 2.27 > Hband 1.86 > H60 1.08 > Hlast 0.75 > Hhalf 0.51 > Hnone -0.17 > H0 -0.21
11:00,1.0,H30 1.21 > Hband 1.17 > H60 0.54 > Hlast 0.37 > Hhalf 0.19 > Hnone -0.19 > H0 -0.21
13:30,0.0,H30 1.68 > Hband 1.23 > Hlast 1.18 > H60 0.78 > Hhalf 0.50 > Hnone -0.16 > H0 -0.18
13:30,0.25,H30 1.33 > Hband 1.00 > Hlast 0.94 > H60 0.60 > Hhalf 0.37 > Hnone -0.17 > H0 -0.18
13:30,0.5,H30 0.98 > Hband 0.78 > Hlast 0.69 > H60 0.42 > Hhalf 0.24 > H0 -0.18 > Hnone -0.19
13:30,1.0,Hband 0.33 > H30 0.29 > Hlast 0.20 > H60 0.07 > Hhalf -0.02 > H0 -0.18 > Hnone -0.21
