structure,cadence,exit_mode,sample,n_option_contracts,option_sides,option_fee_per_day_usd,mes_contracts_per_day_med,mes_contracts_per_day_mean,mes_fee_per_day_mean_usd,total_fee_per_day_med_usd,total_fee_per_day_mean_usd,mean_r_units_crossed,median_premium_pts,pnl_per_day_usd_at_median_premium,pnl_per_day_usd_at_mean_premium,fee_pct_of_pnl,pnl_net_of_fees_usd,n_rebalances,n_mes_trade_events,med_mes_contracts_per_rebalance,med_mes_contracts_per_day,med_abs_residual_delta_units,pct_rebalances_with_residual
naked straddle,30min,hold,all,2,1,1.08,46.0,46.980346820809245,43.45682080924856,43.63,44.53682080924856,0.0876494396253941,17.049999952316284,149.44229414335183,170.2230647634442,29.80201894286153,104.90547333410328,10,11,3.0,46.0,0.012196302957533565,99.98843930635837
naked straddle,30min,hold,era,2,1,1.08,48.0,48.19631901840491,44.58159509202454,45.480000000000004,45.661595092024534,0.08463293146089605,17.800000190734863,150.64661961464003,164.2527895810995,30.310401394222247,104.9850245226155,10,11,3.0,46.0,0.012196302957533565,99.98843930635837
1.5% of spot,30min,hold,all,4,1,2.16,46.0,46.980346820809245,43.45682080924856,44.71000000000001,45.61682080924856,0.0722199323940238,17.049999952316284,123.1349843874391,140.25757930296865,37.046190435788034,77.51816357819055,10,11,3.0,46.0,0.012196302957533565,99.98843930635837
1.5% of spot,30min,hold,era,4,1,2.16,48.0,48.19631901840491,44.58159509202454,46.56,46.74159509202454,0.0693752055143814,17.800000190734863,123.48786713882592,134.6411005361928,37.85116398478023,76.74627204680138,10,11,3.0,46.0,0.012196302957533565,99.98843930635837
naked straddle,30min,exit1530,all,2,2,2.16,42.0,41.05664739884393,37.97739884393063,41.010000000000005,40.13739884393063,0.04590784013473821,17.049999952316284,78.27286721082302,89.15713868570269,51.27881509159884,38.13546836689239,9,10,3.0,42.0,0.012318451742354797,100.0
naked straddle,30min,exit1530,era,2,2,2.16,42.0,42.41308793456033,39.2321063394683,41.010000000000005,41.3921063394683,0.053293323690799435,17.800000190734863,94.86211718611247,103.42991706847377,43.63396850848273,53.47001084664417,9,10,3.0,42.0,0.012318451742354797,100.0
1.5% of spot,30min,exit1530,all,4,2,4.32,42.0,41.05664739884393,37.97739884393063,43.17,42.297398843930644,0.025709238815124193,17.049999952316284,43.83425205719554,49.92964521564175,96.49394448145347,1.536853213264898,9,10,3.0,42.0,0.012318451742354797,100.0
1.5% of spot,30min,exit1530,era,4,2,4.32,42.0,42.41308793456033,39.2321063394683,43.17,43.5521063394683,0.04069228854213304,17.800000190734863,72.43227438114062,78.97424551071552,60.128039208455505,28.880168041672313,9,10,3.0,42.0,0.012318451742354797,100.0
naked straddle,60min_top_of_hour,hold,all,2,1,1.08,34.0,33.914450867052025,31.370867052023126,32.53,32.45086705202312,0.0876494396253941,17.049999952316284,149.44229414335183,170.2230647634442,21.714647274415352,116.99142709132872,5,6,4.0,34.0,0.01214613193040609,100.0
naked straddle,60min_top_of_hour,hold,era,2,1,1.08,36.0,35.43558282208589,32.77791411042945,34.38,33.85791411042944,0.08463293146089605,17.800000190734863,150.64661961464003,164.2527895810995,22.475057320927156,116.78870550421058,5,6,4.0,34.0,0.01214613193040609,100.0
1.5% of spot,60min_top_of_hour,hold,all,4,1,2.16,34.0,33.914450867052025,31.370867052023126,33.61,33.530867052023126,0.0722199323940238,17.049999952316284,123.1349843874391,140.25757930296865,27.230983313823835,89.60411733541598,5,6,4.0,34.0,0.01214613193040609,100.0
1.5% of spot,60min_top_of_hour,hold,era,4,1,2.16,36.0,35.43558282208589,32.77791411042945,35.46000000000001,34.937914110429446,0.0693752055143814,17.800000190734863,123.48786713882592,134.6411005361928,28.292588510863176,88.54995302839647,5,6,4.0,34.0,0.01214613193040609,100.0
naked straddle,60min_top_of_hour,exit1530,all,2,2,2.16,34.0,33.914450867052025,31.370867052023126,33.61,33.530867052023126,0.04590784013473821,17.049999952316284,78.27286721082302,89.15713868570269,42.83842951825165,44.7420001587999,5,6,4.0,34.0,0.01214613193040609,100.0
naked straddle,60min_top_of_hour,exit1530,era,2,2,2.16,36.0,35.43558282208589,32.77791411042945,35.46000000000001,34.937914110429446,0.053293323690799435,17.800000190734863,94.86211718611247,103.42991706847377,36.83020698545431,59.924203075683025,5,6,4.0,34.0,0.01214613193040609,100.0
1.5% of spot,60min_top_of_hour,exit1530,all,4,2,4.32,34.0,33.914450867052025,31.370867052023126,35.77,35.69086705202312,0.025709238815124193,17.049999952316284,43.83425205719554,49.92964521564175,81.42232472782513,8.14338500517242,5,6,4.0,34.0,0.01214613193040609,100.0
1.5% of spot,60min_top_of_hour,exit1530,era,4,2,4.32,36.0,35.43558282208589,32.77791411042945,37.620000000000005,37.09791411042946,0.04069228854213304,17.800000190734863,72.43227438114062,78.97424551071552,51.21738123977609,35.33436027071116,5,6,4.0,34.0,0.01214613193040609,100.0
