width,w_frac,sample,exit_mode,basis,n,mean,sd,Sharpe_ann,t,MaxDD,worst,wing_cost_pct_prem,net_credit_units,w_up_pts,w_dn_pts,width_pts,width_pct_spot,cap_units,cap_dollars,regt_margin_proxy_dollars,n_scored,n_no_listed_strike,n_dead_wing_quote_1100,n_tradeable_1100,n_dead_wing_quote_1530,n_dead_straddle_quote_1530,n_tradeable_exit1530
naked straddle,,all,hold,mid,865,0.10280158963047406,0.38849110201440484,4.200674442231098,7.782637597821874,-3.475653002635873,-2.297983622740885,,,,,,,,,,,,,,,,
naked straddle,,all,hold,crossed,865,0.0876494396253941,0.38839747325579227,3.5823912734402126,6.637137297404241,-3.8029384196496068,-2.3155274867929365,,,,,,,,,,,,,,,,
naked straddle,,all,exit1530,mid,865,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,,,,,,,,,,,,,,,,
naked straddle,,all,exit1530,crossed,865,0.04590784013473821,0.3235290821279116,2.252546709416487,4.17331905927078,-6.07017238192987,-2.2028675866604797,,,,,,,,,,,,,,,,
naked straddle (model mark),,all,exit1530,mid,865,0.09377239530941775,0.31701319131611444,4.695674084757515,8.699729098678187,-3.479769983252055,-2.0860574626722044,,,,,,,,,,,,,,,,
naked straddle (model mark),,all,exit1530,crossed,865,0.07862024530433781,0.31675436969131393,3.940143600093967,7.299949125936461,-3.9539785461018155,-2.0959584667944617,,,,,,,,,,,,,,,,
naked straddle,,era,hold,mid,489,0.09534612514974292,0.4042389863021925,3.744252447208741,5.21578020154985,-2.9951158671545066,-2.297983622740885,,,,,,,,,,,,,,,,
naked straddle,,era,hold,crossed,489,0.08463293146089605,0.40426444456403904,3.323334896988719,4.6294379460859885,-3.117675131155586,-2.3155274867929365,,,,,,,,,,,,,,,,
naked straddle,,era,exit1530,mid,489,0.0809156106804417,0.3311635003389521,3.8787351170811952,5.403115873185777,-2.1319712654000185,-2.041976485629983,,,,,,,,,,,,,,,,
naked straddle,,era,exit1530,crossed,489,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,,,,,,,,,,,,,,,,
