structure,cadence,n_rebalances,exit_mode,basis,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst,Sharpe_frac_of_30min
1.5% of spot,once_1300,1,hold,crossed,all,865,-0.011265994142359445,0.8633974344410696,-0.20713764658258052,-0.383766287625401,-27.2468763375456,-10.017060671764247,-0.07037899936325545
1.5% of spot,once_1300,1,hold,crossed,era,489,-0.025537893764466104,0.9822413104173723,-0.41273105819864575,-0.574938392180799,-27.246876337545608,-10.017060671764247,-0.14617692016271175
1.5% of spot,once_1300,1,exit1530,mid,all,865,0.012950026621500172,0.6853060378364073,0.29997590583319284,0.5557687926746605,-26.03177417144994,-9.407666179540628,0.07708490664055097
1.5% of spot,once_1300,1,exit1530,mid,era,489,-0.033912858478045524,0.8277309542490703,-0.6503924202880876,-0.9060029890627662,-26.031774171449946,-9.407666179540628,-0.1691952625065285
1.5% of spot,once_1300,1,exit1530,crossed,all,865,-0.03552056507040839,0.6932236080424616,-0.8134049144993778,-1.5070045910231664,-37.62448312698433,-9.585884003667319,-0.6155223205116995
1.5% of spot,once_1300,1,exit1530,crossed,era,489,-0.0687113997259185,0.8351457497042488,-1.306071013168497,-1.8193696681378233,-34.28590517727494,-9.585884003667319,-0.6374388204508317
naked straddle,never,0,hold,mid,all,865,-0.01170805063318029,1.037919008992611,-0.179069407406727,-0.3317639397836978,-27.956471751900942,-8.68218194826265,-0.042628727807722734
naked straddle,never,0,hold,mid,era,489,0.004465976220352823,1.0247413201790805,0.06918348391445871,0.09637326829933142,-14.820805206954649,-8.68218194826265,0.01847724876724952
naked straddle,never,0,hold,crossed,all,865,-0.02686020063826025,1.0381897870014973,-0.4107076294367314,-0.7609227238445325,-30.26739518178823,-8.692082952384906,-0.11464622317548356
naked straddle,never,0,hold,crossed,era,489,-0.006247217468494026,1.0247969796342014,-0.09677185317431468,-0.13480413593109963,-15.898049029125287,-8.692082952384906,-0.029118898989686497
naked straddle,never,0,exit1530,mid,all,865,0.0036210161022613412,0.8019702672732272,0.0716757851822951,0.13279454722914832,-18.16623253624628,-7.863861260632377,0.016801290222902512
naked straddle,never,0,exit1530,mid,era,489,-0.025962260962847962,0.8699647886915158,-0.4737411458960529,-0.6599260397803028,-16.274967196262526,-7.863861260632377,-0.1221380505747322
naked straddle,never,0,exit1530,crossed,all,865,-0.03535067471928311,0.8123893174323901,-0.6907704863562167,-1.2797983829773387,-34.64300081755161,-8.024752361662873,-0.3066620032643665
naked straddle,never,0,exit1530,crossed,era,489,-0.053584547952490215,0.8777513286913158,-0.969099447854863,-1.3499649889318728,-28.429786835550953,-8.024752361662873,-0.38561419900764565
1.5% of spot,never,0,hold,mid,all,865,-0.022140815729251223,0.9547175597929285,-0.368145060135343,-0.6820665647538154,-25.861220937960784,-6.930692957128256,-0.09785639386539509
1.5% of spot,never,0,hold,mid,era,489,-0.007096118152597169,0.9598216593633087,-0.11736282707867116,-0.1634875635405374,-14.452687437214664,-6.930692957128256,-0.03441400102956948
1.5% of spot,never,0,hold,crossed,all,865,-0.04228970786963056,0.9550156189419219,-0.7029500742484794,-1.3023636448084732,-37.53003548833739,-6.94554445630367,-0.23884080776311473
1.5% of spot,never,0,hold,crossed,era,489,-0.02150494341500869,0.959916299700421,-0.35563558355485303,-0.4954038387702278,-17.736834385913916,-6.94554445630367,-0.12595542126441245
1.5% of spot,never,0,exit1530,mid,all,865,-0.007078684346988587,0.7375546227576654,-0.15235567222099258,-0.2822710969809762,-20.565166558500387,-6.564356300326532,-0.03915088692437934
1.5% of spot,never,0,exit1530,mid,era,489,-0.03138704185328362,0.8007574473073448,-0.6222281721862617,-0.8667699165837587,-17.572790773515187,-6.564356300326532,-0.1618685206776851
1.5% of spot,never,0,exit1530,crossed,all,865,-0.05554927603889714,0.749426006757032,-1.1766570835558097,-2.1800060404969326,-48.46023609640454,-6.742574124453222,-0.8904036422776674
1.5% of spot,never,0,exit1530,crossed,era,489,-0.06618558310115662,0.8092908940388074,-1.298252046723728,-1.8084777715698954,-32.91751852239088,-6.742574124453222,-0.6336227088478287
