structure,cadence,n_rebalances,exit_mode,basis,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst,Sharpe_frac_of_30min
naked straddle,30min,10,hold,mid,all,865,0.10280158963047406,0.38849110201440484,4.200674442231098,7.782637597821874,-3.475653002635873,-2.297983622740885,1.0
naked straddle,30min,10,hold,mid,era,489,0.09534612514974292,0.4042389863021925,3.744252447208741,5.21578020154985,-2.9951158671545066,-2.297983622740885,1.0
naked straddle,30min,10,hold,crossed,all,865,0.0876494396253941,0.38839747325579227,3.5823912734402126,6.637137297404241,-3.8029384196496068,-2.3155274867929365,1.0
naked straddle,30min,10,hold,crossed,era,489,0.08463293146089605,0.40426444456403904,3.323334896988719,4.6294379460859885,-3.117675131155586,-2.3155274867929365,1.0
naked straddle,30min,10,exit1530,mid,all,865,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,1.0
naked straddle,30min,10,exit1530,mid,era,489,0.0809156106804417,0.3311635003389521,3.8787351170811952,5.403115873185777,-2.1319712654000185,-2.041976485629983,1.0
naked straddle,30min,10,exit1530,crossed,all,865,0.04590784013473821,0.3235290821279116,2.252546709416487,4.17331905927078,-6.07017238192987,-2.2028675866604797,1.0
naked straddle,30min,10,exit1530,crossed,era,489,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,1.0
1.5% of spot,30min,10,hold,mid,all,865,0.09236882453440315,0.389758789085976,3.7620951027659926,6.970076637935605,-4.039712473704334,-2.3067555528062313,1.0
1.5% of spot,30min,10,hold,mid,era,489,0.08378403077679292,0.39000136351865766,3.4103220656566413,4.750611921004602,-3.4814316994980086,-2.3067555528062313,1.0
1.5% of spot,30min,10,hold,crossed,all,865,0.0722199323940238,0.3895304370040385,2.9431740782993585,5.452852286867886,-4.7223257601905395,-2.3286853818909563,1.0
1.5% of spot,30min,10,hold,crossed,era,489,0.0693752055143814,0.3900463421831481,2.823503585512874,3.933168051022188,-3.6334089356242245,-2.3286853818909563,1.0
1.5% of spot,30min,10,exit1530,mid,all,865,0.07417983050703274,0.30260011196784814,3.8914998915674723,7.209826370630837,-3.841183159646917,-1.588137366494499,1.0
1.5% of spot,30min,10,exit1530,mid,era,489,0.07549082979000604,0.3117505273275475,3.844034464398741,5.354777525332943,-2.729654982957893,-1.588137366494499,1.0
1.5% of spot,30min,10,exit1530,crossed,all,865,0.025709238815124193,0.3088349931908096,1.3214872757549612,2.4483345945446056,-6.91566199203668,-1.6650603336427512,1.0
1.5% of spot,30min,10,exit1530,crossed,era,489,0.04069228854213304,0.31527105760391955,2.04893547626229,2.8541871153235783,-3.051171501143431,-1.6650603336427512,1.0
naked straddle,60min_top_of_hour,5,hold,mid,all,865,0.0745586701069225,0.5244816725489546,2.256670265268918,4.180958818374988,-6.391775415718659,-3.438376461177327,0.5372161771409107
naked straddle,60min_top_of_hour,5,hold,mid,era,489,0.06804825919319246,0.5538647695603555,1.9503544641660002,2.716862803357412,-4.518639245584483,-3.438376461177327,0.520892886274254
naked straddle,60min_top_of_hour,5,hold,crossed,all,865,0.05940652010184253,0.5244005208968764,1.798337783987175,3.3318009866550584,-7.615493097460373,-3.449365487713498,0.501993681516595
naked straddle,60min_top_of_hour,5,hold,crossed,era,489,0.057335065504345605,0.5538417904316221,1.6433681316450777,2.2892278460770434,-4.635869926261833,-3.449365487713498,0.4944936885939895
naked straddle,60min_top_of_hour,5,exit1530,mid,all,865,0.07080751821119376,0.4203374832523578,2.6741238876575246,4.954379920540411,-3.9519397849560463,-3.4095998310713496,0.6268327778239454
naked straddle,60min_top_of_hour,5,exit1530,mid,era,489,0.05294350899500448,0.4699440075106025,1.7884091223280398,2.4912713616475077,-3.9519397849560427,-3.4095998310713496,0.4610804987564719
naked straddle,60min_top_of_hour,5,exit1530,crossed,all,865,0.03183582738964931,0.42749592093231586,1.1821822562137594,2.190242591092217,-4.980587109009901,-3.4727865332664667,0.5248203072867682
naked straddle,60min_top_of_hour,5,exit1530,crossed,era,489,0.025321222005362215,0.47562296123736414,0.8451272765825638,1.177270544424735,-4.594179730009039,-3.4727865332664667,0.3362844530974345
1.5% of spot,60min_top_of_hour,5,hold,mid,all,865,0.06412590501085158,0.5083344696664497,2.002553917309476,3.7101545532389517,-5.0060218338097755,-3.449365472157341,0.5322975264068006
1.5% of spot,60min_top_of_hour,5,hold,mid,era,489,0.05648616482024245,0.5253013438329746,1.707001282802952,2.3778694466771553,-5.006021833809781,-3.449365472157341,0.5005396117842251
1.5% of spot,60min_top_of_hour,5,hold,crossed,all,865,0.04397701287047223,0.5081938989353237,1.373714714433013,2.5450969677024395,-5.611600734428315,-3.465849004183519,0.46674599527146576
1.5% of spot,60min_top_of_hour,5,hold,crossed,era,489,0.04207733955783093,0.525315550636717,1.2715349031602798,1.7712605298360797,-5.157336266558389,-3.465849004183519,0.45033939736588385
1.5% of spot,60min_top_of_hour,5,exit1530,mid,all,865,0.060107817761943835,0.3949606873683424,2.4158911415998507,4.475949157553263,-3.8520092209075827,-3.313445987861837,0.62081233686653
1.5% of spot,60min_top_of_hour,5,exit1530,mid,era,489,0.04751872810456882,0.43482168427259943,1.7348178584023843,2.416618207967167,-3.8520092209075685,-3.313445987861837,0.4513013279327435
1.5% of spot,60min_top_of_hour,5,exit1530,crossed,all,865,0.011637226070035277,0.40136778386052047,0.4602642369919322,0.8527368176248548,-6.231866298784228,-3.390368955010089,0.3482925983748007
1.5% of spot,60min_top_of_hour,5,exit1530,crossed,era,489,0.012720186856695825,0.4395973176667352,0.4593447189130047,0.6398716764888486,-6.136887209290154,-3.390368955010089,0.22418701039378303
naked straddle,3clocks_1200_1330_1500,3,hold,mid,all,865,0.057686228773404666,0.6076463962247156,1.5070285911923536,2.7920891123799434,-9.930771899498403,-6.814255247651325,0.35875872122856717
naked straddle,3clocks_1200_1330_1500,3,hold,mid,era,489,0.04283450497615732,0.673390483862532,1.009780658462109,1.4066343123420857,-9.930771899498392,-6.814255247651325,0.26968818814951395
naked straddle,3clocks_1200_1330_1500,3,hold,crossed,all,865,0.04253407876832469,0.607551538236651,1.1113585029461543,2.059026613139266,-10.80132677196061,-6.824156251773583,0.31022811806899686
naked straddle,3clocks_1200_1330_1500,3,hold,crossed,era,489,0.03212131128731047,0.6734051970370718,0.7572112762904943,1.054802697988615,-10.801326771960625,-6.824156251773583,0.22784681645434085
naked straddle,3clocks_1200_1330_1500,3,exit1530,mid,all,865,0.053935076877675917,0.5189195453715374,1.649952887312934,3.0568865909580425,-8.592892913319766,-6.768829724133688,0.38676014840097095
naked straddle,3clocks_1200_1330_1500,3,exit1530,mid,era,489,0.027729754777969344,0.6048340440155325,0.7277966819350655,1.0138278809753987,-8.59289291331975,-6.768829724133688,0.187637634426231
naked straddle,3clocks_1200_1330_1500,3,exit1530,crossed,all,865,0.014963386056131471,0.5264813855834332,0.4511771852914059,0.8359011329769617,-11.39657026850727,-6.9297208251641855,0.20029648371122188
naked straddle,3clocks_1200_1330_1500,3,exit1530,crossed,era,489,0.00010746778832707339,0.6115150558928099,0.0027897894495674297,0.0038862039306120652,-11.39657026850726,-6.9297208251641855,0.001110084652690917
1.5% of spot,3clocks_1200_1330_1500,3,hold,mid,all,865,0.04725346367733375,0.5754365833175257,1.303576280352641,2.4151506884482132,-9.171271269287494,-5.081963368007025,0.34650274507792667
1.5% of spot,3clocks_1200_1330_1500,3,hold,mid,era,489,0.031272410603207325,0.624306506549032,0.7951769249781587,1.1076892171419206,-9.17127126928753,-5.081963368007025,0.23316769198602103
1.5% of spot,3clocks_1200_1330_1500,3,hold,crossed,all,865,0.027104571536954395,0.5752873013131723,0.7479249639202745,1.3856891374481017,-10.371743793791786,-5.098446900033203,0.25412189154385484
1.5% of spot,3clocks_1200_1330_1500,3,hold,crossed,era,489,0.0168635853407958,0.624385092881108,0.42874360903253467,0.5972440317692752,-10.37174379379179,-5.098446900033203,0.15184808378936618
1.5% of spot,3clocks_1200_1330_1500,3,exit1530,mid,all,865,0.04323537642842599,0.480370406483869,1.4287731174845437,2.647104300943262,-7.840222112715303,-5.469324763827843,0.3671522953349082
1.5% of spot,3clocks_1200_1330_1500,3,exit1530,mid,era,489,0.022304973887533677,0.5547190702496452,0.6383059505739944,0.8891664187913374,-7.840222112715324,-5.469324763827843,0.16605104779512794
1.5% of spot,3clocks_1200_1330_1500,3,exit1530,crossed,all,865,-0.0052352152634825575,0.48776885045742696,-0.17038083880192267,-0.3156665293261785,-11.673190409426718,-5.647542587954534,-0.12893112323354358
1.5% of spot,3clocks_1200_1330_1500,3,exit1530,crossed,era,489,-0.012493567360339318,0.5612140152077719,-0.35339322961762454,-0.49228021785108206,-11.673190409426715,-5.647542587954534,-0.17247650485426302
naked straddle,once_1300,1,hold,mid,all,865,0.019315663094090822,0.9216703044119703,0.3326858251414159,0.6163708344017236,-24.175138635563847,-11.753698163723227,0.07919819298462867
naked straddle,once_1300,1,hold,mid,era,489,0.00043302587089541245,1.0399534134055395,0.00660998127922672,0.009207768433057217,-24.17513863556385,-11.753698163723227,0.0017653674191104069
naked straddle,once_1300,1,hold,crossed,all,865,0.004163513089010844,0.9215267251767306,0.0717219799248195,0.13288013275712396,-26.011113881437815,-11.763599167845484,0.020020699708757396
naked straddle,once_1300,1,hold,crossed,era,489,-0.010280167817951427,1.0399879064310091,-0.15691779095190844,-0.21858801425850385,-26.011113881437836,-11.763599167845484,-0.047216966034356635
naked straddle,once_1300,1,exit1530,mid,all,865,0.023649727070750096,0.730620402577821,0.5138479258147362,0.9520119309423366,-25.734257620908863,-10.707171139846475,0.12044943923659181
naked straddle,once_1300,1,exit1530,mid,era,489,-0.028488077587609836,0.8794647643258436,-0.5142152705906672,-0.716306890493134,-25.734257620908885,-10.707171139846475,-0.13257292778931026
naked straddle,once_1300,1,exit1530,crossed,all,865,-0.015321963750794365,0.7383301351410927,-0.32943072822567326,-0.6103400791053057,-30.991378309758424,-10.868062240876972,-0.1462481230016362
naked straddle,once_1300,1,exit1530,crossed,era,489,-0.056110364577252124,0.8867280455618018,-1.0045068815920082,-1.3992878896918266,-30.991378309758417,-10.868062240876972,-0.39970316503655867
1.5% of spot,once_1300,1,hold,mid,all,865,0.008882897998019893,0.8636368063650834,0.1632765453100379,0.3025043234955982,-24.722449060157732,-10.002209172588833,0.04340043003963208
1.5% of spot,once_1300,1,hold,mid,era,489,-0.011129068502054595,0.9821398331205041,-0.17988119361793065,-0.25057625828701297,-24.72244906015775,-10.002209172588833,-0.052746101439922324
