window,forecast,n,QLIKE,corr,RV/f
pooled,baseline (HAR + calendar OLS),10387,0.19588913206997186,0.8083782055428963,0.9381052136995286
pooled,block-diagonal ridge,10387,0.1815970566382477,0.7937747142560219,0.9082593415731214
pooled,"block-diagonal ridge, without the FOMC columns",10387,0.19288929091029644,0.7920986506951009,0.902827835643503
pooled,LightGBM,10387,0.18912197443888165,0.8094507048259966,0.8754210417717236
pooled,XGBoost,10387,0.1922954932198113,0.8169543158217972,0.8675552920356321
pooled,lasso (causally tuned),10387,0.1931746926255349,0.8075828699809824,0.8853782824576879
pooled,lasso (fixed 1e-4),10387,0.18159111144379186,0.7973889468194192,0.9152964984041274
pooled,elastic net (causally tuned),10387,0.19285441995673167,0.8055985993472553,0.8895543759506528
pooled,naive clock mean,10387,0.7922269573134916,0.10429200322923554,1.0165316064008791
pooled,implied slice,10374,0.18083308965079434,0.8590981760430092,0.8035781286754559
10:00-15:00,baseline (HAR + calendar OLS),9521,0.20389962003506776,0.7821371899869181,0.9295832531422721
10:00-15:00,block-diagonal ridge,9521,0.18811008921569222,0.7693208785235627,0.9100515898002938
10:00-15:00,"block-diagonal ridge, without the FOMC columns",9521,0.2003876766179978,0.76713319962038,0.9048436323743052
10:00-15:00,LightGBM,9521,0.19711521860364184,0.7740119971199835,0.873520643195508
10:00-15:00,XGBoost,9521,0.2004539073594758,0.7802453131213977,0.8660439597710184
10:00-15:00,lasso (causally tuned),9521,0.20127840485519663,0.7829897294731107,0.8797638048800582
10:00-15:00,lasso (fixed 1e-4),9521,0.18798601128157907,0.7757294509640368,0.9174506307815007
10:00-15:00,elastic net (causally tuned),9521,0.20089161429043317,0.7836148726246461,0.8844242799943139
10:00-15:00,naive clock mean,9521,0.7823217111293648,0.10632181685970854,0.9987786227841079
10:00-15:00,implied slice,9513,0.18779019808358277,0.8511942490613954,0.8012650974652221
10:00,baseline (HAR + calendar OLS),864,0.16083337663951844,0.8278582580397126,0.8473466910041145
10:00,block-diagonal ridge,864,0.16072670595907776,0.8456910098266923,0.8139156550758696
10:00,"block-diagonal ridge, without the FOMC columns",864,0.15906985031213772,0.8469519785367186,0.8104102884693263
10:00,LightGBM,864,0.15542202532049176,0.8125301523846209,0.7969484103773768
10:00,XGBoost,864,0.15850522304358777,0.8273124239379102,0.7950298181047333
10:00,lasso (causally tuned),864,0.15936767779910546,0.8605449346915924,0.7953265807891684
10:00,lasso (fixed 1e-4),864,0.1608483022281097,0.8533152490273341,0.8271012109530349
10:00,elastic net (causally tuned),864,0.15836998740087693,0.8621807414022457,0.7965952927083911
10:00,naive clock mean,864,0.6410007995459677,-0.06638017922538691,1.0360824792081247
10:00,implied slice,864,0.15568617852612052,0.8950201521749285,0.7845032606457756
10:30,baseline (HAR + calendar OLS),865,0.13486161736065055,0.8432042869387372,0.9379999746602
10:30,block-diagonal ridge,865,0.13359369966928872,0.775888658937381,0.9369639041609837
10:30,"block-diagonal ridge, without the FOMC columns",865,0.13371993029130116,0.7743557598945504,0.930903958053089
10:30,LightGBM,865,0.12691632249124912,0.8638614596682784,0.911839301692518
10:30,XGBoost,865,0.12864732252315642,0.8500613689596006,0.9049965203020872
10:30,lasso (causally tuned),865,0.13470202082052868,0.8360200951474649,0.9121953478349792
10:30,lasso (fixed 1e-4),865,0.13304302728273393,0.7758178414455025,0.9441023815206349
10:30,elastic net (causally tuned),865,0.13444478495406584,0.8584220183006307,0.91925009817037
10:30,naive clock mean,865,0.6471936985484509,-0.12089334768187729,1.0214711217831447
10:30,implied slice,865,0.17250034814446236,0.882668040125524,0.7627377630867146
11:00,baseline (HAR + calendar OLS),865,0.1430424277284396,0.8100654156563529,0.9158241050188101
11:00,block-diagonal ridge,865,0.1490131337448542,0.8034487512131738,0.8936545404596983
11:00,"block-diagonal ridge, without the FOMC columns",865,0.14837313315143058,0.8048221056205836,0.8883632298099909
11:00,LightGBM,865,0.1399969250498283,0.7936154025196769,0.8812804184296035
11:00,XGBoost,865,0.14137590010029522,0.8220804608402472,0.8780255851030474
11:00,lasso (causally tuned),865,0.14745864647939405,0.7969275973273919,0.8834149665523084
11:00,lasso (fixed 1e-4),865,0.15013162546896053,0.8047499874122338,0.8931688631689695
11:00,elastic net (causally tuned),865,0.14843314046220718,0.7995117380350639,0.8902916579776753
11:00,naive clock mean,865,0.7011470575192711,-0.15408538536961486,1.1034968337197173
11:00,implied slice,865,0.17969100742035926,0.773477297425515,0.8313533284688512
11:30,baseline (HAR + calendar OLS),865,0.12286916831587959,0.9227206189035738,0.9672624492465972
11:30,block-diagonal ridge,865,0.13182781478165667,0.8062718826202071,0.9119300103132084
11:30,"block-diagonal ridge, without the FOMC columns",865,0.13087942531763247,0.804308944165768,0.9059714290092618
11:30,LightGBM,865,0.11833691366774801,0.8751470029901267,0.9251916982839458
11:30,XGBoost,865,0.11951555501238227,0.898776185582063,0.9103025289318184
11:30,lasso (causally tuned),865,0.1270177269718612,0.8761091794906937,0.9136400672299411
11:30,lasso (fixed 1e-4),865,0.1312121406281111,0.8138713421090922,0.9102204819858892
11:30,elastic net (causally tuned),865,0.1275534133690539,0.8742630040846865,0.9166801727359437
11:30,naive clock mean,865,0.7520290143955524,-0.14832252869748574,1.099884555367167
11:30,implied slice,864,0.17292241698236868,0.9165568754578546,0.840993241725728
12:00,baseline (HAR + calendar OLS),866,0.14207614692953927,0.9222849707455381,0.9309289179726871
12:00,block-diagonal ridge,866,0.13832425828786205,0.9072814729907002,0.9126651263162158
12:00,"block-diagonal ridge, without the FOMC columns",866,0.13756505946884728,0.9077430501435569,0.9060321397382398
12:00,LightGBM,866,0.1332541081496016,0.9463437916069527,0.9096432858534513
12:00,XGBoost,866,0.13658732133800336,0.935770602393148,0.8958655063825897
12:00,lasso (causally tuned),866,0.13530045393832962,0.9246092587228613,0.8936423469661019
12:00,lasso (fixed 1e-4),866,0.1393329759502059,0.9064208573575827,0.9178093048771809
12:00,elastic net (causally tuned),866,0.13635067089171693,0.9335195515890801,0.898719692328455
12:00,naive clock mean,866,0.7559506917436337,-0.13947642752648298,1.07092469721643
12:00,implied slice,866,0.1905775604605292,0.8588190480671435,0.8420123427635547
12:30,baseline (HAR + calendar OLS),866,0.15740556598059383,0.9493346330925262,0.8887211367418502
12:30,block-diagonal ridge,866,0.16334783340726172,0.9538964308433652,0.8923679533810847
12:30,"block-diagonal ridge, without the FOMC columns",866,0.15918925576652648,0.9532689930740994,0.8858631951861913
12:30,LightGBM,866,0.15462124917443884,0.9262059664395714,0.8113656752849637
12:30,XGBoost,866,0.1558697211748126,0.9263658599277077,0.807111737116164
12:30,lasso (causally tuned),866,0.158337818594667,0.9430287626600345,0.846530145616837
