forecast,year,n,crossed_before,crossed_after,mid_before,mid_after
a0,2020,158,-0.45852556802501354,-0.6869686903329516,0.3590581255745133,0.13021444002349303
a0,2021,158,-0.28567793633985505,0.16226141248845474,0.2259607814795449,0.6725592257621474
a0,2022,219,1.0919562357831984,1.331591533306239,1.5559660074809802,1.7947634657698504
a0,2023,248,0.9845561420787405,1.4542290920537935,1.325504439238219,1.7906172628304309
a0,2024,83,1.2458530285957772,1.9063724106856965,1.5509892841057782,2.2075039899310243
blk2,2020,158,0.5582200863669812,0.5102625821461706,1.3624408651540862,1.3146129818370602
blk2,2021,158,0.4394724336618723,0.4815138852052216,0.948161638379151,0.9894024090119145
blk2,2022,219,-0.3321432976319781,0.014581529853054755,0.10607316758006212,0.4569429348180688
blk2,2023,248,1.8559736864309555,2.007847228881658,2.179334052534108,2.317887362624015
blk2,2024,83,1.8022210294896517,2.8862716956579617,2.093120513609721,3.1652512832861444
blk2_inc,2020,158,-0.5294848676456845,-0.6243231430929241,0.28637469072982935,0.1914255207889897
blk2_inc,2021,158,0.5977749661774575,0.8268643390675651,1.0994821173336806,1.3248608980636865
blk2_inc,2022,219,0.23759316822290763,0.8922127503914385,0.6834188900736041,1.3423692312041724
blk2_inc,2023,248,1.6697753685291665,1.7842255222812982,1.990457376372934,2.0927316039576227
blk2_inc,2024,83,2.1540875695867787,2.945009259804821,2.4428085921126192,3.223148637375289
lgbm,2020,158,0.5161912282358232,0.07236976589440136,1.3463347561560925,0.8871065744744037
lgbm,2021,158,1.5454834064593748,2.13817544929516,2.052544794326666,2.637561506600767
lgbm,2022,219,0.909489687878685,1.0884057871780617,1.3717794594544006,1.5493845739802417
lgbm,2023,248,0.7059893912953974,0.7064798432565037,1.0397353295847407,1.0398406342153785
lgbm,2024,83,1.5775210174284502,1.7188015268123598,1.8778833819385543,2.0188790436420305
xgb,2020,158,0.4800997268272009,0.32953374087993403,1.3007046783122431,1.1465048206942545
xgb,2021,158,1.6456355467914257,2.2154914750176267,2.152906703215898,2.7152453049666474
xgb,2022,219,0.8334887146814706,1.3345028735491795,1.2943645380618856,1.7994745836617059
xgb,2023,248,1.3858636073734298,1.3474643598840894,1.7224881976026862,1.6832193488791372
xgb,2024,83,0.18831509226783807,1.1263034150467583,0.49496808783143936,1.4277902750877849
lasso_t,2020,158,-0.37802006399982485,-0.5041114111445096,0.4427761889393493,0.3139075279705817
lasso_t,2021,158,0.5378865958367113,0.9437066363500066,1.0517809231771773,1.4560223921997961
lasso_t,2022,219,0.5945942748855927,1.0311972105486884,1.0455995110945764,1.4835652640752024
lasso_t,2023,248,1.3056546624722984,1.789104265618147,1.6321924345230137,2.1039127923290963
lasso_t,2024,83,3.630739671419609,3.56864597219967,3.9031168769919526,3.840973203152215
lasso_f,2020,158,0.1477758094816863,0.2091094157423044,0.9555754684186731,1.0151855470064977
lasso_f,2021,158,1.0124705719307985,1.1667484512488135,1.5137859426524132,1.6663017831499534
lasso_f,2022,219,-0.24174874962493997,0.28362559828196465,0.19777981333965283,0.7293963681439534
lasso_f,2023,248,1.4567475013766447,1.6049270915290317,1.7796225961251992,1.9168466377288258
lasso_f,2024,83,3.8575336184869657,3.7945964179110656,4.112696979774567,4.0499645592859395
enet,2020,158,-1.3677362155981898,-1.1668968762966065,-0.5675800497153511,-0.3746701366711423
enet,2021,158,1.420706156181316,1.7202869118893662,1.9228512199997303,2.22079579791111
enet,2022,219,-0.1563001623060477,0.6348727750195614,0.2857001629246624,1.0863995567454388
enet,2023,248,0.8170662362025928,1.2060929967600427,1.1482949283210546,1.5302802561812312
enet,2024,83,2.580176270423381,2.0219290285613467,2.8858557536959633,2.3260601618294956
