forecast,term,n_days,gamma_full_sample,newey_west_t,implied_variance_multiple
a0,intercept,5622,-0.11374222412757402,-11.933307774887824,0.8924879881025193
a0,month-end,267,0.3737045329279286,10.416883719113692,1.4531077415320828
a0,quarter-end,90,0.21707071888773902,3.269520541680447,1.242431962437511
a0,third Friday,271,-0.013253435633068605,-0.3827867117242346,0.9868340044249785
a0,quarterly expiration,90,0.14421621376921684,2.389142779995787,1.1551338373674607
a0,FOMC statement day,179,0.07183351747344954,2.062707016351224,1.0744764476189421
a0,first session,267,0.06424086661137621,2.215000007031311,1.0663492157530865
blk2,intercept,5622,-0.15610741466443467,-17.270044738790215,0.8554672957031866
blk2,month-end,267,0.3641557584127025,10.242953108789369,1.4392983795307728
blk2,quarter-end,90,0.19995941467064593,3.0364553457830836,1.2213531881328707
blk2,third Friday,271,-0.02946116304125665,-0.8609861665671025,0.9709685863758735
blk2,quarterly expiration,90,0.09938623639251437,1.7479316115365289,1.104492812505629
blk2,FOMC statement day,179,0.06042954070370085,1.7833295891306484,1.0622927465339957
blk2,first session,267,0.06611650833951893,2.2535154120162244,1.0683511817374796
blk2_inc,intercept,5622,-0.16421557095284794,-17.922171410909215,0.8485590774732864
blk2_inc,month-end,267,0.3652509290061778,10.382755928677303,1.4408755202527066
blk2_inc,quarter-end,90,0.19480656251112474,2.9697140943167297,1.2150759225201266
blk2_inc,third Friday,271,-0.027315647426007728,-0.7951092298816066,0.9730540510383676
blk2_inc,quarterly expiration,90,0.10379722398731914,1.8035957052879792,1.1093754773704616
blk2_inc,FOMC statement day,179,0.14089567580420437,4.18349532640703,1.1513045327998928
blk2_inc,first session,267,0.06368477418171267,2.163194139466202,1.065756391874541
lgbm,intercept,5622,-0.11794241429471433,-14.789931382443616,0.8887472302771285
lgbm,month-end,267,0.35059700047865616,9.802180157828555,1.419914985533973
lgbm,quarter-end,90,0.23165926137137027,3.5278716808043233,1.2606900898228501
lgbm,third Friday,271,-0.048481541920207816,-1.5271286973113576,0.952674923693305
lgbm,quarterly expiration,90,0.21022186566284384,3.780292157084079,1.2339518011230113
lgbm,FOMC statement day,179,-0.02771087840544187,-0.8281641027295614,0.9726695459219055
lgbm,first session,267,0.044870184578690436,1.6115787203194862,1.0458920781748535
xgb,intercept,5622,-0.11978345272109558,-14.937853444312967,0.8871125177208921
xgb,month-end,267,0.3587226998632064,10.164701309910209,1.4314997914407344
xgb,quarter-end,90,0.22940727680396042,3.450151312570654,1.2578542295515556
xgb,third Friday,271,-0.04861197188693592,-1.5059263095125601,0.9525506744377942
xgb,quarterly expiration,90,0.22656147952106895,4.006418495040693,1.2542797199800029
xgb,FOMC statement day,179,-0.06352817955052847,-1.8934059565371497,0.9384476738944111
xgb,first session,267,0.045866029450184836,1.6498724430203227,1.0469341432184867
lasso_t,intercept,5622,-0.13967330302247455,-17.197700179969868,0.8696422985054502
lasso_t,month-end,267,0.36226332749216245,10.230496451112293,1.4365771824243554
lasso_t,quarter-end,90,0.21174736703948716,3.2006338082425367,1.235835632822931
lasso_t,third Friday,271,-0.035304724124740644,-1.0783563230169027,0.9653112178192099
lasso_t,quarterly expiration,90,0.21401923289545355,3.743217004399694,1.2386464773225656
lasso_t,FOMC statement day,179,0.07463514620575114,2.250312072527118,1.0774909524967442
lasso_t,first session,267,0.05775697681305206,2.0176150981371914,1.0594574916857653
lasso_f,intercept,5622,-0.15839288115870367,-17.557635372618343,0.8535143863664036
lasso_f,month-end,267,0.36382428504888836,10.12726630161216,1.4388213695178018
lasso_f,quarter-end,90,0.20912778490576045,3.1604280850249173,1.2326024964609619
lasso_f,third Friday,271,-0.03009576581252721,-0.8922607995104811,0.9703526024933545
lasso_f,quarterly expiration,90,0.1604320573859504,2.860354130028934,1.1740180045786321
lasso_f,FOMC statement day,179,0.06773220725158173,1.9527914143494467,1.0700787107871097
lasso_f,first session,267,0.06796229703329201,2.3119135284969743,1.0703249532919432
enet,intercept,5622,-0.14065509021866476,-17.072753572467988,0.8687889138211389
enet,month-end,267,0.3587961782781517,10.315371392145416,1.4316049796408876
enet,quarter-end,90,0.22255517779163075,3.412564719463508,1.2492647494189744
enet,third Friday,271,-0.0390176623868031,-1.1937627450808437,0.9617337224833465
enet,quarterly expiration,90,0.21041577092570024,3.757287028728962,1.2341910940706913
enet,FOMC statement day,179,0.0774339851015219,2.3392723877269512,1.0805109002867057
enet,first session,267,0.05828610858676922,2.0038152328481127,1.0600182326473655
