day_type,sample,n,log_rv_vs_prior_bar_flagged,log_rv_vs_prior_bar_other,log_rv_vs_prior_bar_welch_t,log_rv_vs_own_median_flagged,log_rv_vs_own_median_other,log_rv_vs_own_median_welch_t,net2_vs_prior_bar_rv_median_flagged,net2_vs_prior_bar_rv_median_other,net2_vs_prior_bar_rv_ranksum_p,net2_vs_own_median_median_flagged,net2_vs_own_median_median_other,net2_vs_own_median_ranksum_p
month-end,1998-2019,260,0.4300169767740158,0.10546315798384234,7.8085446563665215,0.3762666565566448,0.008392769705678899,7.295091967219862,1.1853609180019293,0.5379982160379346,1.9420452675155152e-14,2.625232063579329,0.9176098306218804,1.4303115838384164e-14
month-end,2020-2024,52,0.7680344359126614,0.43957939968479515,3.4882289290984505,0.6696897037718919,0.05596911583441325,4.141260608149035,2.1507509985297335,0.7054595257549887,0.0025073177823688926,2.6971622630266134,0.9194614029367236,0.0009141287017816873
quarter-end,1998-2019,87,0.6424511460076215,0.1124995932402175,6.608608399483456,0.4406399754804475,0.01923560618594158,5.658947184582474,1.3082496102649188,0.5562548434301188,1.2162496559530077e-07,2.298906166712875,0.943918659571084,1.9494778845831783e-06
quarter-end,2020-2024,17,0.8003339396846738,0.4498005338620605,2.37752936536307,0.7405373982290304,0.07490077761969836,3.1942126939307167,2.144063482105921,0.7174674553309512,0.11052672887702314,1.6496056250286555,0.9646163593410291,0.09574304139799794
third Friday,1998-2019,261,0.20894475249042183,0.11654160878886798,2.414060983803805,-0.09385492718375968,0.032013904957541146,-2.4609989819861458,0.6788427663754251,0.5621318697198843,0.24384259624476495,0.8581583563371546,0.9695408846147202,0.8321486129764181
third Friday,2020-2024,52,0.5150981304305563,0.45227504436150323,0.9103201161914459,0.22574454542666486,0.07825207745019683,0.993051434388666,0.5742131586874964,0.7291086641143434,0.7563019676408337,0.8658713941731114,0.9831970723006787,0.6693144062784742
quarterly expiration,1998-2019,87,0.36036347444960604,0.11708424248840495,3.762429607134614,-0.0060208409338797595,0.026494991769361445,-0.42436010103070665,0.7070692584636122,0.5649714920447523,0.2353727941319551,0.8581583563371546,0.9672943625574327,0.7552780635751071
quarterly expiration,2020-2024,17,0.695804715689576,0.4514597278937287,2.0208448277397584,0.8586312339493828,0.0730262722908039,2.9000516169060604,0.5814136639688832,0.7261712398763969,0.44400969315881067,1.0294874371163751,0.9668557907596456,0.22128907132629183
Russell reconstitution,1998-2019,22,0.35416278572981885,0.12002805297738857,1.335802896438184,0.321627025527189,0.02477447087828464,1.83075870788671,0.2988955087532029,0.5693078586001958,0.7697034212348819,0.5734250641355769,0.9647619550400162,0.7100585897860332
Russell reconstitution,2020-2024,4,1.0024040714363425,0.4532587015269011,2.043686787871049,0.12656768010660188,0.08514907553520672,0.165431096869926,0.045431933182770716,0.7259279258807174,0.8731359969986374,0.07962490271165681,0.9770526648915567,0.9312820637970711
MSCI review close,1998-2019,86,0.40415436334022337,0.11642627887005753,4.301363695121937,0.2858931242326384,0.02179997555026847,2.509832817667016,1.0714762947292709,0.5558983534822546,2.4235228886317144e-05,2.6099017871710886,0.9461744978967066,0.00010434612794197373
MSCI review close,2020-2024,17,0.9831953861153001,0.4468979712203045,2.5691251712302785,0.8679104387329164,0.0728789833259859,2.545659117804476,2.6779351093159174,0.7152428133938575,0.012706041708754246,1.9600321845102633,0.9297092749840797,0.014011646189619868
month-end ex MSCI,1998-2019,174,0.4427996477815223,0.11034113817006501,6.379207919408652,0.42093403460184337,0.01292467826802574,7.674582262293498,1.259376577732712,0.5491857227473623,1.5744858546820996e-10,2.698092822568433,0.9281615486965271,2.1883561522537018e-11
