forecast,days_adjusted,signs_changed,to_long,to_short,buy_share_before,buy_share_after,Sharpe_mid_before,Sharpe_mid_after,Sharpe_crossed_before,Sharpe_crossed_after,QLIKE_close_bar_before,QLIKE_close_bar_after,long_on_top10_before,long_on_top10_after,long_on_top20_before,long_on_top20_after,long_on_top50_before,long_on_top50_after,dSharpe_mid,dSharpe_mid_ci_lo,dSharpe_mid_ci_hi,dSharpe_crossed,dSharpe_crossed_ci_lo,dSharpe_crossed_ci_hi
a0,177,30,30,0,0.3302540415704388,0.3648960739030023,0.9673095454705917,1.275434450858468,0.49093226316152744,0.8007834211424754,0.10782001438443117,0.10013343772682043,3,5,7,9,22,25,0.3081249053878764,-0.15693719375771076,0.8254137308932924,0.3098511579809479,-0.15507786722569067,0.8254276045219804
blk2,177,24,24,0,0.3995381062355658,0.42725173210161665,1.3383216004229939,1.5640863714548283,0.8695877009703311,1.0987465149612037,0.10999130240054672,0.10498377366957624,5,7,11,13,31,34,0.22576477103183445,-0.2093267693838117,0.7214788171420173,0.22915881399087257,-0.20761662773429865,0.730702799779137
blk2_inc,177,37,35,2,0.40993071593533487,0.44803695150115475,1.2707081191811798,1.542317305920565,0.8046134630083878,1.081055426685595,0.11045034134560293,0.10598842537158557,6,8,12,14,31,34,0.2716091867393853,-0.22849231806361278,0.8065112014343669,0.2764419636772072,-0.22647342284096397,0.8246624267338517
lgbm,177,28,26,2,0.3348729792147806,0.3625866050808314,1.4593971219265764,1.549304753367723,0.9818045863151208,1.0764809969585396,0.10124243899698605,0.09293647224816504,7,7,12,12,27,28,0.08990763144114666,-0.199216877812332,0.40203668697633693,0.0946764106434188,-0.1962054483184465,0.4057238278976136
xgb,177,22,22,0,0.32217090069284066,0.34757505773672054,1.4980323951467007,1.78057550369011,1.0215326073475821,1.3062947217089163,0.10260004169123635,0.09337589825347578,6,7,11,12,25,27,0.28254310854340936,-0.008508254673651372,0.5855467538971026,0.28476211436133414,-0.005685329360536095,0.5857392258532179
lasso_t,177,29,26,3,0.37066974595842955,0.3972286374133949,1.4131037944414562,1.6896824129389736,0.9346206653459997,1.2140687271813249,0.10408064627610193,0.09813263503795833,5,6,11,12,29,31,0.2765786184975174,-0.12383647937023447,0.7614683131730215,0.2794480618353251,-0.12068744085348368,0.7615487581951786
lasso_f,177,25,24,1,0.4133949191685912,0.4399538106235566,1.509829846463058,1.688233808595779,1.0444324874859765,1.2269006189553668,0.11128413528262304,0.10617992023743306,8,9,14,15,34,36,0.17840396213272114,-0.20047393305701228,0.669704020400346,0.18246813146939034,-0.19978895058472704,0.6777071930284319
enet,177,27,26,1,0.35450346420323325,0.3833718244803695,1.0224751588133707,1.321164777316983,0.5449047373133905,0.8469015596586067,0.10449168641034369,0.0985822246124432,6,7,9,10,24,26,0.2986896185036123,-0.08051815656869524,0.797914262073333,0.3019968223452162,-0.07575324624753778,0.798748024474808
