day_type,deck_n,deck_ask_mean,deck_ask_t,holdout_n,holdout_ask_mean,holdout_ask_t,underlying_1998_2019_n,underlying_1998_2019_welch_t,leg_i_deck,leg_ii_holdout,leg_iii_underlying,SURVIVES,note
month-end,52,0.42959985682503926,2.4572719817834767,18,0.43151864606641427,1.1577719023251682,260,7.295091967219862,True,True,True,True,leg (i) seen before the rule was written
quarter-end,17,0.0912127555792119,0.44245458542565763,7,-0.014498473663439815,-0.03554207219982976,87,5.658947184582474,False,False,True,False,
third Friday,52,-0.3056830475574709,-3.213646892601534,20,-0.5674886235558754,-4.210291237360747,261,-2.4609989819861458,False,False,False,False,
quarterly expiration,17,-0.35459676665255274,-2.70666242585223,7,-0.35815068933631117,-1.0198536739903206,87,-0.42436010103070665,False,False,False,False,
Russell reconstitution,4,-0.5911325029550842,-1.545429660074275,2,1.1507404709448876,,22,1.83075870788671,False,True,False,False,
MSCI review close,17,0.672653733547722,2.0015279108444517,5,1.1409947174975614,1.0503845648468073,86,2.509832817667016,True,True,True,True,leg (i) seen before the rule was written
month-end ex MSCI,35,0.3115451167025933,1.5377405588391342,13,0.1586432339775115,0.5045244091449794,174,7.674582262293498,False,True,True,False,leg (i) seen before the rule was written
first session,44,-0.26952610628899953,-1.9601745888130606,20,0.1999296090341509,0.8300944767807019,258,1.3871706926361125,False,True,False,False,
pre-holiday,38,-0.18748139104233608,-1.4457841659425317,14,-0.3339885511184044,-1.6659063889173766,191,-4.732394144273712,False,False,False,False,
CPI day,33,-0.23012589730558025,-1.3679921362184393,0,,,260,0.755876969918114,False,False,False,False,
employment day,46,-0.1257925950795355,-0.8871368604087679,0,,,252,0.5745041800365641,False,False,False,False,
