forecast,sample,n_days,n_flagged,QLIKE_before,QLIKE_after,diff,ci_lo,ci_hi,QLIKE_before_flagged_days,QLIKE_after_flagged_days,improves
a0,2003-2024,5324,910,0.11861814216695571,0.11255089116285838,-0.0060672510040973345,-0.008220953779659194,-0.0038870898720058966,0.15629170394521436,0.1207949519168471,True
a0,deck period,1082,184,0.113343010415392,0.10734523723961172,-0.00599777317578029,-0.010698649833282586,-0.0017101817108965986,0.15119236716243406,0.11592285316137821,True
blk2,2003-2024,5324,910,0.1164911515933483,0.11206385535938075,-0.00442729623396755,-0.006302440628271012,-0.00252078402479725,0.14573426049047092,0.11983214494141244,True
blk2,deck period,1082,184,0.11503295057840704,0.11119503587172012,-0.0038379147066869177,-0.007899775670951632,-0.00018710138529619803,0.1419566165871852,0.11938800945329803,True
blk2_inc,2003-2024,5324,910,0.11666235398305304,0.1124049952797706,-0.004257358703282417,-0.0061149387313199615,-0.002370173381732707,0.14479486689468818,0.11988697927240734,True
blk2_inc,deck period,1082,184,0.11477190605550937,0.11141635838533602,-0.003355547670173347,-0.007406963517770347,0.0003982184195322291,0.13914808625062558,0.11941600701623667,False
lgbm,2003-2024,5324,910,0.10668661074024798,0.10099114245407848,-0.005695468286169508,-0.007661638862478886,-0.003737449252809846,0.1452278187239687,0.11190619987169785,True
lgbm,deck period,1082,184,0.1060458205624454,0.0994594213362644,-0.006586399226180996,-0.01111625801786472,-0.002494027426424634,0.14981002100668742,0.11107912990490566,True
xgb,2003-2024,5324,910,0.10743601113093629,0.10141860988234805,-0.006017401248588246,-0.008117516943394147,-0.003992970759354275,0.1480432855468795,0.11283818197821596,True
xgb,deck period,1082,184,0.10694819559877312,0.09961633143419944,-0.007331864164573702,-0.012101517528355638,-0.003106295293452843,0.15468331484898953,0.11156876579426811,True
lasso_t,2003-2024,5324,910,0.11197363501175318,0.10671079087179132,-0.005262844139961849,-0.0072543167126065235,-0.003247842500562183,0.1457014992652743,0.1149109693738931,True
lasso_t,deck period,1082,184,0.10894709045821993,0.10434500429221184,-0.004602086166008078,-0.008519854523944692,-0.000896062093827175,0.13678942877765857,0.10972716121450235,True
lasso_f,2003-2024,5324,910,0.11576882813097471,0.11119102617357808,-0.004577801957396616,-0.006490407249371474,-0.0026545349166102955,0.14617554491582146,0.11939288818925053,True
lasso_f,deck period,1082,184,0.11561398681326487,0.11171276860441604,-0.003901218208848838,-0.007916955629577381,-0.0001995813802569917,0.14402522828734932,0.1210843690374882,True
enet,2003-2024,5324,910,0.11113911670657727,0.10603745151264965,-0.005101665193927641,-0.007060175607928871,-0.0031091068595588134,0.14406549837791147,0.11421795388069086,True
enet,deck period,1082,184,0.10939614333251294,0.10482982035691395,-0.004566322975598993,-0.008565538805646655,-0.0008141454944232314,0.1367767805293984,0.10992481607506087,True
