hhmm,n,buy share,hit buy,base hit long,hit sell,base hit short,win buy,base win long,loss buy,base loss long,win sell,base win short,loss sell,base loss short,mean buy,base mean long,mean sell,base mean short,half-spread % prem,round trip % prem
10:00,864,0.5474537037037037,0.33403805496828753,0.3194444444444444,0.6982097186700768,0.6805555555555556,0.1558154786585698,0.15187325736405882,-0.07837573952144365,-0.0749302455103089,0.0709546754974611,0.0749302455103089,-0.14659468986801866,-0.15187325736405882,-0.00014696050993811188,-0.002479126536552553,0.005300391320666697,0.002479126536552553,1.5760443469273744,3.1520886938547488
10:30,865,0.5791907514450867,0.3093812375249501,0.292485549132948,0.7307692307692307,0.707514450867052,0.15190028046045462,0.14654093856311898,-0.07248728448034415,-0.06933579373556609,0.06523648622544122,0.06933579373556609,-0.13806442841937383,-0.14654093856311898,-0.0030659819537497157,-0.006194969144158773,0.010501624590298712,0.006194969144158773,1.21951297519464,2.43902595038928
11:00,865,0.6635838150289017,0.30139372822299654,0.29595375722543354,0.711340206185567,0.7028901734104046,0.14016971112681964,0.13273729282721286,-0.06220964521889745,-0.06123679158959487,0.05964801132988115,0.0613375099968146,-0.11584984450984168,-0.13222080530648442,-0.0012137764944914371,-0.003829432502077205,0.008988836448311673,0.003829432502077205,1.2658227848101267,2.5316455696202533
11:30,865,0.6138728323699422,0.2824858757062147,0.2751445086705202,0.7365269461077845,0.7236994219653179,0.12927982496598087,0.11480827736609193,-0.06796872708892347,-0.06533596439248504,0.06125839289922063,0.06544033494263278,-0.09014086668446303,-0.11432790800472753,-0.012248797129910945,-0.01577026550399796,0.021368767619687208,0.01577026550399796,1.3493219289706215,2.698643857941243
12:00,866,0.6547344110854504,0.35978835978835977,0.33371824480369516,0.7157190635451505,0.6628175519630485,0.10220345486882718,0.10058179416715211,-0.060314957762103896,-0.062307842979400875,0.06568829781061022,0.06263349372667998,-0.09668980848313194,-0.09954841956954438,-0.0018427246462133498,-0.007948599174142427,0.01952729769366011,0.007948599174142427,1.378362363403499,2.756724726806998
12:30,866,0.5889145496535797,0.307843137254902,0.2979214780600462,0.7134831460674157,0.6974595842956121,0.10765424753333695,0.10629981974670288,-0.06425448967181555,-0.06349066174777135,0.06267908460037047,0.06391112970636587,-0.10317290815603374,-0.10467692173530284,-0.011333564689052913,-0.012906430540410673,0.015159693417355777,0.012906430540410673,1.4598526172921515,2.919705234584303
13:00,866,0.5981524249422633,0.33204633204633205,0.31755196304849886,0.6982758620689655,0.6789838337182448,0.18046289098713592,0.1548665979753979,-0.07980730393180532,-0.07564174799901034,0.07033311072843816,0.07602767528471958,-0.10998759231854331,-0.15319537569508784,0.0066144596320129884,-0.002443370235774478,0.015926002050469616,0.002443370235774478,1.5384576259515224,3.0769152519030447
13:30,866,0.41570438799076215,0.33055555555555555,0.31986143187066973,0.6857707509881423,0.6766743648960739,0.18158755882923844,0.15635017444702518,-0.08955567421693113,-0.08530657929096146,0.0826013190665588,0.08574330239313362,-0.13647848315186545,-0.15467499400652135,7.222781777494407e-05,-0.008009904019111233,0.013760037341797048,0.008009904019111233,1.6592972254954772,3.3185944509909544
14:00,866,0.5242494226327945,0.31938325991189426,0.3071593533487298,0.7063106796116505,0.6928406466512702,0.22664976496444691,0.2225489828490727,-0.11274610425136258,-0.10950841484528247,0.10607045599140358,0.10950841484528247,-0.21763482246288052,-0.2225489828490727,-0.004348745140586421,-0.00751387929482233,0.011001672756043452,0.00751387929482233,1.8610441785550007,3.7220883571100014
14:30,866,0.4018475750577367,0.3103448275862069,0.3083140877598152,0.693050193050193,0.6916859122401847,0.29869197535871733,0.2541752759222103,-0.15381352162365572,-0.14072373910332384,0.1319729095632691,0.14072373910332384,-0.22393751781439422,-0.2541752759222103,-0.01338078118085028,-0.0189708095284767,0.022726272588272055,0.0189708095284767,1.9685350682753526,3.9370701365507053
15:00,866,0.22170900692840648,0.2760416666666667,0.27713625866050806,0.7225519287833828,0.7217090069284064,0.4577503047763246,0.38707583506616206,-0.26711001828681974,-0.2311814923378264,0.22092673852486935,0.2315513827255669,-0.36704510300927107,-0.3854697112692071,-0.06701836660793094,-0.05983996973164023,0.05779508516153961,0.05983996973164023,2.290074126883418,4.580148253766836
15:30,866,0.3972286374133949,0.4069767441860465,0.3810623556581986,0.6340996168582376,0.6177829099307159,1.2883735986742326,1.0724113052753395,-0.7168819946794821,-0.6836401396316146,0.6652180904167102,0.6849179716683091,-0.9084996174160704,-1.0691713919663506,0.0992103979644716,-0.014475039378387317,0.08939417816371964,0.014475039378387317,2.898551425721512,2.898551425721512
