hhmm,rule,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
10:00,always short,864.0,0.002479126536552553,0.14947659425430504,-1.1228956308758842,-0.028244799682407506,0.043695549389736243,0.08967164921045445,0.2499999967250195,-2.710603427988906,10.655987762848241,0.4875087008216742,0.26328478985358045,0.0,0.0
10:00,sign(s),864.0,0.0025246997210952075,0.14449785932660592,-1.1228956308758842,-0.06962143601862072,0.0,0.06842106267025594,0.7522387789256537,-0.5138853687396557,11.421362724061494,0.5135765553275499,0.2773630403216141,488.0,56.48148148148148
10:00,"always short, sign(s) close",864.0,0.002479126536552553,0.14947659425430504,-1.1228956308758842,-0.028244799682407506,0.043695549389736243,0.08967164921045445,0.2499999967250195,-2.710603427988906,10.655987762848241,0.4875087008216742,0.26328478985358045,0.0,0.0
10:30,always short,865.0,0.006194969144158773,0.15398948961818823,-1.9577778445349798,-0.014619883122471311,0.04621850305269948,0.08333333333333337,0.20833332339922583,-5.020614400720845,43.97588518555735,1.1831944443008235,0.6386285626039313,0.0,0.0
10:30,sign(s),865.0,-0.0002958732773382244,0.15240281476132034,-1.9577778445349798,-0.06872370958704832,0.0,0.058823508485498666,1.297142880303519,-0.7477002063248541,45.103601456414175,-0.057097988386144286,-0.03081860840900663,478.0,55.26011560693642
10:30,"always short, sign(s) close",865.0,0.006194969144158773,0.15398948961818823,-1.9577778445349798,-0.014619883122471311,0.04621850305269948,0.08333333333333337,0.20833332339922583,-5.020614400720845,43.97588518555735,1.1831944443008235,0.6386285626039313,0.0,0.0
11:00,always short,865.0,0.003829432502077205,0.13084196792034794,-1.271450854506329,-0.01234564751875733,0.03854873819695559,0.07456140497641472,0.20588235087873197,-3.407748510638049,18.51829169218233,0.8607864169010364,0.4646090038559477,0.0,0.0
11:00,sign(s),865.0,-0.0003059540346586273,0.12672701052479762,-0.8136645794181536,-0.06142032419838406,-0.002247178152705809,0.04761902255339634,1.271450854506329,1.138506919981434,20.625912360010904,-0.0710060000424478,-0.03832545019272751,485.0,56.06936416184971
11:00,"always short, sign(s) close",865.0,0.003829432502077205,0.13084196792034794,-1.271450854506329,-0.01234564751875733,0.03854873819695559,0.07456140497641472,0.20588235087873197,-3.407748510638049,18.51829169218233,0.8607864169010364,0.4646090038559477,0.0,0.0
11:30,always short,865.0,0.01577026550399796,0.11448516912347727,-1.0602409705175755,-0.006024090675124771,0.04481796361206303,0.0774647985462914,0.20588236407837635,-3.3661855060756993,19.299126039762154,4.051331947666975,2.1867042317789434,0.0,0.0
11:30,sign(s),865.0,0.007169078646575958,0.11215267929629172,-0.6487805087391922,-0.05730660454721759,0.0,0.06249998056370243,1.0602409705175755,1.8371986533654443,18.571774051314357,1.8800168652369609,1.0147380881482335,403.0,46.589595375722546
11:30,"always short, sign(s) close",865.0,0.01577026550399796,0.11448516912347727,-1.0602409705175755,-0.006024090675124771,0.04481796361206303,0.0774647985462914,0.20588236407837635,-3.3661855060756993,19.299126039762154,4.051331947666975,2.1867042317789434,0.0,0.0
12:00,always short,866.0,0.007948599174142427,0.11218410576564977,-1.0233332908418449,-0.023541760263296352,0.03208068055166535,0.0723216803227563,0.2245614068549976,-3.163224990829017,17.877745688404083,2.0850583483931464,1.1247591559919643,0.0,0.0
12:00,sign(s),866.0,0.006711825058877268,0.10888569146549476,-1.0233332908418449,-0.051775669639630734,0.0,0.0588177569706598,0.8386580986089778,-0.6751209839655309,19.39539031119686,1.813964405451633,0.9785208530243694,494.0,57.043879907621246
12:00,"always short, sign(s) close",866.0,0.007948599174142427,0.11218410576564977,-1.0233332908418449,-0.023541760263296352,0.03208068055166535,0.0723216803227563,0.2245614068549976,-3.163224990829017,17.877745688404083,2.0850583483931464,1.1247591559919643,0.0,0.0
12:30,always short,866.0,0.012906430540410673,0.11533577957516973,-1.2280701303085797,-0.013050302101275446,0.038506572896521596,0.07501282870435158,0.22972971666808362,-3.7441731486160537,25.064517310966938,3.2930705802829587,1.7764065400641929,0.0,0.0
12:30,sign(s),866.0,0.0006890976044408621,0.11418728951836737,-1.2280701303085797,-0.059287431595606954,0.0,0.05731420992345582,0.7808641900814193,-0.9966131071663425,24.50364452392627,0.17759139635560556,0.09579950087742202,458.0,52.88683602771363
12:30,"always short, sign(s) close",866.0,0.012906430540410673,0.11533577957516973,-1.2280701303085797,-0.013050302101275446,0.038506572896521596,0.07501282870435158,0.22972971666808362,-3.7441731486160537,25.064517310966938,3.2930705802829587,1.7764065400641929,0.0,0.0
13:00,always short,866.0,0.002443370235774478,0.16824193773333052,-1.7171051960820298,-0.026218347143635357,0.0455285919904751,0.08482143246777807,0.291907515366973,-4.232866534173783,29.077097682302142,0.4273797724110257,0.2305447770684762,0.0,0.0
13:00,sign(s),866.0,0.008227050636077801,0.16389537095422382,-0.8952702248266267,-0.07398872741769869,-0.0007974503218547424,0.05907207522682298,1.7171051960820298,3.6684828480612146,31.229282015769474,1.47719023733204,0.7968521580518741,538.0,62.12471131639723
