rule,Sharpe mid,Sharpe crossed,mean/day mid,mean/day crossed,crossings/day,break-even half-spread % prem,settlement leg Sharpe crossed,worst day crossed,maxDD crossed
always short,1.9020388602384781,-3.54062904178473,0.1603462825365234,-0.30426113277720734,22.988452655889144,0.6975079399067172,-0.2620898197246613,-12.258910368413087,-263.45973591224094
sign(s),1.9160443069420336,-3.090963756836569,0.15330415635520264,-0.24688948414464754,21.31524249422633,0.719223139951273,1.3994591967154677,-6.665419595878591,-214.83283798610836
"always short, sign(s) close",3.371631472392345,-2.377749154349293,0.26830568728970705,-0.19153323270071113,22.91570438799076,1.170837617500057,1.3994591967154677,-6.121838616761175,-173.79206883008402
