hour,rule,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
10,always short,1729.0,0.004338121511025029,0.15171859273556831,-1.9577779134114581,-0.022522565674331307,0.04439743145863939,0.08650519145325641,0.25000001309992204,-3.9136953813181172,28.18416419342631,1.1889412727130757,0.4539031295402154,0.0,0.0
10,long-short volatility,1729.0,-0.0024797568608918388,0.15176036642698487,-0.37709490673465074,-0.08571424938383554,-0.04318937592850569,0.02999998728434239,1.9577779134114581,3.8572110111436393,27.957674426696254,-0.6794354937104278,-0.2593886712437221,1632.0,94.38982070561018
10,unit-median VRP,1729.0,-0.0034074299566656317,0.2851497285789073,-0.6906475390245758,-0.13858694025440355,-0.04398164768086958,0.030639201282365705,3.566985765794558,3.5023559997002716,23.820732811787405,-0.49687994860486073,-0.18969428419527629,1632.0,94.38982070561018
10,AS + UM 15:30,1729.0,0.004338121511025029,0.15171859273556831,-1.9577779134114581,-0.022522565674331307,0.04439743145863939,0.08650519145325641,0.25000001309992204,-3.9136953813181172,28.18416419342631,1.1889412727130757,0.4539031295402154,0.0,0.0
11,always short,1730.0,0.009799848868393824,0.1230453683518347,-1.2714508721462896,-0.010631602772495141,0.04189831220586315,0.07574768486833866,0.20588235294117652,-3.417804727835833,19.176949686642388,3.312662252360951,1.2643123429554688,0.0,0.0
11,long-short volatility,1730.0,-0.004752946038210662,0.1233436325630261,-0.8136646544039747,-0.07187030083316404,-0.02934550355357235,0.03897428981645623,1.2714508721462896,2.348333304672024,18.274053609721136,-1.6027626032268139,-0.6117111820388207,1366.0,78.95953757225433
11,unit-median VRP,1730.0,-0.0015008585168682928,0.16467024295958396,-0.5270272151147237,-0.05523574751023462,-0.010805057447098736,0.016212857711221346,3.814352616438869,8.773496656670138,173.4872846534292,-0.3790946708407559,-0.14468546292366902,1366.0,78.95953757225433
11,AS + UM 15:30,1730.0,0.009799848868393824,0.1230453683518347,-1.2714508721462896,-0.010631602772495141,0.04189831220586315,0.07574768486833866,0.20588235294117652,-3.417804727835833,19.176949686642388,3.312662252360951,1.2643123429554688,0.0,0.0
12,always short,1732.0,0.010427514720203979,0.11376501982181171,-1.228070321713667,-0.01827827829442702,0.0356789174815047,0.07362557262582817,0.22972973901801108,-3.459474691548716,21.564482669902652,3.814573686433048,1.4550312979509827,0.0,0.0
12,long-short volatility,1732.0,0.0018456483562348223,0.11422726131587219,-1.228070321713667,-0.05770817516709334,0.005824176360072375,0.06308406425340715,1.0233333587646483,-0.7321974602992576,20.014045902180143,0.6724393809849603,0.25649533230613997,776.0,44.80369515011547
