book,lookback,treatment,variant,mean_pts_unseen,diff_vs_1100,ci_lo_vs_1100,ci_hi_vs_1100,cond1_ci_excludes_zero_positive,diff_vs_1330,ci_lo_vs_1330,ci_hi_vs_1330,ci_halfwidth_vs_1330,cond2_not_below_1330_by_halfwidth,placebo_p,cond3_placebo_p_lt_0.05,ADOPTED
q-selector expanding | hold | unconditional,expanding,hold,unconditional,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector expanding | hold | thresholded,expanding,hold,thresholded,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector expanding | flatten | unconditional,expanding,flatten,unconditional,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector expanding | flatten | thresholded,expanding,flatten,thresholded,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector rolling 126 | hold | unconditional,rolling 126,hold,unconditional,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector rolling 126 | hold | thresholded,rolling 126,hold,thresholded,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector rolling 126 | flatten | unconditional,rolling 126,flatten,unconditional,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector rolling 126 | flatten | thresholded,rolling 126,flatten,thresholded,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector rolling 252 | hold | unconditional,rolling 252,hold,unconditional,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector rolling 252 | hold | thresholded,rolling 252,hold,thresholded,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector rolling 252 | flatten | unconditional,rolling 252,flatten,unconditional,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector rolling 252 | flatten | thresholded,rolling 252,flatten,thresholded,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector ewma hl 63 | hold | unconditional,ewma hl 63,hold,unconditional,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector ewma hl 63 | hold | thresholded,ewma hl 63,hold,thresholded,0.2481625204176924,-0.280290232337575,-1.1236664794611309,0.5761908058585076,False,-0.9250973606019238,-1.580976970567335,-0.27127169811738827,0.6548526362249734,False,1.0,False,False
q-selector ewma hl 63 | flatten | unconditional,ewma hl 63,flatten,unconditional,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
q-selector ewma hl 63 | flatten | thresholded,ewma hl 63,flatten,thresholded,-0.008208929913511583,0.012310105368400395,-0.755703306390261,0.7922815640020494,False,-0.6494887267479803,-1.1767091197519088,-0.11606844270220976,0.5303203385248495,False,1.0,False,False
