treatment,lookback,difference,n,mean_diff,sd_diff,t_hac,t_lag,Sharpe_ann_diff,d_Sharpe,ci_lo,ci_hi,ci_halfwidth,boot_mean,boot_sd,excludes_zero_positive
hold,expanding,p26 expanding - fixed 11:00,413,0.1857268676422116,5.529344080376195,0.6143392118765002,11,0.5332138095456006,0.1598318255667065,-0.3929818902868902,0.8026299869773927,0.5978059386321415,0.19457316864596788,0.30564250899469897,False
hold,rolling 126,p26 rolling 126 - fixed 11:00,413,-0.009120178271581972,8.294587857530786,-0.02589022932744671,11,-0.01745455521140068,-0.13102173659782768,-0.6173565237388872,0.6473439995085033,0.6323502616236952,-0.0014370843485690505,0.3179625435228191,False
hold,rolling 252,p26 rolling 252 - fixed 11:00,413,0.4700163381092896,8.350112342568881,1.4276530841768973,11,0.8935542122719694,0.49710974508407846,-0.0781936794405892,1.0522875168892798,0.5652405981649345,0.46977299254216404,0.2826834535153857,False
flatten,expanding,p26 expanding - fixed 11:00,413,0.06907157565975645,4.904674034687194,0.2970322155607179,11,0.2235576234832324,0.10548619479178864,-0.3389001383232848,0.5226414661855951,0.43077080225444,0.07852418828233124,0.21927554100251093,False
flatten,rolling 126,p26 rolling 126 - fixed 11:00,413,0.20518467442505076,7.001460752393204,0.7314874083094017,11,0.4652180228403442,0.29724582024299384,-0.28083448672159367,0.757016973365274,0.5189257300434338,0.21369488446728757,0.27024101305361187,False
flatten,rolling 252,p26 rolling 252 - fixed 11:00,413,0.48825941663092515,7.370946163516232,1.7144628243218145,11,1.0515445070688103,0.728325444261367,0.02111995741823378,0.9985324093324378,0.488706225957102,0.4941661833517567,0.24604563509644514,True
