book,n_sessions,n_quarters,mean_labels_per_quarter,quarters_with_one_label,B,rule_mean_pts,placebo_mean_pts,placebo_sd_pts,placebo_p05_pts,placebo_p95_pts,n_placebo_ge_rule,p_value
q-selector expanding | hold | unconditional,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector expanding | hold | thresholded,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector expanding | flatten | unconditional,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector expanding | flatten | thresholded,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector rolling 126 | hold | unconditional,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector rolling 126 | hold | thresholded,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector rolling 126 | flatten | unconditional,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector rolling 126 | flatten | thresholded,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector rolling 252 | hold | unconditional,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector rolling 252 | hold | thresholded,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector rolling 252 | flatten | unconditional,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector rolling 252 | flatten | thresholded,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector ewma hl 63 | hold | unconditional,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector ewma hl 63 | hold | thresholded,413,7,1.0,7,2000,0.2481625204176924,0.24816252041769235,5.552503422540543e-17,0.2481625204176924,0.2481625204176924,2000,1.0
q-selector ewma hl 63 | flatten | unconditional,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
q-selector ewma hl 63 | flatten | thresholded,413,7,1.0,7,2000,-0.008208929913511583,-0.008208929913511579,3.470314639087839e-18,-0.008208929913511583,-0.008208929913511583,2000,1.0
