,2020,2021,2022,2023,2024H1,2024H2,2025,deck in-sample,unseen,all
10:00,0.37680502355613016,0.3102548530552552,0.24112354835388844,0.2935360316938391,0.22302524093493642,0.29129997331384333,0.2716786672972401,0.2917264118979887,0.2795651970763106,0.2877933017011578
10:30,0.3903361956908998,0.3683395921823463,0.26392745501155485,0.3129923122593576,0.22241251157542147,0.3045239262235463,0.2597739280432889,0.31617259141915893,0.2777606101205836,0.30375932985709975
11:00,0.3872494901328997,0.3791229024975854,0.2646098938273206,0.3509159929067631,0.21875337222555072,0.32249220890669783,0.2568527601341263,0.3282722439601971,0.2832356862751599,0.3137181764140935
11:30,0.4146112397662978,0.4081237499095224,0.3094182983139159,0.3698267958190386,0.18245055791657058,0.3260575638727422,0.290048465046677,0.3517985654004742,0.3045218558581221,0.33652056771581734
12:00,0.38874099674257523,0.43712584350112604,0.31880475010114256,0.3769730590537812,0.19532283724943533,0.3716222095333352,0.29793000088044436,0.35797495977793986,0.3275496295399598,0.34815036135082045
12:30,0.39435294431235135,0.45407201621362114,0.35479011990111814,0.3860818380577436,0.22087672910377515,0.3998300202221073,0.33213567408435435,0.37624855008704655,0.3593445396021921,0.37079010104072524
13:00,0.3853616344729623,0.45461813737938656,0.37434840535297087,0.4170877391338596,0.2812131534807072,0.47806738856373127,0.4170174314715833,0.3943158842598933,0.4415556708839236,0.4095700139516248
13:30,0.40054532335164994,0.49901549307421483,0.45917797591398973,0.49898375220994134,0.30237529689440296,0.5280579768557996,0.4279581201188371,0.4521197527837775,0.4681919608411998,0.45730960573742524
14:00,0.43221167373198033,0.5628505571005349,0.5804752417300579,0.5485021549696822,0.31569971181798717,0.6382023570682683,0.489146354160073,0.5156761211591158,0.5490574836582823,0.5264552475955159
14:30,0.5489239127430138,0.6493155506229255,0.6890053914394486,0.659853709252062,0.4494451851033197,0.7610104229661303,0.6040791331910632,0.6248980210105595,0.6671556322289834,0.6385433638043118
15:00,0.6994844838041326,0.7931793642704795,0.8693283911123119,0.9193966701240806,0.5582851709236726,0.9055704316482903,0.7591869106809848,0.8089744215090321,0.8180238706823715,0.8118965657690704
