book,unit,reference,sample,n,mean_diff,sd_diff,t_hac,t_lag,d_Sharpe
q-selector expanding | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector expanding | hold | unconditional,premium,fixed 11:00,unseen,413,0.005556360065088347,0.7587147877825823,0.13823199210049011,11,-0.6564900314747595
q-selector expanding | hold | unconditional,premium,fixed 11:00,all,1279,-0.01082635399392072,0.6934931612655654,-0.519900413726596,16,-1.5744926514139417
q-selector expanding | hold | unconditional,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,0.6051014861452738,-0.012776548200355644,14,-0.4929242435589274
q-selector expanding | hold | unconditional,premium,fixed 13:30,unseen,413,-0.03280993408521144,0.6152583809903076,-0.9568598303755453,11,-1.4265030568539199
q-selector expanding | hold | unconditional,premium,fixed 13:30,all,1279,-0.010772652643751308,0.6083494061898728,-0.6004934232518916,16,-0.8012046817321345
q-selector expanding | hold | unconditional,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,0.24086200265314298,0.0407304290492077,14,0.0802315129377229
q-selector expanding | hold | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | hold | unconditional,premium,fixed 15:00,all,1279,0.00025645013414372307,0.19815776415356207,0.041780602743154156,16,0.048727915340520234
q-selector expanding | hold | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,7.750096638225502,-3.2179716078411427,14,-1.7463113105632806
q-selector expanding | hold | unconditional,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,10.36872505445733,-0.5678799520005801,11,-0.31487861172270765
q-selector expanding | hold | unconditional,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,8.682714374316285,-2.8073810471424263,16,-1.0801197985571676
q-selector expanding | hold | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,6.842630969451883,-0.5786419462803533,14,-0.07886479376008926
