,quarter,pick_expanding,qbar_expanding,pick_thresholded_expanding,pick_rolling 126,qbar_rolling 126,pick_thresholded_rolling 126,pick_rolling 252,qbar_rolling 252,pick_thresholded_rolling 252,pick_ewma hl 63,qbar_ewma hl 63,pick_thresholded_ewma hl 63,p26_pick_expanding,p26_pick_rolling 126,p26_pick_rolling 252,q_10:00,q_10:30,q_11:00,q_11:30,q_12:00,q_12:30,q_13:00,q_13:30,q_14:00,q_14:30,q_15:00
2020-01-03,2020Q1,,,,,,,,,,,,,,,,0.8747057131259425,0.5198037175400879,0.6273761253061874,0.29356381135079845,0.2581419454355767,0.036801292473341615,-0.04965786362671648,-0.2257248950881239,0.3720951578201739,0.416460917001342,0.4191809908799346
2020-01-06,2020Q1,,,,,,,,,,,,,,,,0.8932610497997264,0.7432775054161921,0.6400221579605433,0.4829007018836783,0.3015130174234781,0.03363901813335998,-0.06119927652053302,0.011674475478775164,-0.0709896654808293,-0.07934156572754981,-0.28125316034384334
2020-01-08,2020Q1,,,,,,,,,,,,,,,,-0.4831068148241091,-0.3207725583436522,-0.29600986334474855,-0.5490866013238512,-0.9712275210926489,-1.2527360588572554,-1.319791774697177,-1.6440889495430755,-1.657586456797563,-1.675653144368357,-1.826450594382873
2020-01-10,2020Q1,,,,,,,,,,,,,,,,0.4869404709146275,0.35509791668333107,0.11677094129343459,0.518390373249455,0.6869721640747007,0.6146322667502206,0.3584565551468248,0.19314336986179276,0.2028200273222678,0.7800715349533345,0.6829151871335305
2020-01-13,2020Q1,,,,,,,,,,,,,,,,0.42183330004322006,0.1937376277309666,0.2184277578971243,0.1036577801241278,0.09347463520972302,-0.1543644061642628,-0.16078171731818622,-0.2146430071634707,-0.36731586371188524,-0.14907327859122796,-0.3461607937560596
2020-01-15,2020Q1,,,,,,,,,,,,,,,,-0.12648177525597334,-0.2046490079412202,-0.3118620078313786,-0.2523123906567531,-0.3604541864945562,-0.5991719407354956,-0.36336568862309937,-0.6950832614253324,-0.6891087729370369,-0.534302575897791,-0.6702115111517304
2020-01-17,2020Q1,,,,,,,,,,,,,,,,0.5405949712536386,0.25975663001648913,0.49355934471519797,0.48831286246044525,0.39151127491528176,0.33076720183475206,0.5566090761299767,0.5359142297697183,0.4645894135301211,0.28345271873556543,0.16692752151707207
2020-01-21,2020Q1,,,,,,,,,,,,,,,,-0.1325505089281585,-0.18731001962791755,-0.28375248711600803,-0.35879231514940074,-0.29213040478208435,-0.39327622098331255,-0.5106734951435145,0.013751081165944578,1.1227243908017652,0.8154625878903183,0.7530525418704249
2020-01-22,2020Q1,,,,,,,,,,,,,,,,-0.04592749148062073,-0.36117513188594114,-0.24532790193071347,0.0364505763709886,-0.12440534534058086,-0.14164191877551335,-0.14855171108286086,-0.36552885778956123,-0.1832898746395346,-0.32408322282454183,-0.6069962553645559
2020-01-24,2020Q1,,,,,,,,,,,,,,,,-1.8805774857993898,-1.072317685841275,-1.249102592117051,-1.0294052652969097,-0.9835184226533203,-0.32109739979153173,-0.9263959606707165,-0.2945746073275373,-0.11663256215887027,0.3860887588971166,2.133749812639251
