,quarter,pick_expanding,qbar_expanding,pick_thresholded_expanding,pick_rolling 126,qbar_rolling 126,pick_thresholded_rolling 126,pick_rolling 252,qbar_rolling 252,pick_thresholded_rolling 252,pick_ewma hl 63,qbar_ewma hl 63,pick_thresholded_ewma hl 63,p26_pick_expanding,p26_pick_rolling 126,p26_pick_rolling 252,q_10:00,q_10:30,q_11:00,q_11:30,q_12:00,q_12:30,q_13:00,q_13:30,q_14:00,q_14:30,q_15:00
2020-01-27,2020Q1,,,,,,,,,,,,,,,,1.1621189848982492,0.8879872756767904,1.074967437389609,0.9269871526984581,0.8783878741818065,0.8019697304638025,0.7699311940146678,0.4637941778908913,0.516197104415511,0.21063202673471224,0.9610235062270899
2020-01-29,2020Q1,,,,,,,,,,,,,,,,1.1049145185849627,0.9411348335616534,0.7440040351396209,0.6494736584000059,0.5273028657112008,0.47099095362774335,0.4912873907450099,0.4490986570483163,0.35299420662774006,0.14032142867047884,-0.12157366332514728
2020-01-31,2020Q1,,,,,,,,,,,,,,,,-0.5437943816312504,0.060982829782235314,0.13029404175361095,0.4079357752959836,0.4775702326007774,0.781847126646374,1.2194013003706952,1.113529369313819,0.8693336457295945,0.7877393088709622,0.6421959504927909
2020-02-03,2020Q1,,,,,,,,,,,,,,,,0.05780746179951833,-0.0997881034292412,0.4041497938150899,0.401981202314177,0.40842486704375336,0.0571473091510859,-0.24703962325105586,0.40796761569973855,0.21432154893146987,0.33741051126955,0.012120726848229187
2020-02-05,2020Q1,,,,,,,,,,,,,,,,0.7714616827980123,1.5489136229297886,1.573365969973304,1.5890533114110044,1.3623212424705187,1.2826052276978888,1.06014478168408,0.9663594602874831,1.052113022035379,0.9960607559464791,3.0093316758656456
2020-02-07,2020Q1,,,,,,,,,,,,,,,,0.654644085256713,0.4282157653781765,0.3583776896245047,0.25408592109820727,0.0389173366737129,-0.16360445762677797,-0.08082964546082627,-0.12613857418643637,1.6877758893670538,2.1232870916370485,4.176776500372123
2020-02-10,2020Q1,,,,,,,,,,,,,,,,0.7530185325344565,0.9193143981880173,0.8090627993341438,0.5960740470418221,0.5121660811728528,0.4456808615723234,0.2611567621954716,0.042898011199548385,-0.015060735444127638,-0.10966406054788826,-0.15203089126064284
2020-02-12,2020Q1,,,,,,,,,,,,,,,,0.7091357734395456,0.8271715414544749,0.8803630818307585,1.3031981089653397,1.2297728284850167,1.0704994205197491,1.0752528216477457,1.5671874852506769,1.8893596398850785,1.689810534591176,1.8783512625287337
2020-02-14,2020Q1,,,,,,,,,,,,,,,,0.6075052082476023,0.30341635846145165,0.20810558181380015,0.0063565504874013344,-0.16087774014170017,0.18246878095261357,0.24221784692468895,0.16378263326425158,0.18211666393035428,-0.04285578761682486,-0.3340365365231995
2020-02-18,2020Q1,,,,,,,,,,,,,,,,-0.5231386980493944,0.08610852703777402,-0.1966524770628744,0.6368315412385965,0.5225920829204362,0.45230557008853145,0.4818417127919883,0.27187778492759707,0.17065742308148085,2.5002866736950953,2.259638182860618
2020-02-19,2020Q1,,,,,,,,,,,,,,,,1.1148003334686458,0.9717402009696758,0.9438664111128643,1.293493206135729,1.433444283271056,1.1819372730690585,0.9798812054141774,0.8372674092162313,1.0971795297539584,0.67407645425233,0.4654265619691245
2020-02-21,2020Q1,,,,,,,,,,,,,,,,1.312019184238128,1.160752784681661,1.0766792646933745,0.8894250850361431,0.7844075239161268,0.9007188589465157,0.8386503571839385,1.0947584373692278,1.5223126583784854,1.2958889768850395,1.0874729123499145
2020-02-24,2020Q1,,,,,,,,,,,,,,,,0.37920448144794966,0.3109248670495112,-0.07421172943368722,-0.03525310794659272,-0.001854734398868477,0.14972679749817985,0.10539748745074444,0.14527653999250892,-0.19262771938066978,-0.4494297894606356,-0.43743154192765876
2020-02-26,2020Q1,,,,,,,,,,,,,,,,-0.027782842588726587,-0.3690238855890572,-0.5168326293015956,-0.7712256970370689,-0.22518253519173156,-0.07701739537744771,-0.21264756226680492,-0.2566428114661621,1.3732601782821554,1.5323068067702654,1.618805690896288
2020-02-28,2020Q1,,,,,,,,,,,,,,,,0.24005554363829135,0.20814977944824112,-0.11527918507346799,-0.44065245017520704,-0.28322182227868503,-0.49965428713705,-0.6767440714433851,-0.7430562068113944,-0.758399008197337,-0.9179311412715416,-0.8923722883190364
2020-03-02,2020Q1,,,,,,,,,,,,,,,,-0.33717413838899873,-0.6322056969199232,-0.7496608827081327,-0.8280834360547942,-1.1064628503365974,-1.0451563107405533,-1.377931296758344,-1.0789188887547143,-1.3885266375541285,-1.3115182930725688,-1.3394398865858583
2020-03-04,2020Q1,,,,,,,,,,,,,,,,0.3330071790235424,0.45799910434888985,0.6128166333931843,0.40976607750094995,0.3700794842576383,0.14379984937835308,0.3366709332461638,0.4810719380001412,0.2878615462674322,0.05257651311111505,-0.02669735625610562
2020-03-06,2020Q1,,,,,,,,,,,,,,,,-0.14564404993768015,-0.29829934343959885,-0.24947526157991579,-0.21893622124229634,-0.502973639390114,-0.5345941809610092,-0.46945501490581465,-0.6810962748830425,-0.5465940655769431,-0.8082945024939703,-0.6791844337047308
2020-03-09,2020Q1,,,,,,,,,,,,,,,,0.9154769308244175,0.5594772789038548,0.7483018085560534,0.627329963062281,0.6269251611497888,0.6140912219690877,0.5242201728289764,0.38409079187501094,0.8933871257313515,0.8835008637498957,1.0165106446891388
2020-03-11,2020Q1,,,,,,,,,,,,,,,,1.2319964487564747,1.2564123022430782,1.0797815073963148,1.3786819945805997,1.3740247545115893,1.3395553487198801,1.632673847204998,1.5926553949992999,1.485975303619771,2.265801476907594,2.0020122528785205
2020-03-13,2020Q1,,,,,,,,,,,,,,,,-0.50984638589972,-0.7894031861888172,-0.6022926415562814,-0.5655092615021896,-0.667942547577684,-0.6514697363492766,-0.891630593379515,-1.1560512874532112,-1.2832454076315036,-1.1071660122126012,-1.1404518656956824
2020-03-16,2020Q1,,,,,,,,,,,,,,,,0.39522879638918584,0.14585572022837692,0.248513566702007,0.4853231207271325,0.45861290197958854,0.5219284174498563,0.382639088101789,0.11829544496013725,-0.1752555379640228,-0.3985264176207219,-0.3084650177116036
2020-03-18,2020Q1,,,,,,,,,,,,,,,,-0.3132151958828362,-0.4697823297255143,-0.4710452356382875,-0.6220925762590803,-0.7188036961904127,-0.7121447885147293,-0.6190734239875445,-0.4803833503733555,-0.6027319657303077,-0.7644698317429763,-0.4477954032651001
2020-03-20,2020Q1,,,,,,,,,,,,,,,,-0.09322192264125108,-0.3825155679277913,-0.5684373166525394,-0.035820466435207914,-0.10113696719430705,0.2592259757481076,0.2199298935379266,0.07852759462718899,-0.1449518437648124,0.10828486717277463,0.5007865528995349
2020-03-23,2020Q1,,,,,,,,,,,,,,,,0.45527482245830064,0.31897986518679516,0.2279183031513558,0.383972131673704,0.29774649359206745,0.3185492399747308,1.022497415982502,1.177166449310692,1.3795993125979376,1.1172503098664146,1.0314854691561113
2020-03-25,2020Q1,,,,,,,,,,,,,,,,0.08166532054544998,0.026048794676201237,0.013312707507094448,-0.16964730029590355,-0.3382625309026871,-0.1095140545035266,-0.23235856453827541,-0.21762364404870946,-0.40518318367865364,-0.532637402827091,-0.7930156745993062
2020-03-27,2020Q1,,,,,,,,,,,,,,,,0.06555670349419683,-0.07301719406025474,-0.1955168979978943,-0.24085220191599202,-0.30872624493901096,-0.31381685347636973,-0.28542758233104987,-0.5085404240770107,-0.480583936190722,-0.7222161867177893,-0.8926174482122426
2020-03-30,2020Q1,,,,,,,,,,,,,,,,1.0461545006483988,1.1686786557378621,0.9576974170159973,1.5554192689019055,1.3669975583967449,1.3538732205131447,1.2945992048932478,1.2446848729013937,1.1501324692356358,0.9466416633951462,1.0453709745992579
2020-03-31,2020Q1,,,,,,,,,,,,,,,,0.16768188458675545,0.3452583485890078,0.22502837822504146,0.2094474570794724,0.14663345279065385,0.42435533735099057,0.40344118567199094,0.3503530265534224,0.3011841893975905,0.16945771085323688,-0.013626610401955815
2020-04-01,2020Q2,,,,,,,,,,,,,,,,1.1541348883248506,0.9109509580146152,0.80766404111444,0.8353072254996863,0.8169898177289062,0.9726428306334883,1.0110845680287357,0.9712071640546883,0.9357370305724366,0.8973871324107902,1.4381967009885066
2020-04-03,2020Q2,,,,,,,,,,,,,,,,1.075127340572653,1.2986883375969975,1.2050062958157,1.3531380386548928,1.232423615261483,1.5617691789353627,1.4372604149255244,1.5704423339819897,1.717176693086622,1.850624748237544,2.500683474291412
2020-04-06,2020Q2,,,,,,,,,,,,,,,,0.5097373409858278,0.3618006935256468,0.2140192028894094,0.04908541846823312,-0.18637681976521023,0.08731091022692292,-0.02836421035232026,-0.15451924639416648,-0.23743385880993115,-0.27270316522092375,-0.5648557274692928
2020-04-08,2020Q2,,,,,,,,,,,,,,,,0.5345343406277795,0.5316210186430561,0.4154724300940262,0.6861279676041364,0.5057722339821876,0.40447666944330696,0.3247524036267356,0.2610616255210985,0.4303682884263245,2.143606204320923,3.452606586993929
2020-04-09,2020Q2,,,,,,,,,,,,,,,,0.7451468571082778,0.7243556599453487,0.5611326093828453,0.5917533817263563,0.5270772910199684,0.3958708950514783,0.4448724754029415,0.4164440399853523,0.44096153820236766,1.0734707284587226,1.5949204499221417
2020-04-13,2020Q2,,,,,,,,,,,,,,,,1.2761603724871091,1.1928661232867177,1.2347795589224018,1.1610542108556439,0.9552292860776819,0.8974343968593086,1.0712161895959276,1.0088044081038354,1.5243602131740701,1.5980552402330854,1.798843959399994
2020-04-15,2020Q2,,,,,,,,,,,,,,,,0.8033880703933381,0.9725595970721416,0.9235282093436287,0.747583075492143,0.6406975986787582,0.6602228746117966,0.6929853580508571,0.5443441011352608,0.40715543162104695,0.8900963652947449,0.8678193709534155
2020-04-17,2020Q2,,,,,,,,,,,,,,,,0.3404545040371618,0.6014034363790134,0.5043758911706029,0.542302247304859,0.4156287699080932,0.3633662059295202,0.35950826374831785,0.2097051635678095,0.07949534805253258,-0.060060116276111304,-0.2601398724500491
2020-04-20,2020Q2,,,,,,,,,,,,,,,,0.45806423628163034,0.15494269469546926,0.2332433543136239,0.0535489386954429,8.285730149832302e-05,-0.040052091873587735,-0.14621006778714482,-0.033295311308387206,-0.1606789327641004,1.250847550689242,1.6379689587700657
2020-04-22,2020Q2,,,,,,,,,,,,,,,,1.9341299490294332,1.7730747009297432,1.6805264233702848,1.757552908339552,1.6862772045093635,1.5632816059324026,1.558350769190923,1.7471567028625838,1.5427829727344633,1.318238214644121,1.8331374327129
2020-04-24,2020Q2,,,,,,,,,,,,,,,,1.3368742037055787,1.1446613216259345,0.9376340052807688,0.9596957604136676,0.8154648612556519,0.7226201778896628,0.6945233615107088,0.4755352637750184,1.4342076360685752,1.2748873277117236,1.6859924547445415
2020-04-27,2020Q2,,,,,,,,,,,,,,,,1.1598333069018882,1.0486999177781489,0.9228552545646395,1.594497759043587,1.4789271281492888,1.404527379759766,1.4070944243170467,1.7048667949003884,1.6957750097908482,1.696979094040875,2.967241442597947
2020-04-29,2020Q2,,,,,,,,,,,,,,,,0.7952440936706021,0.7091128024469884,0.5228831949422178,0.5848684913976088,0.5092818361867364,0.6285504325100513,0.5140488481794435,0.35707210236894515,0.1574819500812683,0.14820680879803,-0.2205248910307887
2020-04-30,2020Q2,,,,,,,,,,,,,,,,0.2086869869446895,0.130452840835531,0.34669568236480364,0.32607308497391596,0.7524970730442805,0.8189774363121782,0.7095395289019545,0.6245864879996956,0.6692429190110749,0.5766014944570221,0.6310773255093488
2020-05-01,2020Q2,,,,,,,,,,,,,,,,,0.8987755610379553,0.7082450349345601,1.2274615713899426,2.080843973933777,2.0189459094260345,1.9706004557587082,1.8539023963923027,1.7483227220189943,3.377579885446046,3.4137498027757442
2020-05-04,2020Q2,,,,,,,,,,,,,,,,1.0694069944965223,0.9126562497618783,0.79799509608896,0.6230273448764513,0.5553794103578874,0.47679544345989144,0.6409509402800749,0.540863790271527,0.49086163543829386,0.29671573634772846,0.8950233243927949
2020-05-06,2020Q2,,,,,,,,,,,,,,,,0.3497618267173274,0.18397668397401837,0.09146041072393676,0.21436981657539092,0.16095764746832902,0.036351170532162316,-0.11211468129689982,-0.1770760858292223,-0.41863282628067117,-0.34535333513888744,-0.5413782664278672
2020-05-08,2020Q2,,,,,,,,,,,,,,,,1.372283296664661,1.1529434353108465,1.0718614726568836,1.3150315475612997,1.1720414899142193,1.0899806645643981,1.0312929841712148,1.1590929329140276,1.233077120660655,1.5166279704954306,1.3717293738481833
2020-05-11,2020Q2,,,,,,,,,,,,,,,,0.4231709382561797,0.23999431636474827,0.16712231972580444,0.20679587724767948,0.0890131391685096,0.3340779088671653,0.26956403656629085,0.3426393252200164,0.24496647293859763,0.2698253685414598,0.6503969435202315
2020-05-13,2020Q2,,,,,,,,,,,,,,,,-0.4603449333956077,-0.595124948584503,-0.3328631016782348,-0.41466322209234685,0.26957258334301515,0.31303400453954483,0.07655578941397181,0.06085540672253775,0.06592837328792797,-0.17352671017616098,-0.019019148668637083
2020-05-15,2020Q2,,,,,,,,,,,,,,,,0.7238214769826551,0.6533416186574404,0.7761681413018396,0.6329796191269874,0.47384568762491747,0.6041905375020705,0.3906538829288457,0.3809068323186601,0.27040990183616204,0.27052900337868996,0.8915763987062492
2020-05-18,2020Q2,,,,,,,,,,,,,,,,0.7624701317201072,0.5888490200456439,0.8459919854393944,1.1067870411610705,0.9386278254801936,0.8655771609794183,0.7646182222466814,1.7512580563316076,1.6755669689540065,1.522605598072083,1.3269054181426245
2020-05-20,2020Q2,,,,,,,,,,,,,,,,0.6735241724275987,0.7546558162461245,0.6050738478526685,0.6340910931979246,0.49970051425565454,0.8177704496923209,0.7038251918471166,1.124824538518077,1.0895834194723075,1.0157529606918099,4.184635208075197
2020-05-22,2020Q2,,,,,,,,,,,,,,,,1.054161894710186,0.8939593508618513,1.3122511973097302,1.1498756608892915,0.9467491923834565,0.8651020622948279,0.863318151765939,0.7937862504156171,0.49413827903028823,0.4200212387637403,0.1551294805641961
2020-05-26,2020Q2,15:00,0.7340482569325204,15:00,15:00,0.7340482569325204,15:00,15:00,0.7340482569325204,15:00,15:00,0.8025568212068304,15:00,11:00,11:00,11:00,0.08523692235359515,-0.0953358647918587,-0.3115730771387256,-0.18301286401898598,-0.1381422913911534,-0.32304472637234377,-0.5933865763574679,-0.6770863796117925,-0.7249696881245359,-0.8515791859176955,-0.9815431172259649
2020-05-27,2020Q2,15:00,0.7072421417112941,15:00,15:00,0.7072421417112941,15:00,15:00,0.7072421417112941,15:00,15:00,0.7639360541213661,15:00,10:00,10:00,10:00,-0.15765904920104706,-0.38520247369549726,0.42738635384726387,0.22574973836457296,0.20364005072580688,0.008986921037003331,-0.14297183651457246,-0.1446304361984602,-0.2628392610833273,-0.23722843223354134,-0.5462198634830326
2020-05-29,2020Q2,15:00,0.6879581108621506,15:00,15:00,0.6879581108621506,15:00,15:00,0.6879581108621506,15:00,15:00,0.7358752434300484,15:00,10:00,10:00,10:00,0.5702279179877167,0.5296824174066089,0.5324232980943276,0.3919743845223408,0.13628180405116955,0.42139373293078985,0.526117399394372,0.47477166210421706,0.5045428811212492,1.3788154845863183,1.37327915013411
2020-06-01,2020Q2,15:00,0.6983417629723317,15:00,15:00,0.6983417629723317,15:00,15:00,0.6983417629723317,15:00,15:00,0.7493855747163244,15:00,10:00,10:00,10:00,1.400341413430262,1.3726745297054648,1.1747299280925314,1.4257743453430767,1.4630992241704919,1.4009781485480193,1.212555622227268,1.4433628929861704,1.4104251630473206,1.5466791377071092,2.4843272167245125
2020-06-03,2020Q2,15:00,0.7249982622820659,15:00,15:00,0.7249982622820659,15:00,15:00,0.7249982622820659,15:00,15:00,0.7857859313637399,15:00,10:00,10:00,10:00,0.917282947115274,0.9286638039682177,0.7987920906793818,0.9874843198002149,0.9094868332379376,0.7456288749352422,0.7858390153746121,0.7246655577273079,0.7597843501226723,1.5155182327626993,1.1544833870644486
2020-06-05,2020Q2,15:00,0.7313142199994538,15:00,15:00,0.7313142199994538,15:00,15:00,0.7313142199994538,15:00,15:00,0.7934445931551235,15:00,10:00,10:00,10:00,0.06873961968414105,0.029356550840835324,-0.007660120322902586,0.8980654091128306,0.9169226755827832,0.8108458354794568,0.7137360937321746,0.7496726626328128,1.016587533910437,0.8747838045518255,1.2086048263566658
2020-06-08,2020Q2,15:00,0.7382314751640512,15:00,15:00,0.7382314751640512,15:00,15:00,0.7382314751640512,15:00,15:00,0.801984441372544,15:00,11:00,11:00,11:00,0.01776517252889109,0.1830422522220347,0.03618536169566101,-0.06917320373596192,-0.11552606954408368,-0.17201972352802683,-0.37155724267688356,-0.5952929809405506,-0.4285534937367006,-0.5871406950933734,-0.8170022562132214
2020-06-10,2020Q2,15:00,0.7160138504300901,15:00,15:00,0.7160138504300901,15:00,15:00,0.7160138504300901,15:00,15:00,0.768999454919092,15:00,11:00,11:00,11:00,-0.3047044665073283,-0.1669628949064523,-0.22649866342154681,-0.26770942235521217,-0.31583664437900283,-0.38915302963686954,-0.4001823090614628,-0.4247208895764037,-0.47720999987690726,-0.6196859935083581,-0.43664456888469894
2020-06-12,2020Q2,15:00,0.6997792248059381,15:00,15:00,0.6997792248059381,15:00,15:00,0.6997792248059381,15:00,15:00,0.7446653632923814,15:00,11:00,11:00,11:00,-1.1008251198685732,-0.9958069027177291,-0.25143777631766645,-0.4224901684751011,-0.5873476081269049,-0.5100797134676615,-0.5971849026540847,-0.4638813139042093,0.10289691187017554,0.1488544794018598,0.046404025544817935
2020-06-15,2020Q2,15:00,0.6907045692606447,15:00,15:00,0.6907045692606447,15:00,15:00,0.6907045692606447,15:00,15:00,0.7307010700741745,15:00,11:00,11:00,11:00,0.25173901969029944,0.063409544624808,-0.12674487209867044,-0.3001118612470589,-0.46061600947796844,-0.6081418869176302,-0.9781575991711908,-1.0867628436169219,-1.153019725720413,0.6444385921347907,0.7166308161634511
2020-06-17,2020Q2,15:00,0.6910597233278065,15:00,15:00,0.6910597233278065,15:00,15:00,0.6910597233278065,15:00,15:00,0.7304222093458804,15:00,11:00,11:00,11:00,0.9575173516579515,1.148991313851149,1.0149296880885532,1.0495451137685052,1.0037598353957398,0.8698890461080339,0.8051724907593399,0.6733356828868418,0.4759853605277222,0.40275615994535013,0.4551102897153476
2020-06-19,2020Q2,15:00,0.6878712174681787,15:00,15:00,0.6878712174681787,15:00,15:00,0.6878712174681787,15:00,15:00,0.725013767589208,15:00,11:00,11:00,11:00,-0.8278884784329881,-0.9526786823526189,-0.9553756308839718,-1.1046713581136722,-1.1599965206924079,-0.1331788225599482,-0.32180770159253014,-0.03478405414874873,0.3100039868630089,0.2375452947742358,0.6120010581665052
2020-06-22,2020Q2,15:00,0.6868596153441564,15:00,15:00,0.6868596153441564,15:00,15:00,0.6868596153441564,15:00,15:00,0.7228128122703705,15:00,11:00,11:00,11:00,0.31492692596940625,0.18158295769721522,0.4192103540066057,0.34940665669598076,0.15959255594018654,0.2695411795434326,0.09438792845600785,0.02887433640561418,-0.2592219928629216,-0.3955651729230772,-0.5547217964140211
2020-06-24,2020Q2,15:00,0.6705230178210225,15:00,15:00,0.6705230178210225,15:00,15:00,0.6705230178210225,15:00,15:00,0.6981429690980723,15:00,11:00,11:00,11:00,-0.1338608844305741,-0.35334465671165516,-0.05689977463330565,0.3271875162660285,0.5676596386751669,0.4610223491032208,0.3339014134547131,0.9516750839814697,0.6917048611831328,0.5978079893878062,0.9644794692307318
2020-06-26,2020Q2,15:00,0.6743406340730966,15:00,15:00,0.6743406340730966,15:00,15:00,0.6743406340730966,15:00,15:00,0.703243379732101,15:00,11:00,11:00,11:00,0.08535120137302366,0.807530405172581,1.3263474911632713,1.2408965417434794,1.0901023735346247,1.6467857000672852,1.5244723332266845,1.6203498085328352,1.5899483790928217,2.558419669376639,3.084473956049028
2020-06-29,2020Q2,15:00,0.7052397792266342,15:00,15:00,0.7052397792266342,15:00,15:00,0.7052397792266342,15:00,15:00,0.7484732842880341,15:00,11:00,11:00,11:00,0.6561950293951024,0.7012390604483719,0.6541778734626613,0.479239004591481,0.4200358372950812,0.3349242678604048,0.27677219580856627,0.010200067079133745,-0.11831655314739187,-0.07759090562511528,-0.07988089044818353
2020-06-30,2020Q2,15:00,0.6953015429016365,15:00,15:00,0.6953015429016365,15:00,15:00,0.6953015429016365,15:00,15:00,0.7328649262928191,15:00,11:00,11:00,11:00,0.33827330231723474,0.2984815014160098,0.40091519775463014,0.4104981822004314,0.25190189345082104,0.19577262501584602,0.4525576241271238,0.36954948351981787,0.20930796344972857,0.15143228790441565,0.15453807761215796
2020-07-01,2020Q3,15:00,0.688541999585518,15:00,15:00,0.688541999585518,15:00,15:00,0.688541999585518,15:00,15:00,0.7220531559793087,15:00,11:00,11:00,11:00,0.3803930133836832,0.11094146746998636,0.10472684594157859,0.6922639477142164,0.8085929221319897,1.0356101337507644,1.0099254969492861,0.8232592293149222,0.7174861345783363,0.4495716709588117,0.22011341245727153
2020-07-02,2020Q3,15:00,0.6827589306086261,15:00,15:00,0.6827589306086261,15:00,15:00,0.6827589306086261,15:00,15:00,0.7127416271556563,15:00,11:00,11:00,11:00,-0.052432278532946824,0.5347763303050126,0.8609490829654541,0.6608974864958094,0.44807365885782147,0.30841828657683346,0.16895481010605817,-0.0271216606221968,-0.16185073849827963,-0.20899079154914196,-0.5405739549176952
2020-07-06,2020Q3,15:00,0.6678402368826953,15:00,15:00,0.6678402368826953,15:00,15:00,0.6678402368826953,15:00,15:00,0.6896668357300194,15:00,11:00,11:00,11:00,0.3637283398681891,0.5623947980363643,0.7401595532327748,0.5782049116990012,0.8833307024367835,0.8491790326932679,0.668374320112295,0.5225970946378699,0.3795921607293293,0.9255757527991175,0.6264362474571075
2020-07-08,2020Q3,15:00,0.6673413936366039,15:00,15:00,0.6673413936366039,15:00,15:00,0.6673413936366039,15:00,15:00,0.6885113279074031,15:00,11:00,11:00,11:00,-0.3593685338885058,-0.3433692636124094,-0.44266567408387775,0.673698410062489,0.46266662905263156,0.2406996997570279,0.0832194004728814,0.6554246453632322,0.5164057061832718,0.4806009638511209,0.18520367634675394
2020-07-10,2020Q3,15:00,0.6616016589069629,15:00,15:00,0.6616016589069629,15:00,15:00,0.6616016589069629,15:00,15:00,0.6793805797319096,15:00,11:00,11:00,11:00,1.2819326932071573,1.2731029478412461,1.233679559204083,0.88104069829225,0.8685152642513365,1.1687549491785958,1.1954931672487648,1.1029624407478504,1.3908836299093592,1.3086865077465446,1.613485049754841
2020-07-13,2020Q3,15:00,0.6728002870345849,15:00,15:00,0.6728002870345849,15:00,15:00,0.6728002870345849,15:00,15:00,0.6962054917327694,15:00,11:00,11:00,11:00,-1.6445160960216147,-1.773191132496026,-1.9060232026613253,-1.9428482641901739,-2.168946112684499,-2.2009144675528245,-2.336615760158934,-2.4935966511321768,-2.605063287997802,-1.8060375690122459,-2.356372044733304
2020-07-15,2020Q3,15:00,0.6375773529442607,15:00,15:00,0.6375773529442607,15:00,15:00,0.6375773529442607,15:00,15:00,0.6416090307507428,15:00,11:00,11:00,11:00,0.03453556608948405,-0.07918984735935015,-0.18652720217144603,-0.039149908791294465,1.1708839345507176,1.1185495581151756,0.9683734822799367,0.7804001726620564,0.663428287797658,0.7202460557489471,1.809831424392545
2020-07-17,2020Q3,15:00,0.6510515376735513,15:00,15:00,0.6510515376735513,15:00,15:00,0.6510515376735513,15:00,15:00,0.6623590395183635,15:00,11:00,11:00,11:00,0.6207286737463914,1.393299115847073,1.599439740459982,1.4511191056048847,1.2609710872454414,1.1935360412782732,1.1037216244396375,0.9804115931786458,0.807282923266406,1.3750670474401043,1.2128197103580645
2020-07-20,2020Q3,15:00,0.6574352669086025,15:00,15:00,0.6574352669086025,15:00,15:00,0.6574352669086025,15:00,15:00,0.6720701124699532,15:00,11:00,11:00,11:00,0.48746576176037093,1.4689910297252535,1.270647833918415,1.1505614720545112,1.0898805764081472,0.914007743320489,0.8775926363588376,1.004186657235752,1.1126393191904336,0.7969682796570865,0.5687651896954076
2020-07-22,2020Q3,15:00,0.6564389739062071,15:00,15:00,0.6564389739062071,15:00,15:00,0.6564389739062071,15:00,15:00,0.6702597647267539,15:00,11:00,11:00,11:00,0.5611217285073645,0.46312362587544054,0.4412517641873974,0.25412321834900925,0.07349449001362805,-0.005292787880840991,-0.15495309022318587,-0.2596989971836372,0.3975152685063658,0.5248063720868775,0.24314595799669822
