feature,sample,n,AUC_for_R>0,mean_R_top,mean_R_bottom,corr_with_s (deck)
x1_slice_change,all,1216,0.48562734368408955,-0.052250659007616045,0.005483279806579708,
x1_slice_change,deck,803,0.48256105610561056,-0.05229651432660317,0.014256595192913125,-0.13828568673161346
x1_slice_change,holdout,413,0.5045952085914911,-0.023577885345659026,-0.1536795965323594,
x2_skew,all,1216,0.5224950035346174,0.050849401942605135,-0.1510731771214101,
x2_skew,deck,803,0.5185874587458746,0.1555969141973405,-0.03922598173080684,0.02875519964348728
x2_skew,holdout,413,0.5288878562577447,-0.12206027625297058,-0.15546967249050944,
x3_realized_so_far,all,1216,0.5102387539528077,-0.0030697745285795048,-0.022201373393682732,
x3_realized_so_far,deck,803,0.5144752475247525,0.0048072286135155224,-0.00010165186710247545,0.18520973367436502
x3_realized_so_far,holdout,413,0.5059892606361008,-0.15378286623108758,-0.14407713089155944,
x4_premium_rich,all,1216,0.520432416078291,-0.04128731268713033,-0.11379493181077026,
x4_premium_rich,deck,803,0.5232871287128713,-0.04283506182460554,-0.05312419221418198,-0.3289475068088993
x4_premium_rich,holdout,413,0.5178903345724907,0.009222816391963642,-0.250222938004487,
x5_month_end,all,1216,0.5189938413291325,0.5146826571508852,-0.06107598850524158,
x5_month_end,deck,803,0.5235544554455446,0.5388149800964365,-0.05728745289559535,-0.15201176230709265
x5_month_end,holdout,413,0.5091904171829822,0.4503297959627485,-0.06831736669583124,
x6_third_friday,all,1216,0.4865059070293795,-0.3970383464204429,-0.00841319599556111,
x6_third_friday,deck,803,0.4901023102310231,-0.32774618114274456,-0.002625446266979559,-0.0740704086231544
x6_third_friday,holdout,413,0.4788181536555142,-0.5598749348230342,-0.01954688249634398,
