,"hold|premium|causal, expanding","hold|premium|causal, rolling 126","hold|premium|causal, rolling 252",hold|premium|fixed 11:00,hold|premium|fixed 13:30,hold|premium|ex-post best fixed clock per year (IN-SAMPLE CEILING),"hold|index points per contract|causal, expanding","hold|index points per contract|causal, rolling 126","hold|index points per contract|causal, rolling 252",hold|index points per contract|fixed 11:00,hold|index points per contract|fixed 13:30,hold|index points per contract|ex-post best fixed clock per year (IN-SAMPLE CEILING),"flatten|premium|causal, expanding","flatten|premium|causal, rolling 126","flatten|premium|causal, rolling 252",flatten|premium|fixed 11:00,flatten|premium|fixed 13:30,flatten|premium|ex-post best fixed clock per year (IN-SAMPLE CEILING),"flatten|index points per contract|causal, expanding","flatten|index points per contract|causal, rolling 126","flatten|index points per contract|causal, rolling 252",flatten|index points per contract|fixed 11:00,flatten|index points per contract|fixed 13:30,flatten|index points per contract|ex-post best fixed clock per year (IN-SAMPLE CEILING)
2020-01-03,0.0,0.0,0.0,0.3929300547188097,-0.4134849937548138,0.3929300547188097,0.0,0.0,0.0,3.4970775244701366,-1.6125914904311496,3.4970775244701366,0.0,0.0,0.0,0.10315675370197072,-0.517069952084509,-0.03823736703733836,0.0,0.0,0.0,0.918095117785334,-2.0165728316214477,-0.2714853023185029
2020-01-06,0.0,0.0,0.0,0.3245271849158958,-0.21026385386757154,0.3245271849158958,0.0,0.0,0.0,2.012068523266561,-0.6413047442699313,2.012068523266561,0.0,0.0,0.0,0.32668774611707824,0.18376877526730256,0.25106378718895783,0.0,0.0,0.0,2.0254640025593567,0.5604947558024947,1.3934040368561973
2020-01-08,0.0,0.0,0.0,0.057554027755066225,-2.9986468935589365,0.057554027755066225,0.0,0.0,0.0,0.6043172914281953,-9.52070392279628,0.6043172914281953,0.0,0.0,0.0,-0.03006240849252369,-0.695735650884627,-0.08178928584802428,0.0,0.0,0.0,-0.31565528917149877,-2.208960699852506,-0.6706721381037735
2020-01-10,0.0,0.0,0.0,-0.20986061757993127,-0.3278507911679867,-0.20986061757993127,0.0,0.0,0.0,-1.0283170086295286,-1.1228889832000704,-1.0283170086295286,0.0,0.0,0.0,-0.6355975385530478,-0.7446330189126951,-0.26709167408254314,0.0,0.0,0.0,-3.1144278858715424,-2.5503681430362843,-1.3955540034492497
2020-01-13,0.0,0.0,0.0,0.051970784174573105,-0.5277016886131699,0.051970784174573105,0.0,0.0,0.0,0.24296341973336943,-1.4643721733201578,0.24296341973336943,0.0,0.0,0.0,0.21091901758277481,0.16822977336682932,0.14928459467581198,0.0,0.0,0.0,0.986046422285576,0.466837617082041,0.6419237677836578
2020-01-15,0.0,0.0,0.0,-0.18244197784866442,-0.673450613499269,-0.18244197784866442,0.0,0.0,0.0,-1.1721896989781575,-3.0473640501686634,-1.1721896989781575,0.0,0.0,0.0,-0.39729827758422,-0.9065313473742529,-0.44091899596565437,0.0,0.0,0.0,-2.552641414533955,-4.102054379288582,-2.9541573465561806
2020-01-17,0.0,0.0,0.0,0.1305944319872693,0.03709170354939754,0.1305944319872693,0.0,0.0,0.0,0.6856207523650943,0.14187576342344022,0.6856207523650943,0.0,0.0,0.0,0.2989798033369785,0.2682088789856489,0.27853875622476787,0.0,0.0,0.0,1.5696439318779671,1.025898942936313,1.420547646784994
2020-01-21,0.0,0.0,0.0,-0.11281779250774189,0.20448962781356406,-0.11281779250774189,0.0,0.0,0.0,-0.6035751858817404,0.7668361164893969,-0.6035751858817404,0.0,0.0,0.0,-0.39922650290755246,-0.06777072526207564,-0.34814437755593064,0.0,0.0,0.0,-2.1358617762779533,-0.25414022377223366,-1.436095578169236
2020-01-22,0.0,0.0,0.0,-0.3527392075943497,-0.5899946920415666,-0.3527392075943497,0.0,0.0,0.0,-1.6843296868281665,-1.7257344460884432,-1.6843296868281665,0.0,0.0,0.0,-0.4287065041250917,-0.7140096802496293,-0.4197304688529251,0.0,0.0,0.0,-2.0470735214232545,-2.088478280683531,-2.172105156299579
2020-01-24,0.0,0.0,0.0,-0.7222933045403078,0.31474481317340836,-0.7222933045403078,0.0,0.0,0.0,-5.453314500941767,2.628119197502061,-5.453314500941767,0.0,0.0,0.0,-0.9142832363163625,-0.19385285144976233,-0.7389783116198584,0.0,0.0,0.0,-6.90283849958317,-1.6186713142273277,-6.2443666803319555
2020-01-27,0.0,0.0,0.0,0.5209783478715779,0.026733052904076033,0.5209783478715779,0.0,0.0,0.0,7.7104796478680875,0.21921103190132651,7.7104796478680875,0.0,0.0,0.0,0.35796363859286856,0.11111727153830847,0.30764328577762307,0.0,0.0,0.0,5.2978619194506,0.9111616186664029,4.183948657236524
2020-01-29,0.0,0.0,0.0,0.21979776795252426,0.04939343358069854,0.21979776795252426,0.0,0.0,0.0,2.3957956392401916,0.4074958270407629,2.3957956392401916,0.0,0.0,0.0,0.4096309737371022,0.3002033627802188,0.39014225981465755,0.0,0.0,0.0,4.464977555136233,2.476677742936805,3.9209296925338757
2020-01-31,0.0,0.0,0.0,-0.13179208706620058,0.46783712891946383,-0.13179208706620058,0.0,0.0,0.0,-2.023008523897506,6.011707061998685,-2.023008523897506,0.0,0.0,0.0,-0.2195433933393021,0.08219982277185793,-0.08043252570760884,0.0,0.0,0.0,-3.3699910668209974,1.0562677147791883,-1.254747412544663
2020-02-03,0.0,0.0,0.0,0.1494843150453194,0.3284413827869088,0.1494843150453194,0.0,0.0,0.0,1.7639149104068013,2.6439531549265745,1.7639149104068013,0.0,0.0,0.0,0.3293395506163067,0.12668928400425072,0.2594106335687794,0.0,0.0,0.0,3.8862066815682854,1.019848745295742,2.8664874885653497
2020-02-05,0.0,0.0,0.0,0.39257224537129803,0.197265616838995,0.39257224537129803,0.0,0.0,0.0,3.356492679205295,0.9518065988965614,3.356492679205295,0.0,0.0,0.0,0.27546682658431665,-0.1345523710720662,0.23112826109526577,0.0,0.0,0.0,2.3552413541606256,-0.6492151888187301,1.8605824632431993
2020-02-07,0.0,0.0,0.0,0.20255976002557663,-0.3849540934304669,0.20255976002557663,0.0,0.0,0.0,1.7723978760767904,-1.953641996625557,1.7723978760767904,0.0,0.0,0.0,-0.014688517165627897,-0.5410098794857046,-0.17556380303703614,0.0,0.0,0.0,-0.1285245234482364,-2.7456250996939087,-1.2816157747276655
2020-02-10,0.0,0.0,0.0,0.35391821043863,-0.08200332626697233,0.35391821043863,0.0,0.0,0.0,2.742866088709044,-0.34646405543306974,2.742866088709044,0.0,0.0,0.0,0.3068169172185501,-0.16840214633343362,0.20012544947960756,0.0,0.0,0.0,2.3778310718683366,-0.7114990722737771,1.360853070775419
2020-02-12,0.0,0.0,0.0,0.39959794794676606,0.4509075246231585,0.39959794794676606,0.0,0.0,0.0,2.8071755747988743,1.9727204202263182,2.8071755747988743,0.0,0.0,0.0,0.29834646426179257,0.28832657137220635,0.4738829606366029,0.0,0.0,0.0,2.0958839043259587,1.2614287497534027,2.618203346218981
2020-02-14,0.0,0.0,0.0,0.15577970471707195,-0.17556746723104416,0.15577970471707195,0.0,0.0,0.0,1.0281460548467525,-0.9700102627303009,1.0281460548467525,0.0,0.0,0.0,0.31720397400109657,0.40390157662345366,0.21359892601172695,0.0,0.0,0.0,2.0935462359699692,2.2315562252892276,1.22819382456743
2020-02-18,0.0,0.0,0.0,0.0611652098353189,0.34014236322688496,0.0611652098353189,0.0,0.0,0.0,0.47097211135707884,1.4881228593916864,0.47097211135707884,0.0,0.0,0.0,-0.24084208891229572,-0.191390470389929,0.06947502746079956,0.0,0.0,0.0,-1.8544840673983085,-0.8373333193637005,0.6183277344626337
2020-02-19,0.0,0.0,0.0,0.5544923512571392,0.23287803490817957,0.5544923512571392,0.0,0.0,0.0,2.86949789131544,0.7801413947334215,2.86949789131544,0.0,0.0,0.0,0.3927345822586507,0.2709313011568676,0.47738132550351864,0.0,0.0,0.0,2.032401444461473,0.9076198330374841,2.339168512039728
2020-02-21,0.0,0.0,0.0,0.5409510947824425,0.6866778424610583,0.5409510947824425,0.0,0.0,0.0,6.843031271614223,6.283102324005386,6.843031271614223,0.0,0.0,0.0,0.2990070146245785,0.28388236514767556,0.07111624609239103,0.0,0.0,0.0,3.782438692227622,2.5975236681743636,0.728941513969291
2020-02-24,0.0,0.0,0.0,-0.2784124792177929,0.2650713068719543,-0.2784124792177929,0.0,0.0,0.0,-4.8443770321836634,4.373676563387246,-4.8443770321836634,0.0,0.0,0.0,0.03962406892941507,0.0492060859490489,0.04298010305809285,0.0,0.0,0.0,0.6894587842564395,0.8119004181593068,0.7500027901659161
2020-02-26,0.0,0.0,0.0,-0.45749836656902226,-0.28380236396989234,-0.45749836656902226,0.0,0.0,0.0,-11.185835193503927,-6.2152716626786315,-11.185835193503927,0.0,0.0,0.0,-0.5633258239171622,-0.4083832406428893,-0.7403817972719695,0.0,0.0,0.0,-13.773316555943428,-8.943592814293432,-15.69609360790758
2020-02-28,0.0,0.0,0.0,-0.4688424523504348,-0.8035436877368847,-0.4688424523504348,0.0,0.0,0.0,-27.661704688675655,-32.10157017182475,-27.661704688675655,0.0,0.0,0.0,0.1447716721598033,-0.24760878723941307,-0.07021248741226785,0.0,0.0,0.0,8.541528657428394,-9.891971002986924,-3.4649862805793568
