treatment,unit,book,period,n,mean,sd,Sharpe_ann,t_hac,t_lag,MaxDD,worst,worst_date
hold,premium,"causal, expanding",2020,158,0.06297502876436605,0.27754735990961255,3.6018991131152434,2.9036419140049277,8,-1.316266417987729,-1.2691628258951666,2020-07-13
hold,premium,"causal, expanding",2021,158,0.11798821505125595,0.4084725578547425,4.5853872235849185,3.851285013660071,8,-3.2999012412674986,-2.01918079038099,2021-06-14
hold,premium,"causal, expanding",2022,219,0.06446416075060547,0.3545725952541402,2.886113706001673,2.560025814930902,9,-3.737086688112598,-1.2193181176819186,2022-11-08
hold,premium,"causal, expanding",2023,248,0.0813374030491218,0.4131497985716648,3.125237502229712,3.5241321625829447,9,-3.1033215371942404,-2.3155480511407167,2023-11-30
hold,premium,"causal, expanding",2024H1,83,0.05704023868604953,0.4568123368690622,1.9821831519008628,1.4439122541805076,6,-2.0958885664165834,-2.0958885664165834,2024-04-04
hold,premium,"causal, expanding",2024H2,166,0.06762484716963739,0.43763563953282436,2.4529793083205846,1.859607177526582,8,-4.556822655300013,-2.2661612535539413,2024-07-12
hold,premium,"causal, expanding",2025,247,0.03505975096575657,0.4542515751127044,1.225215988214028,1.2628511250901684,9,-4.10244361511524,-2.7176740632642,2025-10-10
hold,premium,"causal, expanding",deck in-sample,866,0.07807835969327391,0.38065535028144065,3.2561095863465765,6.333985747814479,14,-3.802020660136211,-2.3155480511407167,2023-11-30
hold,premium,"causal, expanding",unseen,413,0.04814886953680795,0.4473971270770344,1.7084142073360225,2.2154904834592846,11,-4.556822655300013,-2.7176740632642,2025-10-10
hold,premium,"causal, expanding",all,1279,0.06841387225416487,0.40348185100980966,2.6916614726305705,6.335397262667018,16,-4.556822655300024,-2.7176740632642,2025-10-10
hold,premium,"causal, rolling 126",2020,158,0.06297502876436605,0.27754735990961255,3.6018991131152434,2.9036419140049277,8,-1.316266417987729,-1.2691628258951666,2020-07-13
hold,premium,"causal, rolling 126",2021,158,0.1139175316704014,0.43913509422170666,4.118060197002241,3.0403884520976123,8,-4.731540595001052,-2.01918079038099,2021-06-14
hold,premium,"causal, rolling 126",2022,219,0.07419416590601968,0.388290597562619,3.033284549531825,2.754433531374823,9,-3.490856309617933,-1.3061601342642342,2022-11-08
hold,premium,"causal, rolling 126",2023,248,0.04663998393491869,0.6143391655294482,1.2051759572010636,1.3840347432746365,9,-7.2954324595362525,-5.823485968457031,2023-11-30
hold,premium,"causal, rolling 126",2024H1,83,0.05240923645844231,0.49121314689769036,1.693706371023066,1.1023634466883319,6,-2.836482757398474,-1.8551010816354343,2024-02-21
hold,premium,"causal, rolling 126",2024H2,166,0.08628844536624601,0.49968423657330024,2.741304416842227,2.1828142636455206,8,-3.414074338689547,-3.206761441880398,2024-09-30
hold,premium,"causal, rolling 126",2025,247,0.030292366542524873,0.4950797918737637,0.9713109257616813,0.8756307185763587,9,-8.326910395819024,-2.6330923337088215,2025-05-21
hold,premium,"causal, rolling 126",deck in-sample,866,0.06941596942727728,0.467092266792889,2.3591577747418326,4.6224614412130345,14,-7.295432459536258,-5.823485968457031,2023-11-30
hold,premium,"causal, rolling 126",unseen,413,0.05279926505278566,0.4970905476767527,1.6861361623898066,2.0644376402545865,11,-9.067468489701698,-3.206761441880398,2024-09-30
hold,premium,"causal, rolling 126",all,1279,0.06405029397249616,0.47685355445232536,2.132241410423373,4.978044111368783,16,-9.067468489701682,-5.823485968457031,2023-11-30
hold,premium,"causal, rolling 252",2020,158,0.06297502876436605,0.27754735990961255,3.6018991131152434,2.9036419140049277,8,-1.316266417987729,-1.2691628258951666,2020-07-13
hold,premium,"causal, rolling 252",2021,158,0.10217746145930363,0.4712679719443064,3.441814450091492,2.6206735884330956,8,-5.601440731872206,-3.0745281901382766,2021-11-22
hold,premium,"causal, rolling 252",2022,219,0.05853295511008572,0.4191385193923927,2.216884904028769,2.1001892499600516,9,-3.737086688112598,-1.2705480180083537,2022-12-09
hold,premium,"causal, rolling 252",2023,248,0.08046281591851324,0.4673003362062735,2.7333761722061087,2.9721880077207827,9,-4.163714396592166,-1.927727838618405,2023-07-07
hold,premium,"causal, rolling 252",2024H1,83,0.08130706853798535,0.40400405002362433,3.194793960663723,2.1000878631846125,6,-2.0316213653303308,-1.8152988729273392,2024-04-04
hold,premium,"causal, rolling 252",2024H2,166,0.08608039887873133,0.39663213768567257,3.4452174680437126,2.5193882342703393,8,-2.8290705110869077,-1.8258275126166381,2024-07-25
hold,premium,"causal, rolling 252",2025,247,0.059824621464733024,0.46275043708747227,2.052264780175767,2.3824704788678353,9,-3.8666002649927367,-2.6330923337088215,2025-05-21
hold,premium,"causal, rolling 252",deck in-sample,866,0.07576914048601922,0.4202817538545801,2.861884451664561,5.314210133774978,14,-6.103560150740915,-3.0745281901382766,2021-11-22
hold,premium,"causal, rolling 252",unseen,413,0.07037779107907617,0.43706793574376457,2.5561536473788617,3.517747061508123,11,-3.866600264992737,-2.6330923337088215,2025-05-21
hold,premium,"causal, rolling 252",all,1279,0.07402822781591174,0.4256106833460617,2.7611188599861873,6.5168280567116454,16,-6.103560150740915,-3.0745281901382766,2021-11-22
hold,premium,fixed 11:00,2020,158,0.11481683478808742,0.3292222982298746,5.536261537681652,4.730386583832162,8,-1.6110674809272476,-1.2691628258951666,2020-07-13
hold,premium,fixed 11:00,2021,158,0.11798821505125595,0.4084725578547425,4.5853872235849185,3.851285013660071,8,-3.2999012412674986,-2.01918079038099,2021-06-14
hold,premium,fixed 11:00,2022,219,0.06446416075060547,0.3545725952541402,2.886113706001673,2.560025814930902,9,-3.737086688112598,-1.2193181176819186,2022-11-08
hold,premium,fixed 11:00,2023,248,0.0813374030491218,0.4131497985716648,3.125237502229712,3.5241321625829447,9,-3.1033215371942404,-2.3155480511407167,2023-11-30
hold,premium,fixed 11:00,2024H1,83,0.05704023868604953,0.4568123368690622,1.9821831519008628,1.4439122541805076,6,-2.0958885664165834,-2.0958885664165834,2024-04-04
hold,premium,fixed 11:00,2024H2,166,0.07282934470057081,0.44646609024198675,2.5895135837224132,2.0878851626520802,8,-4.333931655276377,-2.2661612535539413,2024-07-12
hold,premium,fixed 11:00,2025,247,0.03357774604722527,0.4505299762733375,1.1831181538048208,1.0661196971584663,9,-6.199624623734404,-2.8723397757018025,2025-05-21
hold,premium,fixed 11:00,deck in-sample,866,0.08753679543432237,0.38820714251023014,3.579541424032116,7.114767022451925,14,-3.802020660136243,-2.3155480511407167,2023-11-30
hold,premium,fixed 11:00,unseen,413,0.04935441766091863,0.44877161890587364,1.745825846361192,2.1074460249074303,11,-6.319335687222404,-2.8723397757018025,2025-05-21
hold,premium,fixed 11:00,all,1279,0.07520738025026003,0.40895919375053036,2.91931363235578,6.645698755350344,16,-6.319335687222377,-2.8723397757018025,2025-05-21
hold,premium,fixed 13:30,2020,158,0.01163387774763166,0.5425488274917272,0.3403971669705357,0.23062829769317236,8,-7.046154299129629,-2.9986468935589365,2020-01-08
hold,premium,fixed 13:30,2021,158,0.07127641476152267,0.7587508194009657,1.4912379372624542,1.3319886733136854,8,-6.7423090299890625,-6.742309029989063,2021-11-22
hold,premium,fixed 13:30,2022,219,0.09942140245521278,0.39920616092617967,3.9535107166204444,3.353490748900725,9,-4.942653044690789,-1.28635104476869,2022-10-11
hold,premium,fixed 13:30,2023,248,0.10253283567272577,0.5087918872704938,3.199064975626035,3.403236887939193,9,-3.903232726557123,-3.1539789117651096,2023-12-20
hold,premium,fixed 13:30,2024H1,83,-0.004919942961340997,0.6238303701076626,-0.12519697178017586,-0.08241128687341144,6,-5.782557703124611,-2.7847417311583476,2024-04-04
hold,premium,fixed 13:30,2024H2,166,0.0967139219184443,0.6015206783438707,2.5523410408941243,2.0290856543749305,8,-3.960167505951244,-3.2528640748102036,2024-07-12
hold,premium,fixed 13:30,2025,247,0.08167669206304234,0.5199220826895758,2.4937915388168115,3.0048952313315436,9,-3.7351269789729393,-2.7886236266029156,2025-09-03
hold,premium,fixed 13:30,deck in-sample,866,0.06916039415148115,0.5572946777876372,1.970029976526192,3.6529268106100927,14,-10.321788114104853,-6.742309029989063,2021-11-22
hold,premium,fixed 13:30,unseen,413,0.08772071181121843,0.5535025097728188,2.5158388717403524,3.557951999662863,11,-3.960167505951244,-3.2528640748102036,2024-07-12
