treatment,unit,sample,difference,n,mean_diff,t_hac,t_lag,ci_lo,ci_hi,excludes_zero_positive,d_Sharpe
hold,premium,deck in-sample,causal expanding - fixed 11:00,866,-0.00945843574104847,-1.9380514877908093,14,-0.021366133057431486,-0.0007410842077967369,False,-0.3234318376855394
hold,premium,unseen,causal expanding - fixed 11:00,413,-0.001205548124110707,-0.10652938730769504,11,-0.024475886803663954,0.02213685952703351,False,-0.03741163902516953
hold,premium,all,causal expanding - fixed 11:00,1279,-0.00679350799609515,-1.3295279810753242,16,-0.01821836869843522,0.0034455645737331785,False,-0.22765215972520947
hold,premium,deck in-sample,causal rolling 126 - fixed 11:00,866,-0.018120826007045097,-1.7170945104070745,14,-0.040443513419201445,0.0025459745436461905,False,-1.2203836492902833
hold,premium,unseen,causal rolling 126 - fixed 11:00,413,0.0034448473918670267,0.2402179508154149,11,-0.019101233503895913,0.03030934778747135,False,-0.05968968397138541
hold,premium,all,causal rolling 126 - fixed 11:00,1279,-0.011157086277763855,-1.305034933163023,16,-0.02899718998110606,0.005256884961087927,False,-0.7870722219324069
hold,premium,deck in-sample,causal rolling 252 - fixed 11:00,866,-0.01176765494830314,-1.4063139424417228,14,-0.029098615844466942,0.0064666391895954025,False,-0.7176569723675548
hold,premium,unseen,causal rolling 252 - fixed 11:00,413,0.021023373418157527,1.6637377101501676,11,-0.0017762493161923997,0.04387557135711761,False,0.8103278010176698
hold,premium,all,causal rolling 252 - fixed 11:00,1279,-0.0011791524343482851,-0.16418663148276472,16,-0.0157262366928953,0.012513742136179761,False,-0.15819477236959267
hold,index points per contract,deck in-sample,causal expanding - fixed 11:00,866,-0.1718896636818293,-1.4084443060647691,14,-0.46666424792946815,0.012941680615073446,False,-0.2014810931480051
hold,index points per contract,unseen,causal expanding - fixed 11:00,413,0.1857268676422116,0.6143392118765002,11,-0.3929818902868902,0.8026299869773927,False,0.1598318255667065
hold,index points per contract,all,causal expanding - fixed 11:00,1279,-0.05641223800799902,-0.42905468424462123,16,-0.3398549869973197,0.199722612107401,False,-0.18174565584015934
hold,index points per contract,deck in-sample,causal rolling 126 - fixed 11:00,866,-0.5034472645609889,-2.6262491211551784,14,-0.9412945474327943,-0.12364907348801134,False,-0.893591758868264
hold,index points per contract,unseen,causal rolling 126 - fixed 11:00,413,-0.009120178271581972,-0.02589022932744671,11,-0.6173565237388872,0.6473439995085033,False,-0.13102173659782768
hold,index points per contract,all,causal rolling 126 - fixed 11:00,1279,-0.34382483560279875,-1.990413237627005,16,-0.6991601968455872,-0.0012436118687342932,False,-0.7270353702922177
hold,index points per contract,deck in-sample,causal rolling 252 - fixed 11:00,866,-0.34094494288748456,-2.1903775924372195,14,-0.6811364452042586,-0.05711957301411465,False,-0.6191708140526688
hold,index points per contract,unseen,causal rolling 252 - fixed 11:00,413,0.4700163381092896,1.4276530841768973,11,-0.0781936794405892,1.0522875168892798,False,0.49710974508407846
hold,index points per contract,all,causal rolling 252 - fixed 11:00,1279,-0.07907863401206025,-0.5254671852025576,16,-0.3839534742150795,0.20017843532033186,False,-0.26012549484620395
flatten,premium,deck in-sample,causal expanding - fixed 11:00,866,-0.002667331507335865,-1.0761029485433504,14,-0.0077696718320634265,0.001468310183763889,False,-0.07154594203852982
flatten,premium,unseen,causal expanding - fixed 11:00,413,-0.0013017730771317315,-0.1482891378780554,11,-0.01822351139372104,0.0160373007152106,False,-0.060239944806134926
flatten,premium,all,causal expanding - fixed 11:00,1279,-0.0022263810525475084,-0.6865837067697202,16,-0.009059402697160181,0.004147949465930224,False,-0.07866289716903396
flatten,premium,deck in-sample,causal rolling 126 - fixed 11:00,866,-0.014134154531828471,-2.0081070334944133,14,-0.028185200372074053,0.0003290732582943959,False,-0.7877411090396229
flatten,premium,unseen,causal rolling 126 - fixed 11:00,413,0.005691736721921736,0.4831011241204131,11,-0.015879322665798466,0.029507671575337145,False,0.19578165658267666
flatten,premium,all,causal rolling 126 - fixed 11:00,1279,-0.007732205284135871,-1.2485703205127086,16,-0.02026299483700416,0.0046400771667520655,False,-0.43140796599280673
flatten,premium,deck in-sample,causal rolling 252 - fixed 11:00,866,-0.0027683827821823495,-0.5886216340578344,14,-0.011396326146718731,0.00624652417335934,False,-0.11565370761824179
flatten,premium,unseen,causal rolling 252 - fixed 11:00,413,0.022590178919454994,2.1529038150185222,11,0.0033214058338542638,0.04408212823264824,True,1.0426503987695608
flatten,premium,all,causal rolling 252 - fixed 11:00,1279,0.0054201129041164964,1.1313588401666805,16,-0.003928074613245723,0.014290183444275493,False,0.3015861911056936
flatten,index points per contract,deck in-sample,causal expanding - fixed 11:00,866,-0.0521384531632147,-1.1920979019632825,14,-0.1541358725070438,0.014003384792124879,False,-0.05267463632807923
flatten,index points per contract,unseen,causal expanding - fixed 11:00,413,0.06907157565975645,0.2970322155607179,11,-0.3389001383232848,0.5226414661855951,False,0.10548619479178864
flatten,index points per contract,all,causal expanding - fixed 11:00,1279,-0.01299870187010519,-0.16519868655480902,16,-0.1729485896233945,0.13849771474984465,False,-0.08848945169620503
flatten,index points per contract,deck in-sample,causal rolling 126 - fixed 11:00,866,-0.3329006419719792,-2.4467340034562204,14,-0.6152905432921947,-0.04604673856572408,False,-0.7527661187106403
flatten,index points per contract,unseen,causal rolling 126 - fixed 11:00,413,0.20518467442505076,0.7314874083094017,11,-0.28083448672159367,0.757016973365274,False,0.29724582024299384
flatten,index points per contract,all,causal rolling 126 - fixed 11:00,1279,-0.15914830759201568,-1.2018176083741587,16,-0.42600681043492183,0.10970874873394865,False,-0.3810957309436209
flatten,index points per contract,deck in-sample,causal rolling 252 - fixed 11:00,866,-0.12865618368450082,-1.5281518088880897,14,-0.29486816240341057,0.031503962923891744,False,-0.2232710023001956
flatten,index points per contract,unseen,causal rolling 252 - fixed 11:00,413,0.48825941663092515,1.7144628243218145,11,0.02111995741823378,0.9985324093324378,True,0.728325444261367
flatten,index points per contract,all,causal rolling 252 - fixed 11:00,1279,0.07055112118670392,0.6582637871029263,16,-0.12375157026295798,0.282577130258011,False,0.10141257412605209
