period,clock,n,implied_var_rem_mean,realised_var_rem_mean,implied_over_realised,implied_vol_rem_pct,realised_vol_rem_pct
2020,10:00,157,0.0002035051866903146,0.00017457316118737242,1.1657300887843174,1.4265524409930208,1.3212613715210644
2020,10:30,158,0.00017063704751963735,0.00016097564079832418,1.0600178180586797,1.306281162382882,1.2687617617122775
2020,11:00,158,0.00015060186097127216,0.00014433348163366957,1.0434298353136957,1.227199498742043,1.2013887032666388
2020,11:30,158,0.0001369546971808067,0.00013018497055654652,1.0520008307819197,1.1702764510183339,1.140986286317879
2020,12:00,158,0.00012113561665277558,0.00012340315316311884,0.9816249710625632,1.100616266701413,1.1108697185679284
2020,12:30,158,0.00011373125906398822,0.00011350576952656906,1.0019865909755925,1.066448587902803,1.0653908650188861
2020,13:00,158,0.00010100361310332581,0.00010314270031361268,0.979260895790174,1.005005537812234,1.0155919471599442
2020,13:30,158,9.00731982817442e-05,9.624813486878624e-05,0.9358435714576678,0.9490690084590488,0.9810613378825315
2020,14:00,158,7.778606193024852e-05,8.93807154366849e-05,0.8702779067074066,0.8819640691674947,0.9454137477141155
2020,14:30,158,6.567730936111972e-05,7.94876575143762e-05,0.8262579551956386,0.8104153833752153,0.8915585090972785
2020,15:00,158,5.6485354575446314e-05,6.847701391851544e-05,0.8248805160029515,0.7515673926897461,0.8275083922143354
2021,10:00,158,3.7078097373685415e-05,3.551766283112682e-05,1.0439340434638924,0.6089178710933472,0.5959669691444889
2021,10:30,158,3.225432191686847e-05,3.055217854776132e-05,1.0557126676399273,0.5679288856614749,0.5527402513637063
2021,11:00,158,2.798631843897945e-05,2.5439722358419027e-05,1.1001031396758798,0.5290209678167724,0.5043780562080296
2021,11:30,158,2.4968677075999405e-05,2.2946727081239386e-05,1.0881149624345823,0.49968667258592564,0.4790274217749897
2021,12:00,158,2.228975189298501e-05,1.9429533336459357e-05,1.1472098432317197,0.47212023778890283,0.4407894433452253
2021,12:30,158,1.958299720368306e-05,1.7217721325769102e-05,1.137374501141097,0.4425268037495928,0.41494242161737455
2021,13:00,158,1.755384628791622e-05,1.5805113616313235e-05,1.1106434736285622,0.41897310519789,0.39755645657331784
2021,13:30,158,1.5470185197108184e-05,1.4333460202148499e-05,1.0793056930377005,0.3933215630639666,0.37859556524276006
2021,14:00,158,1.4232700204253503e-05,1.2551118712383433e-05,1.133978614209979,0.3772625107833205,0.35427558076141
