segment,estimator,train_win,back_transform,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,clock,866,34.98845265588915,0.9821755481509183,0.5086174992630241,1.3383216004229939
bar1600,reclasso,500,raw,866,34.75750577367205,1.3691248403659624,0.8945336218303532,1.3383216004229939
bar1600,reclasso,2000,clock,866,39.607390300230946,1.446420646453446,0.9809207695701495,1.3383216004229939
bar1600,reclasso,2000,raw,866,39.95381062355658,1.1637601136005997,0.6961784833241795,1.3383216004229939
none,reclasso,500,clock,866,31.177829099307157,0.5547839223284485,0.07821627691795884,1.3383216004229939
none,reclasso,500,pooled,866,39.607390300230946,0.7438220119409512,0.271791151012691,1.3383216004229939
none,reclasso,500,raw,866,37.41339491916859,0.44173983888413004,-0.03241502631308353,1.3383216004229939
none,reclasso,2000,clock,866,33.6027713625866,1.215811109994023,0.7385683591099258,1.3383216004229939
none,reclasso,2000,pooled,866,40.64665127020785,1.1749689335988445,0.7058084148365856,1.3383216004229939
none,reclasso,2000,raw,866,38.56812933025404,1.1907553738108343,0.7193739322446185,1.3383216004229939
rth,reclasso,500,clock,866,28.52193995381062,1.0289786362066242,0.5493323868420871,1.3383216004229939
rth,reclasso,500,raw,866,29.676674364896073,1.1671780389621882,0.6867030855976196,1.3383216004229939
rth,reclasso,2000,clock,866,31.755196304849886,1.656536848577578,1.1767762115793632,1.3383216004229939
rth,reclasso,2000,raw,866,33.8337182448037,1.631485454902523,1.1560544283678906,1.3383216004229939
