book,sample,n,median_entry_premium_points,median_entry_premium_usd,median_spot_points,mean_pnl_usd_per_contract,sd_pnl_usd_per_contract,maxdd_usd_per_contract,worst_day_usd_per_contract,median_regt_margin_usd,mean_pnl_over_median_margin
"hold through cash-settle, crossed",whole,865,17.049999952316284,1704.9999952316284,4134.85009765625,152.7231546202204,724.0234572025789,-10855.576555429034,-3865.340864855333,63822.16794013976,0.002392948399425461
"hold through cash-settle, crossed",daily_era,489,17.800000190734863,1780.0000190734863,4172.25,167.19727822228097,754.8754730448751,-7860.619940918077,-3865.340864855333,64549.406747817986,0.002590221764167226
exit 15:30 at the quoted mid,whole,865,17.049999952316284,1704.9999952316284,4134.85009765625,143.7972415890665,610.9433708246863,-10077.403887905559,-3855.8341529327577,63822.16794013976,0.0022530924008087147
exit 15:30 at the quoted mid,daily_era,489,17.800000190734863,1780.0000190734863,4172.25,147.318944379933,654.612203020113,-5686.95535064001,-3855.8341529327577,64549.406747817986,0.002282266434383813
"exit 15:30 at the quoted ask, entry at the bid (crossed)",whole,865,17.049999952316284,1704.9999952316284,4134.85009765625,70.7452215083774,620.7116066774374,-16655.756750629524,-3948.3341815057343,63822.16794013976,0.0011084741210096612
"exit 15:30 at the quoted ask, entry at the bid (crossed)",daily_era,489,17.800000190734863,1780.0000190734863,4172.25,95.7800930484021,662.9481997860235,-7773.100457969243,-3948.3341815057343,64549.406747817986,0.0014838260779467167
