block,book,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,median_points,p95_points,median_premium_units,p95_premium_units,mean_points,min_points,max_points
book,"hold through cash-settle, mid",whole,865,0.10280158963047406,0.38849110201440484,4.200674442231098,7.782637597821873,-3.475653002635873,-2.297983622740885,2023-11-30,,,,,,,
book,"hold through cash-settle, mid",daily_era,489,0.09534612514974292,0.4042389863021925,3.744252447208741,5.21578020154985,-2.9951158671545066,-2.297983622740885,2023-11-30,,,,,,,
book,"hold through cash-settle, crossed",whole,865,0.0876494396253941,0.38839747325579227,3.5823912734402126,6.637137297404241,-3.8029384196496068,-2.3155274867929365,2023-11-30,,,,,,,
book,"hold through cash-settle, crossed",daily_era,489,0.08463293146089605,0.40426444456403904,3.323334896988719,4.6294379460859885,-3.117675131155586,-2.3155274867929365,2023-11-30,,,,,,,
book,"exit 15:30 at the model mark, mid",whole,865,0.09377239530941775,0.31701319131611444,4.695674084757515,8.699729098678187,-3.479769983252055,-2.0860574626722044,2024-04-04,,,,,,,
book,"exit 15:30 at the model mark, mid",daily_era,489,0.08849821764958825,0.3323392967785849,4.227202939457479,5.888534950679427,-2.1971599629576346,-2.0860574626722044,2024-04-04,,,,,,,
book,"exit 15:30 at the model mark, crossed",whole,865,0.07862024530433781,0.31675436969131393,3.940143600093967,7.299949125936462,-3.9539785461018155,-2.0959584667944617,2024-04-04,,,,,,,
book,"exit 15:30 at the model mark, crossed",daily_era,489,0.0777850239607414,0.33216782977711357,3.7173948349558406,5.178367285560703,-2.279736751812628,-2.0959584667944617,2024-04-04,,,,,,,
book,exit 15:30 at the quoted mid,whole,865,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,2024-04-04,,,,,,,
book,exit 15:30 at the quoted mid,daily_era,489,0.0809156106804417,0.3311635003389521,3.8787351170811952,5.403115873185777,-2.1319712654000185,-2.041976485629983,2024-04-04,,,,,,,
book,"exit 15:30 at the quoted ask, entry at the bid (crossed)",whole,865,0.04590784135401146,0.3235290841745265,2.252546754992813,4.17331914371056,-6.070173137912459,-2.202867888740946,2024-04-04,,,,,,,
book,"exit 15:30 at the quoted ask, entry at the bid (crossed)",daily_era,489,0.05329332614755972,0.3366338243741053,2.5131322639023277,3.50081777090367,-2.420605843818212,-2.202867888740946,2024-04-04,,,,,,,
book,"exit 15:30 at the quoted mid, hold when no quote",whole,865,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,2024-04-04,,,,,,,
book,"exit 15:30 at the quoted mid, hold when no quote",daily_era,489,0.0809156106804417,0.3311635003389521,3.8787351170811952,5.403115873185777,-2.1319712654000185,-2.041976485629983,2024-04-04,,,,,,,
book,"exit 15:30 crossed, hold when no quote",whole,865,0.04590784135401146,0.3235290841745265,2.252546754992813,4.17331914371056,-6.070173137912459,-2.202867888740946,2024-04-04,,,,,,,
book,"exit 15:30 crossed, hold when no quote",daily_era,489,0.05329332614755972,0.3366338243741053,2.5131322639023277,3.50081777090367,-2.420605843818212,-2.202867888740946,2024-04-04,,,,,,,
gap,model mark minus quoted mid,whole,865,,,,,,,,-0.09125277752855254,0.42646011874443823,-0.004955185251235799,0.025783170358467257,-0.15042959247387244,-5.923149293399376,1.0144909388335606
gap,model mark minus quoted mid,daily_era,489,,,,,,,,-0.11807868670106103,0.3533177452312881,-0.005631013490707468,0.019852183707794655,-0.13544538405286732,-1.1195279994370821,0.7938014072506121
spread,15:30 ask minus quoted mid,whole,865,,,,,,,,0.29999999701976776,1.394999849796294,0.01813469600791441,0.06593343855382465,0.4522254015066031,0.049999892711639404,7.549998998641968
spread,15:30 ask minus quoted mid,daily_era,489,,,,,,,,0.27499980479478836,0.6900009896606198,0.01573422551191512,0.030273718904244414,0.31896724771319723,0.049999892711639404,2.224999999627471
spread,11:00 mid minus bid,whole,865,,,,,,,,0.20000028610229492,0.5899995803832985,0.012658227848101266,0.030303029614953594,0.2782947993002875,0.09999966621398926,3.6000003814697266
spread,11:00 mid minus bid,daily_era,489,,,,,,,,0.19999980926513672,0.3000001907348633,0.010416681412607211,0.016666674613952638,0.19642126560211182,0.09999966621398926,1.0
