date,perturbed clock,V0 shares moved,V1 shares moved,V2 shares moved,V3 moved at or before the perturbed bar,V3 moved after it,later bars
2023-11-22,15:00,0,0,0,0,0,1
2023-10-30,11:30,0,0,0,0,7,8
2023-05-04,14:00,0,0,0,0,2,3
2023-01-04,13:30,0,0,0,0,3,4
2022-05-17,10:00,0,0,0,0,10,11
2021-06-14,12:00,0,0,0,0,6,7
2021-05-05,14:30,0,0,0,0,1,2
2022-06-23,13:00,0,0,0,0,4,5
2022-01-03,10:00,0,0,0,0,10,11
2021-08-04,14:00,0,0,0,0,2,3
