clock,n,QLIKE V0,QLIKE V1,QLIKE V2,QLIKE V3,DM t V1-V0,DM t V2-V0,DM t V3-V0
10:00,734,0.15391131212767098,0.14332963811425634,0.15569196766580376,0.14186785559277026,-4.932522903070148,0.3582941593610377,-2.115774086225558
10:30,734,0.16024208136911783,0.16011243877779963,0.1792169764406032,0.138478406959264,-0.07991234658785173,2.7928873717831295,-3.3316641725925127
11:00,734,0.18135585528133016,0.16719021392341926,0.18705252076941722,0.15108156122365346,-4.796149822964252,1.004300970603863,-3.2974274386222264
11:30,734,0.1649488659210676,0.16012853920401493,0.20800734099420604,0.13855162204600713,-2.6426525787421715,6.328330932899552,-3.8969159274243395
12:00,734,0.1803211473612957,0.1634297382579768,0.19554058584855202,0.15070533607773176,-5.056209088719164,2.3836546062498227,-3.4214900734125657
12:30,735,0.1860595685967545,0.17163261252144185,0.20969614113936097,0.15809003391316273,-4.907873999232244,3.4976013389028737,-4.285060701122298
13:00,735,0.23945853835075148,0.2098603123180353,0.22456006815625054,0.1726013312531794,-5.780436122342274,-1.9258248568014873,-6.682296543180144
13:30,735,0.1979957284187957,0.1819778827681573,0.18928147012743288,0.16411073943472637,-4.164306640423845,-4.159568348227753,-5.246471638017378
14:00,735,0.17547690609926098,0.17428860208946426,0.17447169129679344,0.15809704217991846,-1.1799841687123485,-1.1354817524555003,-2.4048396741071407
14:30,735,0.1620397312524019,0.15589308063458077,0.15868161960983404,0.15652290937220842,-1.958774635546452,-1.3227496884827625,-1.027702329749895
15:00,735,0.10078143586113927,0.09946878549115123,0.10452356581369514,0.11285061338749526,-1.1295292488992057,2.1446692693690537,3.3249486882294694
15:30,735,0.09798776056033952,0.09798776056033952,0.09798776056033952,0.09798776056033952,,,
pooled,8815,0.166714093609743,0.1571073192123983,0.17371952311953076,0.14507930187616974,-5.720574264024967,3.3699561560754114,-5.782153782448321
