rule,reproduced,notebook,abs diff
always short,1.9020388792233835,1.9020389,2.0776616427298222e-08
sign(s) V0,1.7205907343516698,1.7205907,3.4351669730980916e-08
"hybrid: always short, sign(s) at 15:30",3.171428442632503,3.1714284,4.263250286129505e-08
