variant,clock,n,mean RV / mean slice,median RV/slice,mean w
V0 unconditional,10:00,734,1.0704078077898138,0.9523017873009579,0.1248163949867026
V0 unconditional,10:30,734,0.9889350184656915,0.9292004105938816,0.10483649960569286
V0 unconditional,11:00,734,1.0378403461873575,0.9070960406013886,0.10188726383337841
V0 unconditional,11:30,734,0.9312765500044172,0.8591532238857373,0.10182365669351776
V0 unconditional,12:00,734,1.0172764110553352,0.9110261420995083,0.09469852931209102
V0 unconditional,12:30,735,0.9277745777545297,0.8625223207828333,0.09466278675454302
V0 unconditional,13:00,735,1.059728596212111,1.0292797905532896,0.10461839772425292
V0 unconditional,13:30,735,0.8532186403088997,0.8347486968492285,0.1293728851552792
V0 unconditional,14:00,735,1.0708645342902103,0.8046764547997189,0.1901321703984615
V0 unconditional,14:30,735,1.1000662571205289,0.7608692208700686,0.25342260321484217
V0 unconditional,15:00,735,1.0671603433886518,0.8914961208346778,0.34613538679640304
V0 unconditional,15:30,735,0.7930056637856374,0.759933417280084,1.0
V1 event-conditional,10:00,734,1.0574487810528597,0.9144844696381409,0.12894927391944747
V1 event-conditional,10:30,734,0.9833392846815605,0.9108914079771461,0.10608592929039179
V1 event-conditional,11:00,734,1.0387647225848344,0.8635467441424327,0.10552583508307715
V1 event-conditional,11:30,734,0.9297193195445919,0.8339766724905575,0.10402689537142043
V1 event-conditional,12:00,734,1.0211534555531967,0.8531096158322763,0.09929826135169018
V1 event-conditional,12:30,735,0.9397301849848577,0.8404933370619275,0.09776571609519069
V1 event-conditional,13:00,735,1.078178967418359,0.971765339489727,0.10984534680365401
V1 event-conditional,13:30,735,0.867034742504591,0.7633998181690813,0.13854276508258312
V1 event-conditional,14:00,735,1.050029431967659,0.8172502483046524,0.18746772626692504
V1 event-conditional,14:30,735,1.0761272441916852,0.836710976963526,0.23321720533122603
V1 event-conditional,15:00,735,1.0678204871969197,0.9161962093236388,0.33634604053363626
V1 event-conditional,15:30,735,0.7930056637856374,0.759933417280084,1.0
V2 market-implied,10:00,734,0.8708663049263825,0.7792930115490511,0.15279534087269456
V2 market-implied,10:30,734,0.748855624941998,0.7063284422529819,0.13765070527503878
V2 market-implied,11:00,734,0.8528616266601969,0.7557940498850557,0.12328568079154258
V2 market-implied,11:30,734,0.7047753954909027,0.6499177702007943,0.13466926290333214
V2 market-implied,12:00,734,0.8158168142643307,0.7362795912121862,0.11787748412424941
V2 market-implied,12:30,735,0.7225468227999473,0.6742750127569997,0.1209705655618519
V2 market-implied,13:00,735,0.8779047195485855,0.850771190835079,0.1264148901751244
V2 market-implied,13:30,735,0.8827343025945739,0.8420182408097109,0.1280573403069701
V2 market-implied,14:00,735,1.0863196494049694,0.8129156861897048,0.1884683486147609
V2 market-implied,14:30,735,1.231068577257645,0.8555785214461895,0.22731284555626985
V2 market-implied,15:00,735,1.0137206453644008,0.8467887486878618,0.3654935319820269
V2 market-implied,15:30,735,0.7930056637856374,0.759933417280084,1.0
V3 same-day-conditioned,10:00,734,0.8794139079945457,0.78014840552729,0.15251879042636415
V3 same-day-conditioned,10:30,734,0.8009937693891019,0.7136796222925672,0.13348336277717737
V3 same-day-conditioned,11:00,734,0.8526166316927365,0.7173124626856933,0.12916007416594372
V3 same-day-conditioned,11:30,734,0.8440130879305419,0.7287734441919523,0.1194058245546905
V3 same-day-conditioned,12:00,734,0.868620213445224,0.741497672112982,0.11663064507254373
V3 same-day-conditioned,12:30,735,0.8803282382529118,0.7721839925200522,0.10615011609704689
V3 same-day-conditioned,13:00,735,0.9468951028578145,0.805168921141462,0.12922270291626708
V3 same-day-conditioned,13:30,735,0.8928295544112315,0.7853546224950043,0.13446731857142313
V3 same-day-conditioned,14:00,735,0.8256234431353526,0.8155367255761946,0.1956941882211896
V3 same-day-conditioned,14:30,735,0.9373976415047416,0.7924363531171236,0.24626691924195232
V3 same-day-conditioned,15:00,735,0.8361398767647423,0.7715639485293381,0.39783716804796515
V3 same-day-conditioned,15:30,735,0.7930056637856374,0.759933417280084,1.0
