frame,fill,variant,Sharpe V0,Sharpe variant,mean daily diff,t plain,t HAC,dSharpe,pct_lo,pct_hi,basic_lo,basic_hi
common support,crossed,V1 event-conditional,-2.4121286696652593,-2.6282856230442504,-0.01983423765014344,-1.6232159001549729,-1.857853646786362,-0.2161569533789911,-0.4735661598523202,0.032219638798765715,-0.4645335455567479,0.041252253094338
common support,crossed,V2 market-implied,-2.4121286696652593,-1.964488676109344,0.03410187511379791,2.096060250557948,2.1641041823143876,0.4476399935559152,0.05665657295923505,0.822057318088674,0.07322266902315644,0.8386234141525953
common support,crossed,V3 same-day-conditioned,-2.4121286696652593,-2.3583122852978677,0.0031651157415666545,0.15146347209839378,0.16767794975910152,0.053816384367391557,-0.3666928735788183,0.5071174782155213,-0.3994847094807382,0.4743256423136014
common support,mid,V1 event-conditional,1.463986222555668,1.2154064675588743,-0.01988312973626516,-1.6357915507750695,-1.8765018931744375,-0.24857975499679363,-0.4982070176242086,-0.013575689577865289,-0.48358382041572195,0.001047507630621336
common support,mid,V2 market-implied,1.463986222555668,1.791240304615212,0.029779277777124708,1.8386268888583337,1.9422457171148393,0.3272540820595442,-0.050996876282207344,0.679200229502191,-0.024692065383102646,0.7055050404012958
common support,mid,V3 same-day-conditioned,1.463986222555668,1.49628292403367,0.0031791108079596286,0.15259511333262532,0.1705220712458787,0.03229670147800201,-0.3799231652293866,0.4625402676487027,-0.3979468646926987,0.4445165681853906
full 866 days,crossed,V1 event-conditional,-2.2432174183129217,-2.5381401944223514,-0.024714008279351333,-2.2023720996897764,-2.431605525728404,-0.29492277610942974,-0.5583649191653861,-0.058761383091504575,-0.5310841691273549,-0.03148063305347337
full 866 days,crossed,V2 market-implied,-2.2432174183129217,-1.863036029149561,0.029145669084762838,1.888315764342733,1.873431169784013,0.38018138916336075,-0.013658065203869101,0.7478656679841226,0.012497110342598927,0.7740208435305906
full 866 days,crossed,V3 same-day-conditioned,-2.2432174183129217,-2.169232259541602,0.011925221268669158,0.551558411709793,0.5869267929532224,0.07398515877131961,-0.3984237479659868,0.5721610486405081,-0.42419073109786887,0.546394065508626
full 866 days,mid,V1 event-conditional,1.7205907343516698,1.4050818365309863,-0.024902101075814264,-2.2251650547891684,-2.4598008694959876,-0.3155088978206835,-0.5679035593790065,-0.08662902458486933,-0.5443887710564976,-0.06311423626236046
full 866 days,mid,V2 market-implied,1.7205907343516698,1.9532568735971263,0.019576781033672188,1.2801947544467212,1.3025783978994983,0.23266613924545654,-0.12808419998018322,0.5691986089436605,-0.1038663304527474,0.5934164784710962
full 866 days,mid,V3 same-day-conditioned,1.7205907343516698,1.377688890245588,-0.03198319470697093,-1.4549824806658536,-1.2861792257965154,-0.3429018441060818,-0.9977437610164845,0.24674960115176547,-0.9325532893639291,0.3119400728043209
