variant,sd across clocks of mean(RV)/mean(slice),range across clocks,mean abs deviation from 1
V0 unconditional,0.09708830392278783,0.30706059333489144,0.07742782047706942
V1 event-conditional,0.09187028156006063,0.28517330363272164,0.0730578245386896
V2 market-implied,0.15631405405284304,0.5262931817667423,0.171811799751205
V3 same-day-conditioned,0.048048221203748354,0.15388943907217711,0.13684357240295153
