clock,V0 unconditional,V1 event-conditional,V2 market-implied,V3 same-day-conditioned
10:00,0.1248163949867026,0.12894927391944747,0.15279534087269456,0.15251879042636415
10:30,0.10483649960569286,0.10608592929039179,0.13765070527503878,0.13348336277717737
11:00,0.10188726383337841,0.10552583508307715,0.12328568079154258,0.12916007416594372
11:30,0.10182365669351776,0.10402689537142043,0.13466926290333214,0.1194058245546905
12:00,0.09469852931209102,0.09929826135169018,0.11787748412424941,0.11663064507254373
12:30,0.09466278675454302,0.09776571609519069,0.1209705655618519,0.10615011609704689
13:00,0.10461839772425292,0.10984534680365401,0.1264148901751244,0.12922270291626708
13:30,0.1293728851552792,0.13854276508258312,0.1280573403069701,0.13446731857142313
14:00,0.1901321703984615,0.18746772626692504,0.1884683486147609,0.1956941882211896
14:30,0.25342260321484217,0.23321720533122603,0.22731284555626985,0.24626691924195232
15:00,0.34613538679640304,0.33634604053363626,0.3654935319820269,0.39783716804796515
15:30,1.0,1.0,1.0,1.0
