variant,clock,pct long (rule),pct short (oracle)
V0 unconditional,10:00,63.21525885558583,54.35967302452316
V0 unconditional,10:30,57.90190735694822,56.539509536784735
V0 unconditional,11:00,59.53678474114441,56.94822888283378
V0 unconditional,11:30,51.36239782016349,62.26158038147139
V0 unconditional,12:00,61.98910081743869,55.72207084468664
V0 unconditional,12:30,59.591836734693885,59.04761904761905
V0 unconditional,13:00,70.8843537414966,48.16326530612245
V0 unconditional,13:30,50.34013605442177,65.03401360544217
V0 unconditional,14:00,68.29931972789116,66.53061224489795
V0 unconditional,14:30,52.51700680272109,72.38095238095238
V0 unconditional,15:00,48.843537414965986,59.455782312925166
V0 unconditional,15:30,38.63945578231293,72.38095238095238
V1 event-conditional,10:00,58.31062670299727,57.08446866485014
V1 event-conditional,10:30,55.858310626703,56.403269754768395
V1 event-conditional,11:00,53.950953678474114,60.49046321525886
V1 event-conditional,11:30,48.50136239782017,64.16893732970027
V1 event-conditional,12:00,54.63215258855586,60.76294277929155
V1 event-conditional,12:30,54.96598639455782,62.04081632653061
V1 event-conditional,13:00,67.07482993197279,52.51700680272109
V1 event-conditional,13:30,41.36054421768707,71.0204081632653
V1 event-conditional,14:00,69.93197278911565,65.4421768707483
V1 event-conditional,14:30,63.26530612244898,65.578231292517
V1 event-conditional,15:00,52.925170068027214,57.006802721088434
V1 event-conditional,15:30,38.63945578231293,72.38095238095238
V2 market-implied,10:00,35.28610354223433,69.48228882833789
V2 market-implied,10:30,25.885558583106267,76.70299727520435
V2 market-implied,11:00,37.05722070844686,70.29972752043598
V2 market-implied,11:30,20.435967302452315,80.79019073569482
V2 market-implied,12:00,35.28610354223433,71.2534059945504
V2 market-implied,12:30,30.068027210884352,75.78231292517007
V2 market-implied,13:00,53.87755102040816,61.36054421768707
V2 market-implied,13:30,52.10884353741496,63.6734693877551
V2 market-implied,14:00,68.9795918367347,65.85034013605441
V2 market-implied,14:30,62.44897959183674,63.6734693877551
V2 market-implied,15:00,42.585034013605444,64.08163265306122
V2 market-implied,15:30,38.63945578231293,72.38095238095238
V3 same-day-conditioned,10:00,34.87738419618528,72.34332425068119
V3 same-day-conditioned,10:30,23.841961852861036,74.79564032697547
V3 same-day-conditioned,11:00,28.746594005449595,74.79564032697547
V3 same-day-conditioned,11:30,26.975476839237057,75.88555858310627
V3 same-day-conditioned,12:00,33.37874659400545,73.29700272479565
V3 same-day-conditioned,12:30,40.95238095238095,70.34013605442176
V3 same-day-conditioned,13:00,48.843537414965986,64.76190476190476
V3 same-day-conditioned,13:30,43.26530612244898,70.47619047619048
V3 same-day-conditioned,14:00,68.02721088435374,66.93877551020408
V3 same-day-conditioned,14:30,57.82312925170068,67.4829931972789
V3 same-day-conditioned,15:00,33.33333333333333,73.19727891156462
V3 same-day-conditioned,15:30,38.63945578231293,72.38095238095238
