frame,fill,rule,Sharpe,mean/day,t,t_HAC,crossings/day,maxDD_points,mean pts/day,pct long,pct flat,n_days
common support,crossed,always short,-1.3290332351471335,-0.11404673458118016,-2.269756354479447,-2.4743767931719622,16.466666666666665,-1750.2711739987135,-2.391212442030712,0.0,0.0,735
common support,crossed,"hybrid: always short, sign(s) at 15:30 (identical V0-V3)",-0.5001628518350528,-0.04213790215828258,-0.8541906862859552,-0.9040642052159119,16.746938775510205,-1713.6093578785658,-2.2343137841038154,3.2217810550198527,0.0,735
common support,crossed,sign(s) V0 unconditional,-2.4121286696652593,-0.20063502645073997,-4.119493953203255,-4.111844949184177,18.357823129251702,-2566.9604960232973,-3.4938375559996584,56.92569483834373,0.0,735
common support,crossed,sign(s) V1 event-conditional,-2.6282856230442504,-0.22046926410088344,-4.488652229702313,-4.64033437275572,18.37142857142857,-2719.5006458610296,-3.7275790704148157,54.95178672716959,0.0,735
common support,crossed,sign(s) V2 market-implied,-1.964488676109344,-0.1665331513369421,-3.355003124062933,-3.1896655919159214,18.172789115646257,-2318.1006140708923,-3.174925965678935,41.89449801474759,0.0,735
common support,crossed,sign(s) V3 same-day-conditioned,-2.3583122852978677,-0.19746991070917336,-4.027584979700819,-3.8552792389497665,18.33061224489796,-2580.7206398546696,-3.518871549886911,39.89790130459444,0.0,735
common support,mid,always short,2.0451171518201647,0.17220021685776213,3.4927024608867914,3.84229615260652,0.0,-150.0847578831017,1.8516106253249103,0.0,0.0,735
common support,mid,"hybrid: always short, sign(s) at 15:30 (identical V0-V3)",3.034082331366282,0.2515140734264779,5.181682044896368,5.524375621516985,0.0,-188.22497291862965,2.0415705065414005,3.2217810550198527,0.0,735
common support,mid,sign(s) V0 unconditional,1.463986222555668,0.12179671723570196,2.5002324574285164,2.4555025304948064,0.0,-145.62109629251063,1.1040195177683012,56.92569483834373,0.0,735
common support,mid,sign(s) V1 event-conditional,1.2154064675588743,0.10191358749943681,2.0757017056174427,2.1176262737545413,0.0,-140.47030597925186,0.8691895716120396,54.95178672716959,0.0,735
common support,mid,sign(s) V2 market-implied,1.791240304615212,0.1515759950128267,3.0591252018990915,2.851671717873547,0.0,-176.35029643401504,1.387012741017808,41.89449801474759,0.0,735
common support,mid,sign(s) V3 same-day-conditioned,1.49628292403367,0.1249758280436616,2.55538957575318,2.4127852004344152,0.0,-136.8997563868761,1.0706862146630376,39.89790130459444,0.0,735
full 866 days,crossed,always short,-1.9180993718242016,-0.16634557730839308,-3.5557382102326924,-3.580253435263232,16.406466512702078,-2963.151808768511,-3.417242194502238,0.0,0.0,866
full 866 days,crossed,"hybrid: always short, sign(s) at 15:30 (identical V0-V3)",-0.9688888283402216,-0.0787640904617952,-1.7961087308633263,-1.8277521859496224,16.615473441108545,-2579.2082057595253,-2.9211777553616165,2.9459901800327333,0.6065273900067392,866
full 866 days,crossed,sign(s) V0 unconditional,-2.2432174183129217,-0.17952381754031166,-4.158436213119117,-4.093200872067294,17.03348729792148,-2891.679722890258,-3.3223324238256,52.3250216616925,7.287956098969866,866
full 866 days,crossed,sign(s) V1 event-conditional,-2.5381401944223514,-0.20423782581966302,-4.705158765393803,-4.82870554652487,17.04041570438799,-3103.569872453809,-3.583706572359346,50.75575238278618,7.287956098969866,866
full 866 days,crossed,sign(s) V2 market-implied,-1.863036029149561,-0.1503781484555488,-3.453662773262422,-3.2790573134511543,16.711316397228636,-2606.320154696703,-3.0096075689338373,38.009049773755656,7.855973813420622,866
full 866 days,crossed,sign(s) V3 same-day-conditioned,-2.169232259541602,-0.1675985962716425,-4.021283852872463,-3.741238567422634,15.557736720554272,-2590.1906105577946,-2.986571119130346,33.85963223259844,15.134302493501492,866
full 866 days,mid,always short,1.9020388792233835,0.1603462841343286,3.5259655571289192,3.8184119827173797,0.0,-150.0847578831017,1.834489857657505,0.0,0.0,866
full 866 days,mid,"hybrid: always short, sign(s) at 15:30 (identical V0-V3)",3.171428442632503,0.25196108703196146,5.879137160533252,6.261592703788437,0.0,-188.22497291862965,2.3117898633406773,2.9459901800327333,0.6065273900067392,866
full 866 days,mid,sign(s) V0 unconditional,1.7205907343516698,0.13805390326596778,3.189600240830112,3.0258819867401563,0.0,-145.62109629251063,1.1634642786301208,52.3250216616925,7.287956098969866,866
full 866 days,mid,sign(s) V1 event-conditional,1.4050818365309863,0.11315180219015353,2.6047155053836586,2.6211738265602524,0.0,-140.87030559778214,0.9004735047014873,50.75575238278618,7.287956098969866,866
full 866 days,mid,sign(s) V2 market-implied,1.9532568735971263,0.15763068429963997,3.6209125563936113,3.3099375807764106,0.0,-176.35029643401504,1.3800575001655666,38.009049773755656,7.855973813420622,866
full 866 days,mid,sign(s) V3 same-day-conditioned,1.377688890245588,0.10607070855899686,2.5539349529114435,2.369222260515946,0.0,-136.8997563868761,0.908723288426481,33.85963223259844,15.134302493501492,866
