column,sessions_nonzero,deck_days_nonzero,frac_positive_when_nonzero,mean_std_weight_when_nonzero,max_abs_std_weight,first_nonzero,last_nonzero,n_events,ridge_mean_std_weight_deck,held_sessions_nonzero_before_switch,held_first_nonzero,held_mean_std_weight_before_switch
adj_vix_ma_1,719,636,1.0,0.13878076843539577,0.15812951033994618,2021-06-21,2024-04-30,1,0.017344479771948862,750,2018-06-25,0.09226128689902156
adj_vix_ma_5,0,0,,,0.0,,,0,0.012772850666184162,0,,
adj_vix_ma_25,215,174,1.0,0.005178104901537643,0.02124075848128614,2021-06-21,2023-08-16,18,0.013082726748554803,100,2021-01-14,0.0029538404854750062
adj_vix_ma_125,719,636,0.0,-0.014282829779050326,0.022696051608548307,2021-06-21,2024-04-30,1,-0.004377858502519602,414,2019-10-28,-0.01088928172958729
adj_vix_ma_625,170,169,0.0,-0.02452346480945656,0.036199084742337365,2023-08-24,2024-04-30,3,-0.013296491550448063,197,2018-06-26,-0.00224690838192246
adj_vix_ma_3125,568,415,0.0,-0.004649111032852659,0.011247096359832348,2020-05-07,2024-04-30,15,-0.00782855502505579,741,2018-06-25,-0.005670656558900961
adj_vvix_ma_1,767,664,1.0,0.015486352871450372,0.025800398837543405,2019-12-27,2024-04-30,11,0.009793759951737145,750,2018-06-25,0.009220967431952842
adj_vvix_ma_5,0,0,,,0.0,,,0,0.006448880500751969,0,,
adj_vvix_ma_25,1,1,0.0,-0.001210507395506776,0.001210507395506776,2023-08-16,2023-08-16,2,0.00374055717022594,0,2023-08-16,
adj_vvix_ma_125,9,9,1.0,0.008856248816912216,0.019336889395614572,2023-08-15,2023-08-28,4,-0.0028621083157258256,0,2023-08-15,
adj_vvix_ma_625,205,190,0.0,-0.0035438217852043173,0.008997498769631051,2022-03-02,2022-12-29,6,-0.005719384993315368,15,2019-10-03,-0.000514695652935619
adj_vvix_ma_3125,366,301,0.4726775956284153,0.004261809188312456,0.01595006291619449,2021-06-21,2024-04-18,32,-0.002383884394344743,698,2018-07-26,0.008913688008514243
adj_vix3m_ma_1,0,0,,,0.0,,,0,0.005700314991001597,0,,
adj_vix3m_ma_5,0,0,,,0.0,,,0,0.0031987240028744242,0,,
adj_vix3m_ma_25,0,0,,,0.0,,,0,0.0011801385031235993,0,,
adj_vix3m_ma_125,634,551,0.0,-0.037638652563693746,0.058999287069362936,2021-06-21,2024-01-09,6,-0.009858776113617242,750,2018-06-25,-0.0309389307099878
adj_vix3m_ma_625,719,636,0.0,-0.07141882848718184,0.09655060095676488,2021-06-21,2024-04-30,1,-0.010710081427670597,750,2018-06-25,-0.030178416613026237
adj_vix3m_ma_3125,0,0,,,0.0,,,0,-0.005662531380068174,0,,
vix_avail_ma_1,0,0,,,0.0,,,0,-7.801400011836973e-06,0,,
vix_avail_ma_5,0,0,,,0.0,,,0,-6.205212408633817e-06,0,,
vix_avail_ma_25,5,5,0.0,-5.789226627964496e-05,0.00010064501828327163,2022-08-10,2022-08-17,4,-0.0007443353969048296,0,2022-08-10,
vix_avail_ma_125,0,0,,,0.0,,,0,-0.0002950589672203669,0,,
vix_avail_ma_625,0,0,,,0.0,,,0,-0.000260832276651413,0,,
vix_avail_ma_3125,0,0,,,0.0,,,0,-0.00018006846868141483,0,,
vvix_avail_ma_1,0,0,,,0.0,,,0,0.000210699718918998,416,2018-06-25,0.006097734806620365
vvix_avail_ma_5,0,0,,,0.0,,,0,0.00018950146516749796,0,,
vvix_avail_ma_25,0,0,,,0.0,,,0,3.685444784289153e-05,0,,
vvix_avail_ma_125,0,0,,,0.0,,,0,1.0105603800502605e-05,0,,
vvix_avail_ma_625,0,0,,,0.0,,,0,-2.0049349520879968e-06,0,,
vvix_avail_ma_3125,0,0,,,0.0,,,0,8.337371793361351e-07,0,,
vix3m_avail_ma_1,0,0,,,0.0,,,0,-0.0001026107491806779,0,,
vix3m_avail_ma_5,0,0,,,0.0,,,0,-8.675776203306666e-05,0,,
vix3m_avail_ma_25,0,0,,,0.0,,,0,-1.260590541066692e-05,0,,
vix3m_avail_ma_125,0,0,,,0.0,,,0,-8.815329455369872e-06,0,,
vix3m_avail_ma_625,0,0,,,0.0,,,0,-2.791427405948786e-07,0,,
vix3m_avail_ma_3125,0,0,,,0.0,,,0,5.174466031191213e-07,0,,
