split,n,feature,plain,target,corr_std_weight,lo_w,hi_w,corr_contribution,lo_c,hi_c
all,866,har_ma_1,"realized variance (target), last bar",pnl_mid,0.035469565699484784,-0.026831771344885794,0.10103820508307346,-0.03471211328264236,-0.08709346249456432,0.017740810932569663
all,866,har_ma_1,"realized variance (target), last bar",pnl_crossed,0.03189073191284885,-0.030413088780833413,0.0965843086032733,-0.03635797488605426,-0.08992068408648486,0.01701519091606715
all,866,har_ma_1,"realized variance (target), last bar",buy_decision,-0.0509887324301645,-0.14033757086301482,0.04296140414036146,-0.027531209692134722,-0.11349220511716954,0.05409461998875945
all,866,har_ma_5,"realized variance (target), mean of last 5 bars",pnl_mid,0.025929702092633854,-0.03794074673263463,0.09337055087383203,-0.03150299966920786,-0.08707727091101027,0.025249237417848694
all,866,har_ma_5,"realized variance (target), mean of last 5 bars",pnl_crossed,0.023252662904717874,-0.04177073103402439,0.09121834782823372,-0.032519123618205026,-0.08950464642020901,0.02491032577048478
all,866,har_ma_5,"realized variance (target), mean of last 5 bars",buy_decision,-0.07818162717428721,-0.16618145137595658,0.014686440697613242,-0.014272636640050278,-0.10180050763962162,0.07251148331304923
all,866,har_ma_25,"realized variance (target), mean of last 25 bars",pnl_mid,0.015207676056412933,-0.053927878281432404,0.08629236853216155,-0.019222823243060683,-0.08193220068752155,0.03970421663110517
all,866,har_ma_25,"realized variance (target), mean of last 25 bars",pnl_crossed,0.013647601281029771,-0.05479088992773323,0.08466004429508135,-0.021646672011385648,-0.0840794156030671,0.03780695199328527
all,866,har_ma_25,"realized variance (target), mean of last 25 bars",buy_decision,-0.12923389793552098,-0.21738519476396087,-0.04023937985899324,-0.019685807494815646,-0.10078565283416015,0.0541907610845482
all,866,har_ma_125,"realized variance (target), mean of last 125 bars",pnl_mid,0.015082572739278252,-0.04969509404571849,0.08126686423173443,0.026806863134282537,-0.040160708163037934,0.09485749515939992
all,866,har_ma_125,"realized variance (target), mean of last 125 bars",pnl_crossed,0.013034050064812251,-0.05192930943007425,0.07792636588361701,0.022500578164255054,-0.043834565164617846,0.09163556236737941
all,866,har_ma_125,"realized variance (target), mean of last 125 bars",buy_decision,-0.10899382807670799,-0.19882882079456932,-0.01805383536330601,-0.0200111980761778,-0.1057305838723541,0.058328469520278786
all,866,har_ma_625,"realized variance (target), mean of last 625 bars",pnl_mid,0.01593776252540557,-0.056537412211301145,0.08800084855931249,0.03821734023867418,-0.022789350668164423,0.10649847083413938
all,866,har_ma_625,"realized variance (target), mean of last 625 bars",pnl_crossed,0.020514476091125756,-0.05261823688589265,0.09318134080014114,0.03225856613209413,-0.03353764974219661,0.10624462946436235
all,866,har_ma_625,"realized variance (target), mean of last 625 bars",buy_decision,0.06881606194191102,-0.014874016806322481,0.15471042059803353,-0.01905007817162419,-0.12557590839822363,0.07414329617533243
all,866,har_ma_3125,"realized variance (target), mean of last 3125 bars",pnl_mid,-0.031173928413358667,-0.09615973606095694,0.036188721113147235,-0.07170757353494524,-0.1257148396360419,-0.00986981876060098
all,866,har_ma_3125,"realized variance (target), mean of last 3125 bars",pnl_crossed,-0.03642694749349303,-0.10216037444117441,0.03172453894060739,-0.07564121187380028,-0.1323135654325001,-0.010659712226547003
all,866,har_ma_3125,"realized variance (target), mean of last 3125 bars",buy_decision,-0.20231652709077125,-0.2891001030280664,-0.10762361612785515,0.024404655912668133,-0.07358024130229956,0.11451029829868872
all,866,adj_sumret_ma_1,"signed return, last bar",pnl_mid,-0.008572340217756002,-0.0790189015996327,0.058923136305645836,0.021020771614495993,-0.048871008199336534,0.08474043017519432
all,866,adj_sumret_ma_1,"signed return, last bar",pnl_crossed,-0.005223991274353292,-0.07520447494803321,0.06143222403084466,0.022297510081556005,-0.047728257517214066,0.0861567948597318
all,866,adj_sumret_ma_1,"signed return, last bar",buy_decision,0.11906726136673318,0.025433974504370342,0.21430294315718051,0.0832222216676593,0.011835308633082672,0.1535458920539783
