feature,plain,group,kind,lag,std_weight_mean,std_weight_sd,frac_positive,frac_zero,contrib_sd,contrib_mean_abs
har_ma_1,"realized variance (target), last bar",har_ma,level,1.0,0.06780235310656767,0.01835303710190246,1.0,0.0,0.06618907586325308,0.04615658178477647
adj_sumret4_ma_625,"4th-power returns (tails), mean of last 625 bars",sumret4,level,625.0,-0.028324671895549217,0.012954216494325774,0.057736720554272515,0.0,0.044525808495381326,0.015986564393680347
har_ma_5,"realized variance (target), mean of last 5 bars",har_ma,level,5.0,0.04779787151946969,0.009317047586917851,1.0,0.0,0.04377190313087114,0.03147766817148272
har_ma_25,"realized variance (target), mean of last 25 bars",har_ma,level,25.0,0.04721616145777251,0.007299063724027227,1.0,0.0,0.041291147984003095,0.028547363726571504
adj_sumabsret_ma_1,"absolute return, last bar",sumabsret,level,1.0,0.04347265361597179,0.0039866976358945,1.0,0.0,0.04048875010266868,0.02683245447183345
adj_sumret_ma_5,"signed return, mean of last 5 bars",sumret,level,5.0,-0.037823221090262406,0.009139634326993645,0.0,0.0,0.03963019335984479,0.028160609620920558
adj_sumbipow_ma_625,"bipower variation, mean of last 625 bars",sumbipow,level,625.0,-0.024321307467540375,0.00228885337991952,0.0,0.0,0.03512739281557499,0.013304331793661433
har_ma_125,"realized variance (target), mean of last 125 bars",har_ma,level,125.0,0.039046031054887104,0.004554725528699977,1.0,0.0,0.03264949074290192,0.02309513478367527
adj_sumabsret_ma_5,"absolute return, mean of last 5 bars",sumabsret,level,5.0,0.03327739592348079,0.0057944373432324,1.0,0.0,0.03166170866860201,0.020045830426315216
adj_sumpret2_ma_625,"upside squared returns, mean of last 625 bars",sumpret2,level,625.0,-0.01986158245351964,0.0021601415546566864,0.0,0.0,0.030604604079239706,0.011132668190440034
adj_sumabsret_ma_25,"absolute return, mean of last 25 bars",sumabsret,level,25.0,0.029911013813825132,0.004015349375838486,1.0,0.0,0.029010379798518678,0.017194750796995856
adj_vix_ma_1,"VIX, last bar",vix,level,1.0,0.017344479771948862,0.013121935217924225,1.0,0.0,0.026769407781194896,0.016769957818669155
adj_vix3m_ma_125,"VIX3M, mean of last 125 bars",vix3m,level,125.0,-0.009858776113617242,0.010660704340265842,0.0,0.0,0.024150777738970824,0.01276021930565234
adj_sumbipow_ma_1,"bipower variation, last bar",sumbipow,level,1.0,0.024590823113247683,0.0026797425519595156,1.0,0.0,0.023805700336846314,0.014384834142811566
adj_vix_ma_5,"VIX, mean of last 5 bars",vix,level,5.0,0.012772850666184162,0.009203521136419526,1.0,0.0,0.019149121781780392,0.012319404578435191
adj_vix3m_ma_625,"VIX3M, mean of last 625 bars",vix3m,level,625.0,-0.010710081427670597,0.0076321005865978035,0.0,0.0,0.019086311012171703,0.012621151870806115
adj_sumautocov_ma_5,"return autocovariance, mean of last 5 bars",sumautocov,level,5.0,0.018195087160494595,0.00424625180783286,1.0,0.0,0.018752474359038724,0.012863315475700753
adj_sumret_ma_1,"signed return, last bar",sumret,level,1.0,-0.018139092010272365,0.002796437134124269,0.0,0.0,0.01817922227164751,0.01248637543336438
adj_sumret4_ma_125,"4th-power returns (tails), mean of last 125 bars",sumret4,level,125.0,-0.01807341562171463,0.006451527477823607,0.005773672055427252,0.0,0.018138146806196576,0.009119264597929106
adj_sumabsret_ma_125,"absolute return, mean of last 125 bars",sumabsret,level,125.0,0.013401085378573246,0.009185531208439816,0.8221709006928406,0.0,0.017820800593275548,0.008623813536752458
adj_sumpret2_ma_1,"upside squared returns, last bar",sumpret2,level,1.0,0.01707936859693324,0.008069217142122475,0.9364896073903002,0.0,0.01715738034953268,0.010313062105331774
adj_sumvolume_ma_1,"ES volume, last bar",sumvolume,level,1.0,0.022502228529629298,0.0011770817593093521,1.0,0.0,0.015454060050347404,0.011943547139233773
adj_vix_ma_25,"VIX, mean of last 25 bars",vix,level,25.0,0.013082726748554803,0.008400663996477969,1.0,0.0,0.015113318637207418,0.010357016383269635
adj_sumret_ma_25,"signed return, mean of last 25 bars",sumret,level,25.0,-0.01101296150598441,0.008960071185956545,0.17782909930715934,0.0,0.014185811785272808,0.01058474295889128
adj_sumret4_ma_25,"4th-power returns (tails), mean of last 25 bars",sumret4,level,25.0,-0.01738100172130901,0.007340301939611295,0.0,0.0,0.013605808150943187,0.008847375065383288
adj_vix3m_ma_3125,"VIX3M, mean of last 3125 bars",vix3m,level,3125.0,-0.005662531380068174,0.004191489588719014,0.0,0.0,0.012913789185036703,0.008324707799149508
adj_vix_ma_625,"VIX, mean of last 625 bars",vix,level,625.0,-0.013296491550448063,0.0019503545633530793,0.0,0.0,0.012383475159816724,0.009516350497556022
adj_sumret4_ma_1,"4th-power returns (tails), last bar",sumret4,level,1.0,0.012008316510385976,0.005976697984323558,0.9468822170900693,0.0,0.012134925276140393,0.006657526551865078
adj_sumvolume_ma_5,"ES volume, mean of last 5 bars",sumvolume,level,5.0,0.01686765464796366,0.00208755038432092,1.0,0.0,0.012116382591685978,0.009581451913840086
adj_vvix_ma_1,"VVIX, last bar",vvix,level,1.0,0.009793759951737145,0.003315678198255043,1.0,0.0,0.012016567940918108,0.009660591871751464
adj_vix3m_ma_1,"VIX3M, last bar",vix3m,level,1.0,0.005700314991001597,0.004003484685215784,1.0,0.0,0.0114463352011779,0.007207956354008099
adj_sumret_ma_125,"signed return, mean of last 125 bars",sumret,level,125.0,-0.010712993099805224,0.0015816984394866214,0.0,0.0,0.01139366744803552,0.008429085108025806
adj_fomc_day_ma_1,"FOMC day flag, last bar",fomc_day,level,1.0,0.010934603107163493,0.002272329058118815,1.0,0.0,0.011049557289772052,0.0038070530336594523
har_ma_625,"realized variance (target), mean of last 625 bars",har_ma,level,625.0,0.012549735149115632,0.0014078922532945435,1.0,0.0,0.010810071443607327,0.007596869469158368
adj_sumautocov_ma_625,"return autocovariance, mean of last 625 bars",sumautocov,level,625.0,-0.007847111720847488,0.00499066999909124,0.0,0.0,0.010488710737354872,0.0070690669512580495
adj_sumbipow_ma_5,"bipower variation, mean of last 5 bars",sumbipow,level,5.0,0.007609379508216384,0.004248657550156594,0.8533487297921478,0.0,0.010154337970418318,0.004725363810432683
adj_sumret4_ma_5,"4th-power returns (tails), mean of last 5 bars",sumret4,level,5.0,-0.0093006224331775,0.014236776563825975,0.07967667436489607,0.0,0.010063113855898602,0.005081727743304934
adj_vix_ma_3125,"VIX, mean of last 3125 bars",vix,level,3125.0,-0.00782855502505579,0.002500731505670636,0.0,0.0,0.008909987535775293,0.006842509311939599
is_month_end,calendar: is_month_end,calendar,calendar,,0.005557931253834935,0.005184157515418499,1.0,0.0,0.008835107990710783,0.002519885527854842
adj_vvix_ma_625,"VVIX, mean of last 625 bars",vvix,level,625.0,-0.005719384993315368,0.0037383059703754553,0.0,0.0,0.008707845160633207,0.0062627967736725845
adj_vvix_ma_3125,"VVIX, mean of last 3125 bars",vvix,level,3125.0,-0.002383884394344743,0.006457590166551429,0.17782909930715934,0.0,0.008640514456328983,0.007759600052493594
adj_sumvolume_ma_25,"ES volume, mean of last 25 bars",sumvolume,level,25.0,0.0036579373157435238,0.008996403227589017,0.8221709006928406,0.0,0.008098348820779012,0.00585217395090987
adj_sumbipow_ma_25,"bipower variation, mean of last 25 bars",sumbipow,level,25.0,0.005133735116844928,0.002806344197710028,1.0,0.0,0.007500783135464831,0.003230621365218555
adj_sumret3_ma_625,"cubed returns (skew), mean of last 625 bars",sumret3,level,625.0,-0.006967651806407296,0.0020398309799210443,0.0,0.0,0.007432414010358414,0.005059504168046655
adj_vvix_ma_5,"VVIX, mean of last 5 bars",vvix,level,5.0,0.006448880500751969,0.0009394005968427976,1.0,0.0,0.007293937028843077,0.006120341381751629
days_to_opex,calendar: days_to_opex,calendar,calendar,,0.006871489798826953,0.001992829381453192,1.0,0.0,0.007195604189193184,0.0061015989569993285
DOW_4,calendar: DOW_4,calendar,calendar,,0.005314851101049019,0.0033749030562592883,1.0,0.0,0.007191151211118159,0.004769087862566231
adj_sumautocov_ma_125,"return autocovariance, mean of last 125 bars",sumautocov,level,125.0,-0.006737684362519406,0.0031421391677545854,0.0,0.0,0.0071181286450589226,0.005159288800896428
