split,side,series,n_win,n_lose,mean_win,mean_lose,diff,lo,hi
all,buy,realized variance (target),143,205,0.0015399744754786059,0.000319406134840134,0.0012205683406384719,-0.03247211967404673,0.037041701171501455
all,buy,absolute return,143,205,0.0013064014442465519,0.002763300801224016,-0.0014568993569774643,-0.024099113697933758,0.022270836792832368
all,buy,4th-power returns (tails),143,205,0.0034884116716054265,-0.0018318128322049308,0.005320224503810357,-0.008515772082835465,0.024223101141148708
all,buy,signed return,143,205,0.016921356675016652,0.009320763724690602,0.00760059295032605,-0.004623880328981385,0.01961655448968889
all,buy,VIX,143,205,0.01380050966591898,0.014224470289946174,-0.00042396062402719377,-0.0072909240111124225,0.0058814078455148204
all,buy,VIX3M,143,205,-0.016084187773951715,-0.014128125621144088,-0.0019560621528076274,-0.00897856922302455,0.0048293359079094695
all,buy,ES volume,143,205,0.002100817363992083,0.001377839599605502,0.000722977764386581,-0.0050864686670227845,0.006390808858248991
all,buy,bipower variation,143,205,0.001329874035240508,-0.0036032596226105596,0.004933133657851068,-0.002614068660012208,0.016084848307641716
all,buy,upside squared returns,143,205,0.0008172292233483457,-0.0032565742151949495,0.004073803438543295,-0.0017907117330759976,0.012360222523436454
all,buy,return autocovariance,143,205,-0.0012634148173766733,0.00017725699947977622,-0.0014406718168564496,-0.007228011264237593,0.003585104929060402
all,buy,calendar flags,143,205,-0.0015202376081955853,-0.0002931412971697875,-0.0012270963110257978,-0.0049812654085833585,0.00256444244601402
all,buy,FOMC day flag,143,205,0.002344238924372599,-0.0017768084000285714,0.00412104732440117,0.0013223949645312617,0.007288358101724446
all,buy,VVIX,143,205,0.002569127986009036,0.0016633343477795571,0.000905793638229479,-0.0017211300874685124,0.0035138005200984128
all,buy,cubed returns (skew),143,205,0.0019216838677323903,0.0012462820353542384,0.0006754018323781518,-0.0020022694717824023,0.003819875942425257
all,buy,1 / days to next FOMC,143,205,6.543424633994186e-06,0.0005593257814724711,-0.0005527823568384769,-0.0017478644289219683,0.000599807129278571
