split,n,block,series,target,corr,lo,hi
month_end,52,4,upside squared returns,pnl_crossed,-0.1697366854461866,-0.31359697742478054,0.021298905170755496
month_end,52,4,upside squared returns,buy_decision,-0.0014403497189537076,-0.1912872195123669,0.15488869711002412
month_end,52,4,return autocovariance,pnl_mid,-0.10668410827523278,-0.28386409081296626,0.14156437674731825
month_end,52,4,return autocovariance,pnl_crossed,-0.11222595418340633,-0.3001726265083327,0.14716184575221097
month_end,52,4,return autocovariance,buy_decision,0.00857233807130501,-0.17311662259030058,0.20982037359584704
month_end,52,4,calendar flags,pnl_mid,0.11076243793865295,-0.12716125986562996,0.33543563223289813
month_end,52,4,calendar flags,pnl_crossed,0.1053098739428204,-0.12669702688303278,0.32098504657700183
month_end,52,4,calendar flags,buy_decision,0.013109341055635824,-0.25437375292814773,0.2735272260137094
month_end,52,4,FOMC day flag,pnl_mid,0.19847254970292438,0.09371410386397673,0.34848253102131543
month_end,52,4,FOMC day flag,pnl_crossed,0.20062079536894545,0.09953916953847505,0.3448813755033001
month_end,52,4,FOMC day flag,buy_decision,-0.024666196758306023,-0.20390646216232788,0.27931049473193803
month_end,52,4,VVIX,pnl_mid,0.07813238747930011,-0.13289785632198495,0.27760859405101385
month_end,52,4,VVIX,pnl_crossed,0.07178416572606273,-0.141684853204881,0.2702516676388967
month_end,52,4,VVIX,buy_decision,-0.058460818091492756,-0.2862134949605647,0.1588360588888899
month_end,52,4,cubed returns (skew),pnl_mid,0.19189287058180635,-0.01979165931013759,0.4033654723423851
month_end,52,4,cubed returns (skew),pnl_crossed,0.1830269537709538,-0.029601181841260395,0.3941346728794881
month_end,52,4,cubed returns (skew),buy_decision,-0.06434525050004675,-0.25228256690180867,0.12595987086301935
month_end,52,4,1 / days to next FOMC,pnl_mid,0.09247255501421817,-0.12993088268284567,0.3447637068757468
month_end,52,4,1 / days to next FOMC,pnl_crossed,0.09136439611332198,-0.12629406587876704,0.33036689187818363
month_end,52,4,1 / days to next FOMC,buy_decision,0.13273831252763865,-0.24967057487304592,0.49542979897477946
month_end,52,4,1 / days since last FOMC,pnl_mid,0.09579434248068452,-0.2393835598860183,0.38401788291887096
month_end,52,4,1 / days since last FOMC,pnl_crossed,0.10104457672817656,-0.23011709475496797,0.3842155984111566
month_end,52,4,1 / days since last FOMC,buy_decision,-0.06475408976332397,-0.33703425921129276,0.1640326863984073
month_end,52,4,ES prints per bar,pnl_mid,-0.012901176805100747,-0.17575509734677028,0.2745636444796329
month_end,52,4,ES prints per bar,pnl_crossed,-0.01251046109127265,-0.1764027633820839,0.2745288668327764
month_end,52,4,ES prints per bar,buy_decision,0.03639783815332185,-0.15841221709801276,0.14670946117385308
month_end,52,4,FOMC statement flag,pnl_mid,0.16440912925654133,-0.09756519336642804,0.4868137489190935
month_end,52,4,FOMC statement flag,pnl_crossed,0.16557871337407803,-0.09586831728484203,0.48726578110318014
month_end,52,4,FOMC statement flag,buy_decision,-0.011118754361930109,-0.20617637011950937,0.30607480445671087
month_end,52,4,level (window-mean target),pnl_mid,0.10147252824571644,-0.14404759397384628,0.2825375288002272
month_end,52,4,level (window-mean target),pnl_crossed,0.10473882405329694,-0.13935169627072896,0.28551440007456313
month_end,52,4,level (window-mean target),buy_decision,0.13652395734982203,-0.10733897990340559,0.36825300378775755
month_end,52,4,forecast (sum),pnl_mid,-0.08893576689777555,-0.28837095728553275,0.13862797128908363
month_end,52,4,forecast (sum),pnl_crossed,-0.09518306647580765,-0.30164290294964347,0.14043172076386953
month_end,52,4,forecast (sum),buy_decision,-0.14421500496108702,-0.26402813730498975,0.025781053640553938
other,814,10,realized variance (target),pnl_mid,-0.009408194801213042,-0.06915462404548638,0.051037139097253825
other,814,10,realized variance (target),pnl_crossed,-0.01176208082441615,-0.07232875646614982,0.04897588054036364
other,814,10,realized variance (target),buy_decision,-0.00799311654631531,-0.1005738165505192,0.07686740120039484
other,814,10,absolute return,pnl_mid,-0.044403097728286794,-0.10304539512799196,0.010012761880186164
other,814,10,absolute return,pnl_crossed,-0.053642607595134326,-0.11211280406495942,0.003588017196213231
other,814,10,absolute return,buy_decision,0.02609532089930143,-0.07997131982209846,0.10114371466194913
other,814,10,4th-power returns (tails),pnl_mid,0.05970330015218453,-0.013914760286399321,0.11795925181947663
other,814,10,4th-power returns (tails),pnl_crossed,0.06803410306205972,-0.01079621912980728,0.12604570866416723
other,814,10,4th-power returns (tails),buy_decision,-0.018864084225283878,-0.09027620132122917,0.0566043362144769
other,814,10,signed return,pnl_mid,0.017462564636344356,-0.05728374999357695,0.08751858471795368
other,814,10,signed return,pnl_crossed,0.01817975512033304,-0.05724796272297552,0.08719611701298306
other,814,10,signed return,buy_decision,0.14615695572011866,0.06414424404014923,0.21873298257260215
other,814,10,VIX,pnl_mid,0.0037841925164120143,-0.054026712816246145,0.06242235722190081
other,814,10,VIX,pnl_crossed,-0.0022678645526364037,-0.059965281217305176,0.05566314859905557
other,814,10,VIX,buy_decision,-0.020872087875886243,-0.11296607523091803,0.08217967583453142
other,814,10,VIX3M,pnl_mid,-0.029505070914320298,-0.09743347766818512,0.03291428453106433
other,814,10,VIX3M,pnl_crossed,-0.026789859926551814,-0.09330147073090231,0.03453419355773151
other,814,10,VIX3M,buy_decision,0.06419151117479266,-0.03928562019747792,0.16017823502024156
other,814,10,ES volume,pnl_mid,0.035616191566631615,-0.026003421136908476,0.09580000439053102
other,814,10,ES volume,pnl_crossed,0.03534960057252803,-0.026217720017965816,0.0960130086849412
other,814,10,ES volume,buy_decision,-0.08586586128610021,-0.17849816190813197,0.008921270536489763
other,814,10,bipower variation,pnl_mid,0.032199887298777916,-0.06002903561148887,0.09594894675450932
other,814,10,bipower variation,pnl_crossed,0.03158470567649836,-0.06047146200868321,0.09653145829835146
other,814,10,bipower variation,buy_decision,0.01054452164352211,-0.10271271233497763,0.08465989800516231
other,814,10,upside squared returns,pnl_mid,0.0528273974604475,-0.043475148825810175,0.1113901253348347
other,814,10,upside squared returns,pnl_crossed,0.05399027963344356,-0.04475669718837299,0.11611058547229888
other,814,10,upside squared returns,buy_decision,-0.039538100675223946,-0.17115852922341795,0.030928132849604408
other,814,10,return autocovariance,pnl_mid,0.0014796513200769435,-0.05376662201702972,0.0630335138060247
other,814,10,return autocovariance,pnl_crossed,0.004615939503841323,-0.050588724298843965,0.06689200685797042
other,814,10,return autocovariance,buy_decision,0.07209448755945111,-0.01022934810384989,0.15064620780570606
other,814,10,calendar flags,pnl_mid,-0.03132999007373848,-0.09804542283820834,0.030676375600925242
other,814,10,calendar flags,pnl_crossed,-0.030632751315741117,-0.09675282282510668,0.030984136150428374
other,814,10,calendar flags,buy_decision,-0.054213936166760644,-0.1175049168992694,0.010391446366638636
other,814,10,FOMC day flag,pnl_mid,-0.034572361299204116,-0.0984175997714788,0.020823304989073418
other,814,10,FOMC day flag,pnl_crossed,-0.03533539412857542,-0.09941719122412694,0.020741767591113597
other,814,10,FOMC day flag,buy_decision,-0.029251931576374048,-0.0984699699422486,0.04410339152101479
other,814,10,VVIX,pnl_mid,-0.006652479373475551,-0.06684768516908653,0.055366012873484194
other,814,10,VVIX,pnl_crossed,-0.01676416996515777,-0.07900669398279968,0.04767368652518692
other,814,10,VVIX,buy_decision,-0.02100967336035417,-0.12161348876755373,0.07970907030541731
other,814,10,cubed returns (skew),pnl_mid,0.025057552523970406,-0.06400083278825822,0.09951968974688531
other,814,10,cubed returns (skew),pnl_crossed,0.03029050177104851,-0.06488080591267074,0.11189273570530976
other,814,10,cubed returns (skew),buy_decision,0.07342025933397074,-0.0010111840963697746,0.14547478997481236
other,814,10,1 / days to next FOMC,pnl_mid,0.001642890131862836,-0.06632380890138165,0.06868613906813988
other,814,10,1 / days to next FOMC,pnl_crossed,0.0012100930467183585,-0.06697040942334784,0.06789942687047434
other,814,10,1 / days to next FOMC,buy_decision,0.00367974395884542,-0.07986988062065424,0.08189964351418261
other,814,10,1 / days since last FOMC,pnl_mid,0.040684791799258185,-0.021086767097069564,0.10651803405628048
other,814,10,1 / days since last FOMC,pnl_crossed,0.04303996805267365,-0.018347250052495382,0.10920198166811487
other,814,10,1 / days since last FOMC,buy_decision,-0.04917132089514752,-0.12504152123871445,0.02721709089706275
other,814,10,ES prints per bar,pnl_mid,0.006346018187947474,-0.11615925329147346,0.07867023720570655
other,814,10,ES prints per bar,pnl_crossed,0.01021141331079311,-0.1102780468835619,0.08180354600705922
other,814,10,ES prints per bar,buy_decision,0.04988879145000261,-0.010341271734336764,0.12222514778412012
other,814,10,FOMC statement flag,pnl_mid,0.0008426971437457072,-0.08921329377705234,0.07788155697561047
other,814,10,FOMC statement flag,pnl_crossed,0.0030910612169224336,-0.08808971255628578,0.08043036836800706
other,814,10,FOMC statement flag,buy_decision,0.07569784473820403,-0.0020949733980679583,0.15376487793511118
other,814,10,level (window-mean target),pnl_mid,-0.024734292118733188,-0.10837170794898576,0.06390238255263953
other,814,10,level (window-mean target),pnl_crossed,-0.025671653374739287,-0.11249478269398926,0.06503431345348136
other,814,10,level (window-mean target),buy_decision,-0.057387538951960214,-0.16043174355030498,0.034258532539575996
other,814,10,forecast (sum),pnl_mid,0.0022044407474202787,-0.05731602420455116,0.060369917244597567
other,814,10,forecast (sum),pnl_crossed,-0.0003916846773992398,-0.058716115450284406,0.05895249217407949
other,814,10,forecast (sum),buy_decision,0.02570447437918681,-0.06952089704796871,0.11569166634194726
