split,n,block,series,target,corr,lo,hi
all,866,10,realized variance (target),pnl_mid,-0.020192606739820766,-0.07471393403683534,0.034549143608540875
all,866,10,realized variance (target),pnl_crossed,-0.022965792651541618,-0.076758114148052,0.034080594828621025
all,866,10,realized variance (target),buy_decision,-0.0236383748079703,-0.10602590997744425,0.058822909671585114
all,866,10,absolute return,pnl_mid,-0.049191998729809984,-0.09778708269478432,-0.003350667423282249
all,866,10,absolute return,pnl_crossed,-0.05815497029550904,-0.10569461422012023,-0.007197342461745827
all,866,10,absolute return,buy_decision,0.010395747718269127,-0.08360704261115175,0.08342526831222702
all,866,10,4th-power returns (tails),pnl_mid,0.053485767591953524,-0.007811615217005802,0.10071692073407403
all,866,10,4th-power returns (tails),pnl_crossed,0.06084384410730372,-0.005686654373435094,0.11036632039154577
all,866,10,4th-power returns (tails),buy_decision,-0.013638214060464978,-0.08713111718246026,0.059927557742728677
all,866,10,signed return,pnl_mid,0.005967680039379548,-0.059471991987116245,0.07373019938118598
all,866,10,signed return,pnl_crossed,0.006092784089744497,-0.06099293419940254,0.07454412676753681
all,866,10,signed return,buy_decision,0.12247862105944975,0.04718666784398138,0.1964227572641305
all,866,10,VIX,pnl_mid,0.003145064587954696,-0.050478714025285074,0.05777091905550403
all,866,10,VIX,pnl_crossed,-0.0027492590339978974,-0.05643172572583768,0.051176250210568694
all,866,10,VIX,buy_decision,-0.029265513155638117,-0.11687162826090781,0.06783731700622968
all,866,10,VIX3M,pnl_mid,-0.033266440364347234,-0.09337012384221176,0.026484036039700884
all,866,10,VIX3M,pnl_crossed,-0.030354476046848062,-0.08938317468972702,0.028879552084793664
all,866,10,VIX3M,buy_decision,0.05898801822648948,-0.03354498690557507,0.15354917060639653
all,866,10,ES volume,pnl_mid,0.01523308443272848,-0.04412103971176889,0.07174239395375019
all,866,10,ES volume,pnl_crossed,0.014385534520726119,-0.045466995153067416,0.07200012760144395
all,866,10,ES volume,buy_decision,-0.09622075635800563,-0.1835344535947474,-0.0029238270446680058
all,866,10,bipower variation,pnl_mid,0.008627294314942394,-0.07286148691334488,0.06890983080080786
all,866,10,bipower variation,pnl_crossed,0.006718425632423443,-0.07357402165856397,0.06938098043371412
all,866,10,bipower variation,buy_decision,-0.00041357114878236035,-0.10325980014885794,0.0720232527673255
all,866,10,upside squared returns,pnl_mid,0.03141574445410577,-0.05468378492370982,0.0851722431123023
all,866,10,upside squared returns,pnl_crossed,0.03132391014816009,-0.059156508437963835,0.08890279950939692
all,866,10,upside squared returns,buy_decision,-0.03761019977665231,-0.1599456380803165,0.029988325336614906
all,866,10,return autocovariance,pnl_mid,-0.006808333690193505,-0.059629505048277395,0.050888050718597776
all,866,10,return autocovariance,pnl_crossed,-0.004553381022454269,-0.05855030354268433,0.05340352493050066
all,866,10,return autocovariance,buy_decision,0.06917507728980449,-0.005910823877780292,0.13908928298131973
all,866,10,calendar flags,pnl_mid,-0.04589242960885703,-0.10925470754557942,0.018107372875324285
all,866,10,calendar flags,pnl_crossed,-0.047446104170280855,-0.11011326638072476,0.01641173119826718
all,866,10,calendar flags,buy_decision,-0.09544097776579752,-0.15245267385077088,-0.03297065405587768
all,866,10,FOMC day flag,pnl_mid,-0.024209079353716443,-0.07971386457137795,0.028058790997727918
all,866,10,FOMC day flag,pnl_crossed,-0.02462063130351063,-0.08065173645952826,0.0282503515715536
all,866,10,FOMC day flag,buy_decision,-0.02601411195268287,-0.0952360611744567,0.05099429640300132
all,866,10,VVIX,pnl_mid,-0.0003446514724007965,-0.0595763952286756,0.054708669929402196
all,866,10,VVIX,pnl_crossed,-0.010020806797977077,-0.07312929183917488,0.04785465910548332
all,866,10,VVIX,buy_decision,-0.023644244610460392,-0.12013799277551596,0.07005802380588053
all,866,10,cubed returns (skew),pnl_mid,0.0339739872519252,-0.043700479893951164,0.0974510509515371
all,866,10,cubed returns (skew),pnl_crossed,0.03813336889944273,-0.04288970291739211,0.10661281381204397
all,866,10,cubed returns (skew),buy_decision,0.05995152493384754,-0.00963341084727646,0.12587339437733144
all,866,10,1 / days to next FOMC,pnl_mid,0.0039482507942364044,-0.06256268376848939,0.07183295478348964
all,866,10,1 / days to next FOMC,pnl_crossed,0.0034221578356262777,-0.0632616536410642,0.0707666368952629
all,866,10,1 / days to next FOMC,buy_decision,0.0036511330246571496,-0.0782959004920436,0.08266491126092566
all,866,10,1 / days since last FOMC,pnl_mid,0.04782269874675417,-0.012813827150003766,0.10741157167992539
all,866,10,1 / days since last FOMC,pnl_crossed,0.05058620871232925,-0.010304920975317546,0.1105221598622636
all,866,10,1 / days since last FOMC,buy_decision,-0.04587118551988417,-0.12114609547963795,0.022632656803305555
all,866,10,ES prints per bar,pnl_mid,0.006277455561936181,-0.09886348887309634,0.07747184404895428
all,866,10,ES prints per bar,pnl_crossed,0.009910845798253153,-0.09654571672111183,0.08053112977935101
all,866,10,ES prints per bar,buy_decision,0.05078056628928908,-0.006501806524963794,0.11850506747802478
all,866,10,FOMC statement flag,pnl_mid,0.012759011496455953,-0.07762783278956219,0.08959218890840001
all,866,10,FOMC statement flag,pnl_crossed,0.015138923450102898,-0.07516735802455461,0.09259547924577533
all,866,10,FOMC statement flag,buy_decision,0.07314193031243746,-0.0008530043586078081,0.15040369680935053
all,866,10,level (window-mean target),pnl_mid,-0.01481825761819204,-0.08750554040341109,0.06558531400644582
all,866,10,level (window-mean target),pnl_crossed,-0.01525824914324999,-0.08881215109510725,0.06731447480746271
all,866,10,level (window-mean target),buy_decision,-0.046546632904924064,-0.14504669817898208,0.05210065916085763
all,866,10,forecast (sum),pnl_mid,-0.014327050597044056,-0.06743875935258889,0.04196884676647789
all,866,10,forecast (sum),pnl_crossed,-0.017700388994802065,-0.07141781039144458,0.038703258725214414
all,866,10,forecast (sum),buy_decision,0.0029294554703116244,-0.0870965270938325,0.0889419654450092
month_end,52,4,realized variance (target),pnl_mid,-0.07014586427650209,-0.2730305227844223,0.1370713787137146
month_end,52,4,realized variance (target),pnl_crossed,-0.07406101507518842,-0.2847554581208705,0.13889652393678295
month_end,52,4,realized variance (target),buy_decision,-0.13918709692374037,-0.2676282963557092,0.04230601500923975
month_end,52,4,absolute return,pnl_mid,-0.056088318841495226,-0.24329724227329866,0.1473796474779629
month_end,52,4,absolute return,pnl_crossed,-0.06108611516441666,-0.24990950279963126,0.1495390122971918
month_end,52,4,absolute return,buy_decision,-0.13194430994951406,-0.2586527612293297,0.027427938037198108
month_end,52,4,4th-power returns (tails),pnl_mid,-0.037852329031733065,-0.18022679353820448,0.1820372747380452
month_end,52,4,4th-power returns (tails),pnl_crossed,-0.04007225437642884,-0.18193677792131596,0.17832069741861697
month_end,52,4,4th-power returns (tails),buy_decision,0.025545217425663923,-0.17247848349878597,0.17909559362611324
month_end,52,4,signed return,pnl_mid,-0.07503230439851388,-0.29482413167188437,0.12488605745030351
month_end,52,4,signed return,pnl_crossed,-0.07791033318890402,-0.2950609717391606,0.1223646788083529
month_end,52,4,signed return,buy_decision,-0.130971073398566,-0.32900958908825106,0.12931923746359172
month_end,52,4,VIX,pnl_mid,0.04454908484905341,-0.1755124110607306,0.23581245580233887
month_end,52,4,VIX,pnl_crossed,0.04081166215533755,-0.17828568864974573,0.2309376120624493
month_end,52,4,VIX,buy_decision,-0.05115954061171438,-0.267826712559334,0.15655052885892465
month_end,52,4,VIX3M,pnl_mid,-0.11083474591911914,-0.2959116956093679,0.08887196706587992
month_end,52,4,VIX3M,pnl_crossed,-0.10567153684974206,-0.2868091114772857,0.08729414649965149
month_end,52,4,VIX3M,buy_decision,-0.09492377786680536,-0.30350979870616623,0.15498494653616068
month_end,52,4,ES volume,pnl_mid,-0.15119509914170376,-0.3795548814001253,0.08715082703678916
month_end,52,4,ES volume,pnl_crossed,-0.15302179364599525,-0.38512669122723897,0.08969252594772113
month_end,52,4,ES volume,buy_decision,-0.13895181059951447,-0.33308447020027404,0.08467636510210882
month_end,52,4,bipower variation,pnl_mid,-0.15000032151393095,-0.299714192511223,0.037679352106804696
month_end,52,4,bipower variation,pnl_crossed,-0.1583581986231527,-0.3157212720653971,0.03828424228593939
month_end,52,4,bipower variation,buy_decision,-0.060422462446688315,-0.23690022674224462,0.13595392441878534
month_end,52,4,upside squared returns,pnl_mid,-0.16177797635776145,-0.298126871739321,0.025296068517139378
