,realized variance (target),absolute return,4th-power returns (tails),signed return,VIX,VIX3M,ES volume,bipower variation,upside squared returns,return autocovariance,calendar flags,FOMC day flag,VVIX,cubed returns (skew),1 / days to next FOMC,1 / days since last FOMC,ES prints per bar,FOMC statement flag,level,forecast
2020-01-03,0.26385699596549406,0.19137987486578217,0.043148444153953254,0.07297217090692303,0.0038986376682781407,-4.5237805196535926e-05,0.042590776180531684,0.05489322686257576,0.02814189410080252,0.016502167060242195,0.01940147537986372,-0.004065611941813351,0.0007447422834177869,0.022867093820025632,0.003615535314131699,-3.644477202383385e-05,-0.004561976424910922,-1.83908099906046e-07,0.955631129839923,1.7109347095499001
2020-01-06,0.05901734689369776,0.04017639393029362,0.037183314877806684,-0.06283878206353458,0.00553156496077842,0.0005079092701791222,0.029681448529746354,-0.00015865389189687366,0.010428920252468143,0.0022785589651877023,-0.007260167274467535,-0.004076379528754252,0.001504422935427457,-0.008592395506895393,0.003081148284030697,-0.0005288402172627982,-0.009511247334830155,-1.840936055848127e-07,0.955977574154393,1.0524019531427617
2020-01-08,0.1258546298569237,0.0744812083262418,0.018188055722297137,-0.10954916498025305,-0.0015243771789408506,-0.0019212949639195924,0.0452791990195412,-0.0007585876632292524,0.012818312092676391,-0.018935535503171223,-0.013265729321837375,-0.004057451207092185,-0.0036634556754741848,-0.009306826060807457,0.001832402103732562,-0.0013106333579392252,-0.011044831111826633,-1.8194223000281375e-07,0.9560033568954773,1.059119095050169
2020-01-10,0.12032589392494195,0.07300766541683197,0.03806445192563625,0.04663636497334343,-0.005202049643276839,-0.002951378064905546,0.04139328009043778,0.01400506501936842,0.007559505576673556,-0.01594285360669694,0.006831281648919429,-0.004031707379007014,-0.0032675958518058996,0.0038669824395998007,0.0007059502318491655,-0.0018971251777312264,-0.009407033081242406,-1.8175076635983704e-07,0.9564870908744842,1.2661836075666537
2020-01-13,-0.07829647099367736,-0.04534890804412895,0.03515054881302055,0.0016822529427384164,-0.0040367663739492915,-0.003137145627869258,-0.022195251273850213,-0.025248096980881842,-0.01666294736732015,-0.001950423636091297,-0.00880620522278311,-0.00399991563941061,-0.0013699000231297187,0.0067235247807553924,2.0634219710085565e-06,-0.0021260162003118484,-0.008087196128080775,-1.807876706095078e-07,0.9568128951681152,0.7791058608274455
2020-01-15,0.15455084185095858,0.10631366304037654,0.025905420725679307,0.08162512074725452,-0.003387410057102888,-0.0031124549193613476,0.07017825344039177,0.016626148005543077,0.007750781723724788,-0.016008138141302693,-0.014160805618656597,-0.003872787405511163,0.0014158062999047535,0.001936271211508305,-0.0016040090323160075,-0.0029074696351305556,-0.0031139826704139656,-1.7712104682253784e-07,0.9566877833544224,1.374822855798922
2020-01-17,-0.010701474871458621,-0.0036180481110318114,0.030167781086547923,-0.019111326305329794,-0.00527286837673765,-0.00361935908980351,0.01888553941032865,-0.009433019895438637,-0.009685642304456892,0.017519372024648497,0.0045723530441284035,-0.004038655694945532,0.0027754441097053053,0.0025943948888939032,-0.003370433833431977,-0.0034375841715597972,-0.0003778513295630394,-1.7529562604775236e-07,0.9566234034391485,0.9604718487240179
2020-01-21,0.07088528049638779,0.05709600062180298,0.027727534241951186,0.025583655715778086,-0.0018269736712961029,-0.003045060898294376,0.02957561544465608,0.008531371923105267,0.003086575771588282,-0.013134513895944343,0.0008375961984116048,-0.004089956370228431,0.0037380718148769345,0.013246948253490196,-0.005718522095918242,-0.0036083347510735067,0.004418972394823079,-1.7539597160847956e-07,0.9563646987901108,1.1696687845882556
2020-01-22,0.03283553192812623,0.035153781783781125,0.03584669085492905,0.09101456797901497,-0.001794843080028535,-0.002900226052297825,0.04597016306430716,0.010339031437044446,0.003849498786648315,0.022563499030849244,-0.0033005046650107337,-0.0041179471671253,0.0020801049584388306,0.001993948829993932,-0.007059523936935972,-0.003652671053677692,0.0033282088550317013,-1.7574001240984563e-07,0.9561912223667226,1.2183403581797991
2020-01-24,0.24000636711418247,0.1591424889423815,0.03082887779710572,0.10250792477589718,0.007824266636347329,0.0011740074818706694,0.0884486555368152,0.06387432769613223,0.042729721526985606,0.04480451065067339,0.016758518402110123,-0.004158700139712343,0.008796838294534854,0.012239533392378075,-0.010684485226660823,-0.004018458078944498,0.002704921108543521,-1.7768736801000834e-07,0.956072251632957,1.7590513898562292
