context,forecast,mark,frame,target_QLIKE,QLIKE_monotone_in_lambda,target_inside_ladder,lambda_at_mark,Sharpe_mid_at_mark,Sharpe_crossed_at_mark,hit_sign_at_mark,Sharpe_mid_actual,Sharpe_mid_actual_minus_ladder,Sharpe_crossed_actual,Sharpe_crossed_actual_minus_ladder
1530_deck,blk2,implied slice's QLIKE,all 866 days,0.10364700813811076,True,True,0.030600597066313462,1.6744988175371744,1.2082747497706081,0.6734875737026852,,,,
1530_deck,a0,implied slice's QLIKE,all 866 days,0.10364700813811076,True,True,0.01983523227522803,1.041458036742767,0.5647094077572763,0.694377364382905,,,,
1530_deck,xgb,implied slice's QLIKE,all 866 days,0.10364700813811076,True,False,0.0,1.4980323951467007,1.0215325976383653,0.6882217090069284,,,,
1530_deck,lgbm,implied slice's QLIKE,all 866 days,0.10364700813811076,True,False,0.0,1.4593971219265764,0.9818045726793189,0.687066974595843,,,,
1530_deck,blk2,"(a) ridge, deck MZ map's QLIKE",the 672 named-rung days,0.09264140170521767,True,True,0.0,1.4222376782503914,1.0392506067653824,0.6636904761904762,1.4222376782503914,0.0,1.0392506067653824,0.0
1530_deck,blk2,(b) p35 C2 combination's QLIKE,the 672 named-rung days,0.08681938345170866,True,True,0.033256391873091706,1.7742148051927633,1.3933963527380173,0.6805166268405524,1.4222376782503914,-0.35197712694237193,1.0392506067653824,-0.35414574597263493
1530_deck,blk2,(c) (b) + causal recalibration's QLIKE,the 672 named-rung days,0.07691323281897107,True,True,0.08984206595572387,2.3731030750239044,1.9959745228483026,0.7091462833704555,0.5273669213957435,-1.845736153628161,0.12897431430574474,-1.8670002085425579
1530_unhedged,blk2,implied slice's QLIKE,all 866 days,0.10364700818822335,True,True,0.0306005968246041,1.6744988258824294,1.204837753780586,0.6734875735910412,,,,
1530_unhedged,a0,implied slice's QLIKE,all 866 days,0.10364700818822335,True,True,0.01983523203703165,1.041458046175568,0.5739791016597888,0.6943773642673825,,,,
1530_unhedged,xgb,implied slice's QLIKE,all 866 days,0.10364700818822335,True,False,0.0,1.4980324038023247,1.0296083181290336,0.6882217090069284,,,,
1530_unhedged,lgbm,implied slice's QLIKE,all 866 days,0.10364700818822335,True,False,0.0,1.4593971326228716,0.9908319133462176,0.687066974595843,,,,
1530_unhedged,blk2,"(a) ridge, deck MZ map's QLIKE",the 672 named-rung days,0.09264140170521767,True,True,0.0,1.422237691823618,1.026316607502023,0.6636904761904762,1.422237691823618,0.0,1.026316607502023,0.0
1530_unhedged,blk2,(b) p35 C2 combination's QLIKE,the 672 named-rung days,0.08681938345170867,True,True,0.03325639187309164,1.7742148195820868,1.3773082358577717,0.6805166268405523,1.422237691823618,-0.3519771277584689,1.026316607502023,-0.3509916283557488
1530_unhedged,blk2,(c) (b) + causal recalibration's QLIKE,the 672 named-rung days,0.07691323281897107,True,True,0.08984206595572387,2.373103090801817,1.9745196821163409,0.7091462833704555,0.5273669244043355,-1.8457361663974816,0.13285912375001308,-1.841660558366328
1530_dh,blk2,implied slice's QLIKE,all 866 days,0.10364700818822335,True,True,0.0306005968246041,1.6670781836879953,1.1923364633164164,0.6734875735910412,,,,
1530_dh,a0,implied slice's QLIKE,all 866 days,0.10364700818822335,True,True,0.01983523203703165,1.0150863994761883,0.542577597597392,0.6943773642673825,,,,
1530_dh,xgb,implied slice's QLIKE,all 866 days,0.10364700818822335,True,False,0.0,1.4647345747115923,0.9911889579160199,0.6882217090069284,,,,
1530_dh,lgbm,implied slice's QLIKE,all 866 days,0.10364700818822335,True,False,0.0,1.4884150091579376,1.014534505205261,0.687066974595843,,,,
1530_dh,blk2,"(a) ridge, deck MZ map's QLIKE",the 672 named-rung days,0.09264140170521767,True,True,0.0,1.3514721538884655,0.9496776804838054,0.6636904761904762,1.3514721538884655,0.0,0.9496776804838054,0.0
1530_dh,blk2,(b) p35 C2 combination's QLIKE,the 672 named-rung days,0.08681938345170867,True,True,0.03325639187309164,1.7538880650300963,1.351069838025492,0.6805166268405523,1.3514721538884655,-0.4024159111416308,0.9496776804838054,-0.40139215754168656
1530_dh,blk2,(c) (b) + causal recalibration's QLIKE,the 672 named-rung days,0.07691323281897107,True,True,0.08984206595572387,2.4385978098641483,2.0340376684700208,0.7091462833704555,0.6534177896354969,-1.7851800202286514,0.2528561207320417,-1.781181547737979
1500_unhedged,blk2,implied slice's QLIKE,all 866 days,0.15274354424277503,True,False,0.0,1.3584433490460244,-0.9344484118252874,0.73094688221709,,,,
1500_unhedged,a0,implied slice's QLIKE,all 866 days,0.15274354424277503,True,False,0.0,1.0819873278813108,-1.203727494460531,0.7205542725173211,,,,
1500_unhedged,xgb,implied slice's QLIKE,all 866 days,0.15274354424277503,True,False,0.0,0.9138015863832802,-1.3692555929470598,0.7217090069284064,,,,
1500_unhedged,lgbm,implied slice's QLIKE,all 866 days,0.15274354424277503,True,False,0.0,1.001352858567795,-1.282515524702268,0.7297921478060047,,,,
1500_unhedged,blk2,"(a) ridge, deck MZ map's QLIKE",the 673 named-rung days,0.13265730305332862,True,True,0.0,0.9917263129502115,-0.8593392606458627,0.6939078751857355,0.9917263129502115,0.0,-0.8593392606458627,0.0
1500_unhedged,blk2,(b) p35 C2 combination's QLIKE,the 673 named-rung days,0.10454154555575107,True,True,0.10442796861321565,1.7907917242982125,-0.07210569961959323,0.7407214105921149,0.9917263129502115,-0.799065411348001,-0.8593392606458627,-0.7872335610262695
1500_unhedged,blk2,(c) (b) + causal recalibration's QLIKE,the 673 named-rung days,0.09924171761101058,True,True,0.12703279603180864,2.0002587415003528,0.13291368375049817,0.7521413828392496,2.1833618654825058,0.183103123982153,0.3094255549630379,0.17651187121253975
