context,clock,fill,comparison,rule,n,mean_diff,t_plain,t_hac,hac_lag,dSharpe,pct_lo,pct_hi,basic_lo,basic_hi,interval
1530_deck,15:30,mid,"(b) p35 C2 combination minus (a) ridge, deck MZ map",sign(s),672,0.0,,,13,0.0,0.0,0.0,0.0,0.0,includes zero
1530_deck,15:30,mid,"(b) p35 C2 combination minus (a) ridge, deck MZ map",unit-median VRP,672,0.010725338828132706,2.1631381222692156,2.377001737864666,13,0.05277967761131319,-0.0274999932486041,0.12760110173115344,-0.022041746508527055,0.1330593484712305,includes zero
1530_deck,15:30,crossed,"(b) p35 C2 combination minus (a) ridge, deck MZ map",sign(s),672,0.0,,,13,0.0,0.0,0.0,0.0,0.0,includes zero
1530_deck,15:30,crossed,"(b) p35 C2 combination minus (a) ridge, deck MZ map",unit-median VRP,672,0.009223089746805422,1.884186929939774,2.08916227183268,13,0.05049054515146767,-0.028949464898668554,0.12478237853736626,-0.023801288234430923,0.1299305552016039,includes zero
1530_deck,15:30,mid,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",sign(s),672,-0.06305699360651704,-1.0406458626637192,-1.1073663153065831,13,-0.8948707568546479,-2.268881325999032,0.5966411906967074,-2.386382704406003,0.47913981228973634,includes zero
1530_deck,15:30,mid,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",unit-median VRP,672,-0.046470847931476454,-0.9837819300263964,-0.9696912387254264,13,-0.4113701692453833,-1.4090295132833863,0.7717600587022342,-1.5945003971930007,0.5862891747926198,includes zero
1530_deck,15:30,crossed,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",sign(s),672,-0.06377742437280294,-1.0510507569594938,-1.1184878168529286,13,-0.9102762924596377,-2.274490490656857,0.5651528261393793,-2.385705411058655,0.45393790573758164,includes zero
1530_deck,15:30,crossed,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",unit-median VRP,672,-0.04405186361411427,-0.936901679364843,-0.9254242850216287,13,-0.43012576292436977,-1.4072972261639254,0.7213735909296615,-1.581625116778401,0.5470457003151858,includes zero
1530_unhedged,15:30,mid,"(b) p35 C2 combination minus (a) ridge, deck MZ map",sign(s),672,0.0,,,13,0.0,0.0,0.0,0.0,0.0,includes zero
1530_unhedged,15:30,mid,"(b) p35 C2 combination minus (a) ridge, deck MZ map",unit-median VRP,672,0.010725338741845667,2.1631381237499254,2.3770017391078633,13,0.05277967599018618,-0.027499993511569336,0.1276010997952807,-0.022041747814908336,0.1330593454919417,includes zero
1530_unhedged,15:30,crossed,"(b) p35 C2 combination minus (a) ridge, deck MZ map",sign(s),672,0.0,,,13,0.0,0.0,0.0,0.0,0.0,includes zero
1530_unhedged,15:30,crossed,"(b) p35 C2 combination minus (a) ridge, deck MZ map",unit-median VRP,672,0.009181898278379112,1.8574208394319651,2.0794601974435794,13,0.049663922388716975,-0.03104587904076428,0.12414486393279207,-0.024817019155358125,0.13037372381819823,includes zero
1530_unhedged,15:30,mid,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",sign(s),672,-0.06305699424264517,-1.0406458728939123,-1.107366323026967,13,-0.8948707674192824,-2.268881370746771,0.5966412148865197,-2.3863827497250845,0.4791398359082062,includes zero
1530_unhedged,15:30,mid,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",unit-median VRP,672,-0.046470848651047225,-0.9837819437436138,-0.9696912566419763,13,-0.41137017914769003,-1.4090295294252249,0.7717600519549183,-1.5945004102502982,0.5862891711298448,includes zero
1530_unhedged,15:30,crossed,"(c) (b) + causal recalibration minus (a) ridge, deck MZ map",sign(s),672,-0.06305699505694007,-1.040645885396271,-1.1073663362488433,13,-0.8934574837520098,-2.2651774236839297,0.5962783167243287,-2.3831932842283483,0.47826245617991003,includes zero
