variant,family,book,sample,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero,verdict
V7_honest_blk2_R1,V7 honest,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.036464366656544824,-0.21727145930710615,0.28264061012910935,62.2,False,
V7_honest_blk2_R1,V7 honest,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,-0.06204386226736605,-0.44243732588119344,0.2675254363893983,36.7,False,no evidence
V7_honest_blk2_R1,V7 honest,exit_mid,whole,2000,21,0,2.5,97.5,865,-0.022213390244477573,-0.3134642799468145,0.25031864931042647,46.150000000000006,False,
V7_honest_blk2_R1,V7 honest,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.1057488556390656,-0.5412803550593664,0.2616968007275152,30.65,False,
V7_honest_blk2_R1,V7 honest,hold,whole,2000,21,0,2.5,97.5,865,-0.03248955088821085,-0.28662722750988107,0.1939028253299485,40.550000000000004,False,
V7_honest_blk2_R1,V7 honest,hold,daily_era,2000,21,0,2.5,97.5,489,-0.0832636056148213,-0.43229359696000796,0.21817710289482634,31.25,False,
V7_honest_blk2_R2,V7 honest,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.14236043245239205,-0.12968429174519197,0.4022893017955442,85.9,False,
V7_honest_blk2_R2,V7 honest,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.024719032399894786,-0.4031466194786892,0.41506204181646256,55.300000000000004,False,no evidence
V7_honest_blk2_R2,V7 honest,exit_mid,whole,2000,21,0,2.5,97.5,865,0.1348192791939106,-0.18830682515706346,0.45521497877621236,80.35,False,
V7_honest_blk2_R2,V7 honest,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.01433106157714216,-0.4817206780438274,0.4513771321674449,52.75,False,
V7_honest_blk2_R2,V7 honest,hold,whole,2000,21,0,2.5,97.5,865,0.08491581091400789,-0.18409639388982224,0.3379903101600655,75.5,False,
V7_honest_blk2_R2,V7 honest,hold,daily_era,2000,21,0,2.5,97.5,489,0.0058158257013703,-0.39463387838917385,0.36077951088571847,51.300000000000004,False,
V7_honest_blk2_R3,V7 honest,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.12522067400415274,-0.14316903442501402,0.3783582408624635,83.75,False,
V7_honest_blk2_R3,V7 honest,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.0033731088045340016,-0.4253887402871284,0.38816524430778593,50.5,False,no evidence
V7_honest_blk2_R3,V7 honest,exit_mid,whole,2000,21,0,2.5,97.5,865,0.12644400303603093,-0.19824463096571435,0.43245227338711245,80.2,False,
V7_honest_blk2_R3,V7 honest,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.0024168300201750687,-0.5023103003703075,0.437851754451787,49.8,False,
V7_honest_blk2_R3,V7 honest,hold,whole,2000,21,0,2.5,97.5,865,0.07649671278209484,-0.1924926302080011,0.33288130284768636,73.9,False,
