forecast,description,causal,sample,clock,h_rem,n,QLIKE,bias_log_f_over_realized,mean_f_over_mean_realized,median_forecast,median_realized
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,11:00,5.0,865,0.08944832842262501,0.16515938206383193,1.0799265106411107,3.674382835520724e-05,2.9383204838156277e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,11:30,4.5,865,0.09181623059155551,0.17381341253873148,1.0874864856136355,3.2710759868848674e-05,2.545178716617309e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,12:00,4.0,865,0.09498930560109241,0.16576692701440518,1.0761260123705176,2.8067736423054157e-05,2.2426958602680932e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,12:30,3.5,865,0.09778158815266924,0.17210310723328243,1.1016041897806332,2.489912899008683e-05,1.956155500642812e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,13:00,3.0,865,0.0996654275398869,0.17145646852734694,1.097800475142538,2.1145045596190365e-05,1.726412396688223e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,13:30,2.5,865,0.09865336244723012,0.18935123696257616,1.1114479071225871,1.858861044758075e-05,1.467090514814524e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,14:00,2.0,865,0.09339986303396004,0.19491508309033023,1.1304222437743003,1.5898815749369505e-05,1.2667522000638138e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,14:30,1.5,865,0.0871902835024857,0.2163865611564799,1.131313147408814,1.315044871068936e-05,1.0065850541811473e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,15:00,1.0,865,0.08647447879179422,0.22701246816143228,1.1965661612420238,9.698480696096468e-06,7.284856548096873e-06
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,15:30,0.5,865,0.10375912467315762,0.24840855215173574,1.1947392305941695,5.665301740007758e-06,4.252795236725389e-06
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,pooled,,8650,0.09431779927564567,0.19243731989001522,1.1047888644545656,1.8011935294800058e-05,1.4817016046441703e-05
