forecast,description,causal,sample,clock,h_rem,n,QLIKE,bias_log_f_over_realized,mean_f_over_mean_realized,median_forecast,median_realized
implied,(1) implied slice iv_hourly_used^2 h_rem,True,whole,pooled_1100_1500,,7785,0.09326876312036658,0.1862182940831574,1.1020193153654254,2.0053233540272156e-05,1.6595145368940348e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,11:00,5.0,489,0.06854064689429853,0.1352480978311958,1.1014876724095677,3.580911076617033e-05,3.0404115061711107e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,11:30,4.5,489,0.07204436952690957,0.14112459013311515,1.1151438446801707,3.2710759868848674e-05,2.6334723999582805e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,12:00,4.0,489,0.07848278870821733,0.13211150059606602,1.1111582874662616,2.7630781011349673e-05,2.257259770969819e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,12:30,3.5,489,0.08706702946081214,0.14589768321608257,1.1383177122908053,2.4225824919809324e-05,1.9584026478511127e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,13:00,3.0,489,0.09466677177630257,0.15796346165471947,1.1471971450455538,2.1145045596190365e-05,1.697958391024903e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,13:30,2.5,489,0.09434277545500953,0.18493883241878417,1.1881418486290998,1.8124936164032072e-05,1.4318275337177106e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,14:00,2.0,489,0.08732538451460686,0.17750830197446743,1.2100937796211932,1.5327174834922267e-05,1.194493458308904e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,14:30,1.5,489,0.08387445758113236,0.1938448257450969,1.1849873493769971,1.2317783705382968e-05,9.457938937683372e-06
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,15:00,1.0,489,0.0770500733473092,0.1934037170213639,1.1963576571217776,9.09775478325285e-06,6.908561569404025e-06
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,15:30,0.5,489,0.09331438918521724,0.20198599593174654,1.229434469108193,4.735446623815936e-06,3.727515800670388e-06
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,pooled,,4890,0.08367086864498155,0.16640270065226379,1.143846172934445,1.7304304360873756e-05,1.4540396071966e-05
implied,(1) implied slice iv_hourly_used^2 h_rem,True,daily_era,pooled_1100_1500,,4401,0.08259936636273311,0.16244900117676572,1.1418867437710014,1.9342237612514183e-05,1.6256968794534634e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,11:00,5.0,865,0.17939030981486523,0.07260654762587801,1.0047416523841421,3.08006792268648e-05,2.9383204838156277e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,11:30,4.5,865,0.18298751478934405,0.05524533963738308,1.002996237093054,2.7178220266535124e-05,2.545178716617309e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,12:00,4.0,865,0.21301222624513774,0.07328006581229123,0.9927028881111326,2.4565837496923766e-05,2.2426958602680932e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,12:30,3.5,865,0.2299020364465085,0.05694418842867303,0.9981528141363928,2.151565286792524e-05,1.956155500642812e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,13:00,3.0,865,0.23035556803197843,0.10742923727911441,1.0611354805614046,2.0691437376995873e-05,1.726412396688223e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,13:30,2.5,865,0.2800430927491038,-0.030114762532311313,0.8458154907866493,1.4954951808410399e-05,1.467090514814524e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,14:00,2.0,865,0.27697148136984584,0.10695083919254632,0.9398442901556765,1.4854791933082453e-05,1.2667522000638138e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,14:30,1.5,865,0.14914251050648486,0.07202594725043476,0.9813494863369537,1.1202691450108078e-05,1.0065850541811473e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,15:00,1.0,865,0.13707952013079755,-0.09252062131942955,0.8718799896476022,6.79691174791209e-06,7.284856548096873e-06
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,15:30,0.5,865,0.11011736952601549,0.15677293340188522,1.1145252025653927,4.818701386849418e-06,4.252795236725389e-06
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,pooled,,8650,0.19890016296100815,0.05786197147764652,0.9828145893358143,1.6504882435970937e-05,1.4817016046441703e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,whole,pooled_1100_1500,,7785,0.20876491778711845,0.04687186459717555,0.9787592527701583,1.842008932756053e-05,1.6595145368940348e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,11:00,5.0,489,0.17916289088958975,0.03682669481046551,0.98454046952301,2.998665361122659e-05,3.0404115061711107e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,11:30,4.5,489,0.19427904825916265,0.01907202880542541,0.9422904043685788,2.5929394466312427e-05,2.6334723999582805e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,12:00,4.0,489,0.2315019351994018,0.07667263495676149,1.0117250644154618,2.4398194429008266e-05,2.257259770969819e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,12:30,3.5,489,0.2635755431690005,0.06340770386618515,0.9410007220188863,2.1455871677329605e-05,1.9584026478511127e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,13:00,3.0,489,0.2593350377051083,0.2133473660139239,1.0422153245451893,2.289012785348839e-05,1.697958391024903e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,13:30,2.5,489,0.3145760920756419,0.050765134962887495,0.8924966373175026,1.5232456597340445e-05,1.4318275337177106e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,14:00,2.0,489,0.30543295618736604,0.2176246037063758,1.0645911099092236,1.569828319974206e-05,1.194493458308904e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,14:30,1.5,489,0.15924207150337535,0.20596949142418502,1.1178004869857194,1.1639323991128952e-05,9.457938937683372e-06
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,15:00,1.0,489,0.10654742759941507,-0.01163650333067945,0.9247492770542519,6.600231036416341e-06,6.908561569404025e-06
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,15:30,0.5,489,0.0973426987361019,0.13745518311387286,1.0563324847568414,4.181148476403664e-06,3.727515800670388e-06
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,pooled,,4890,0.21109957013241634,0.10095043383294033,0.9882223828019506,1.701260152897306e-05,1.4540396071966e-05
blk2_over_w,(2) blk2 rv_hat / w_slice (proposal 34),True,daily_era,pooled_1100_1500,,4401,0.2237392225097846,0.09689435057950337,0.9866630934357434,1.9079907382787368e-05,1.6256968794534634e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,11:00,5.0,865,0.2072861256898397,0.06678322201307854,0.9803180759613169,3.1190386086383036e-05,2.9383204838156277e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,11:30,4.5,865,0.22179801447545744,0.0403791910304257,0.9455253757481673,2.6828393551036016e-05,2.545178716617309e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,12:00,4.0,865,0.26265385423217086,0.0644823366004816,0.9733012638226924,2.4044308407499e-05,2.2426958602680932e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,12:30,3.5,865,0.2969864388250622,0.05594872489847284,1.0024125268238182,2.1337675323031582e-05,1.956155500642812e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,13:00,3.0,865,0.30033986601550844,0.12339572984946393,1.0758187832474893,2.0796812302874554e-05,1.726412396688223e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,13:30,2.5,865,0.38879629773246727,-0.009406402095499212,0.8768122086205554,1.4878283561444845e-05,1.467090514814524e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,14:00,2.0,865,0.36879877506809394,0.1352439416530174,0.9379321309665692,1.5646736825541897e-05,1.2667522000638138e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,14:30,1.5,865,0.17086172483998915,0.08224765401917271,0.9365453526821681,1.1309285242765085e-05,1.0065850541811473e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,15:00,1.0,865,0.14101303176967403,-0.0774939971829906,0.8291428005184405,7.0628567747606626e-06,7.284856548096873e-06
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,15:30,0.5,865,0.10793975046580784,0.09243246057724293,1.005580367181134,4.608457916809786e-06,4.252795236725389e-06
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,pooled,,8650,0.24664738791140708,0.05740128613628658,0.9643103386970697,1.6570710913145286e-05,1.4817016046441703e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,whole,pooled_1100_1500,,7785,0.26205934762758476,0.05350893342062476,0.9630396449278035,1.8387602085616185e-05,1.6595145368940348e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,11:00,5.0,489,0.2042797566347867,0.045831681353747766,0.99481771799481,3.095125437325313e-05,3.0404115061711107e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,11:30,4.5,489,0.23219331100223903,0.022856686752156696,0.9442500933000006,2.6828393551036016e-05,2.6334723999582805e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,12:00,4.0,489,0.2875453570019376,0.07226031223767142,1.0194195243692998,2.4892983255703686e-05,2.257259770969819e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,12:30,3.5,489,0.35303159689770625,0.06541766853266391,0.9429984571460422,2.1351534333242318e-05,1.9584026478511127e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,13:00,3.0,489,0.34810400792440443,0.2293886459815076,1.0545578476872084,2.30383929079274e-05,1.697958391024903e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,13:30,2.5,489,0.4600167297281643,0.07171136501752011,0.9160386312391078,1.558401328756407e-05,1.4318275337177106e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,14:00,2.0,489,0.42680253059780277,0.25042980344838345,1.1001354478569902,1.6604256609279336e-05,1.194493458308904e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,14:30,1.5,489,0.19178351714376518,0.2180333364187125,1.109957750562846,1.1621897357798733e-05,9.457938937683372e-06
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,15:00,1.0,489,0.11680584573643389,0.01094416296562894,0.9315696321016492,6.841043897637929e-06,6.908561569404025e-06
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,15:30,0.5,489,0.10110352680924899,0.07015309796373895,1.0019115897308932,4.0556411663546106e-06,3.727515800670388e-06
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,pooled,,4890,0.27216661794764896,0.10570267606717312,0.9967260385465827,1.7184741468105552e-05,1.4540396071966e-05
a0_over_w,(2) a0 rv_hat / w_slice (proposal 34),True,daily_era,pooled_1100_1500,,4401,0.2911736280741378,0.10965262918977695,0.9966073223123159,1.909560347781011e-05,1.6256968794534634e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,11:00,5.0,865,0.18387424171535455,0.15957037657592416,1.1368048477969637,3.413953271525824e-05,2.9383204838156277e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,11:30,4.5,865,0.18654439694852554,0.11982669926955192,1.1070838615363017,2.941498210861719e-05,2.545178716617309e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,12:00,4.0,865,0.22150230590186235,0.1292182327173352,1.0889524109148379,2.59025630293943e-05,2.2426958602680932e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,12:30,3.5,865,0.24567748527983987,0.06378204321353083,1.044428112168245,2.1943494996627336e-05,1.956155500642812e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,13:00,3.0,865,0.25128744492164673,0.09467677266585858,1.092752475571271,2.079537215103887e-05,1.726412396688223e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,13:30,2.5,865,0.35893827285429536,-0.07186597861122031,0.8484301056999916,1.4399792294631272e-05,1.467090514814524e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,14:00,2.0,865,0.34860909379544475,0.0031299558114197073,0.8969199970000087,1.3814830432612385e-05,1.2667522000638138e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,14:30,1.5,865,0.1929394281896954,-0.06812336459129677,0.9102456419591027,9.77113101508136e-06,1.0065850541811473e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,15:00,1.0,865,0.22236821820822064,-0.24403660243732173,0.8008044682100576,5.939766929808537e-06,7.284856548096873e-06
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,15:30,0.5,865,0.10932324381245968,0.03889660467438529,1.0107339359865937,4.262135696401099e-06,4.252795236725389e-06
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,pooled,,8650,0.23210641316273448,0.022507473928816694,1.0273520439667885,1.6186828706888624e-05,1.4817016046441703e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,whole,pooled_1100_1500,,7785,0.24574898753498725,0.02068645940153128,1.0278637113206306,1.819009489613984e-05,1.6595145368940348e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,11:00,5.0,489,0.18644288477638324,0.1331697962064024,1.1257847523415903,3.413953271525824e-05,3.0404115061711107e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,11:30,4.5,489,0.20132679379354884,0.09498790553417676,1.0570618264974847,2.9132130488281355e-05,2.6334723999582805e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,12:00,4.0,489,0.24651166943710356,0.1469209788985947,1.128993809205385,2.6574646154049388e-05,2.257259770969819e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,12:30,3.5,489,0.27960479772770463,0.08850295643412243,1.0056482356818854,2.222114299955109e-05,1.9584026478511127e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,13:00,3.0,489,0.2746809860982006,0.2249139241420545,1.0988069444530193,2.32339950480379e-05,1.697958391024903e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,13:30,2.5,489,0.3444827498133632,0.0326531781727833,0.9198795391839508,1.5230255885816906e-05,1.4318275337177106e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,14:00,2.0,489,0.329320026400334,0.13016495786806048,1.0302290240017244,1.4433193104892286e-05,1.194493458308904e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,14:30,1.5,489,0.16873628111193448,0.07297986838691542,1.0430638002705401,1.0184796569917547e-05,9.457938937683372e-06
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,15:00,1.0,489,0.15014025196929948,-0.15611841747377544,0.8593798196345938,5.817636438020093e-06,6.908561569404025e-06
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,15:30,0.5,489,0.09714227248568875,0.029101774188257195,0.9849197198848457,3.786019011515419e-06,3.727515800670388e-06
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,pooled,,4890,0.22783887136135605,0.07972769223575916,1.0509428562935612,1.6951438002564544e-05,1.4540396071966e-05
blk2_ft_remaining,(3) experiments/ft_remaining.py F_rem = f_next / w_next,True,daily_era,pooled_1100_1500,,4401,0.24236071568087467,0.08535279424103719,1.0524543673847344,1.9319728185251148e-05,1.6256968794534634e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,11:00,5.0,865,0.17845153190022792,0.10642419335870161,1.07190609757885,3.1941119517795025e-05,2.9383204838156277e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,11:30,4.5,865,0.1820431330017853,0.07076496777967867,1.0448385784271064,2.759093028244783e-05,2.545178716617309e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,12:00,4.0,865,0.20626892343779438,0.1627206447559219,1.1108587401854018,2.6880005520818764e-05,2.2426958602680932e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,12:30,3.5,865,0.2199749274623475,0.12039704508546896,1.0544730137396363,2.2979371710986516e-05,1.956155500642812e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,13:00,3.0,865,0.2232809271647304,0.19387204306824685,1.15078923488478,2.259677760811374e-05,1.726412396688223e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,13:30,2.5,865,0.2429401122602438,0.1350576140479841,0.9549701055305447,1.7630451002022805e-05,1.467090514814524e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,14:00,2.0,865,0.2671658811702979,0.15339949571028913,0.9386857401347107,1.5601013790199504e-05,1.2667522000638138e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,14:30,1.5,865,0.1406300834467271,0.17251373763647582,0.9899926308636792,1.245955427097474e-05,1.0065850541811473e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,15:00,1.0,865,0.11106260449331964,0.04606484528529845,0.8957397732982457,7.863307614961719e-06,7.284856548096873e-06
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,15:30,0.5,865,0.10911385535873339,0.10505719359631288,1.0836319554253067,4.5627479893312634e-06,4.252795236725389e-06
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,pooled,,8650,0.18809319796962073,0.12662717803243784,1.0435733041413569,1.7691694121157623e-05,1.4817016046441703e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,whole,pooled_1100_1500,,7785,0.19686868048194156,0.12902384296978506,1.0423399083705887,1.973027351424478e-05,1.6595145368940348e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,11:00,5.0,489,0.17588152418143718,0.07331090031097982,1.026874686645044,3.110595873660463e-05,3.0404115061711107e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,11:30,4.5,489,0.1920336606891088,0.040193694201539856,0.968093962639005,2.6505394572453762e-05,2.6334723999582805e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,12:00,4.0,489,0.22280066333781112,0.16710134893862824,1.1115966557964514,2.6681230805156648e-05,2.257259770969819e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,12:30,3.5,489,0.25116870052526596,0.13130342073369167,0.9969111158143368,2.2932073256361108e-05,1.9584026478511127e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,13:00,3.0,489,0.2580672801716073,0.3014250736331548,1.1320484193590286,2.50034391309469e-05,1.697958391024903e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,13:30,2.5,489,0.2836845736718736,0.21913591312154335,1.0361914819029747,1.8113772224101607e-05,1.4318275337177106e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,14:00,2.0,489,0.29748514892342154,0.2636488334299713,1.090461740112869,1.6427035010868943e-05,1.194493458308904e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,14:30,1.5,489,0.16269806010628568,0.2989622314188189,1.1742562577038527,1.2826760380394617e-05,9.457938937683372e-06
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,15:00,1.0,489,0.09800839998338874,0.134518870158893,1.0227964190496157,7.706355178979896e-06,6.908561569404025e-06
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,15:30,0.5,489,0.09663735319185851,0.08508650612903552,1.002477811910952,3.9728291604327654e-06,3.727515800670388e-06
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,pooled,,4890,0.20384653647820583,0.17146867920762565,1.0521675649874342,1.8343827684983584e-05,1.4540396071966e-05
blk2_R1,(3) honest rest-of-session regression R1 on blk2,True,daily_era,pooled_1100_1500,,4401,0.21575866795446666,0.1810666984385801,1.0533051451900437,2.052545687243389e-05,1.6256968794534634e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,11:00,5.0,865,0.18766609395728154,0.10264566780469093,1.0434884112824074,3.1986229797393965e-05,2.9383204838156277e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,11:30,4.5,865,0.1947265687333957,0.0810209014032436,1.0287576441480009,2.7557909337594512e-05,2.545178716617309e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,12:00,4.0,865,0.21998210034712073,0.15383795435438938,1.0922996069258992,2.6377722686705264e-05,2.2426958602680932e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,12:30,3.5,865,0.2358005761722596,0.12581538863458266,1.0584505214518989,2.3263840990462983e-05,1.956155500642812e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,13:00,3.0,865,0.2460581889712459,0.1817964017541884,1.1263695372279223,2.181964738682002e-05,1.726412396688223e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,13:30,2.5,865,0.2635787040670527,0.14555848459416104,0.9836230923335059,1.762684203708173e-05,1.467090514814524e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,14:00,2.0,865,0.30459900345828916,0.1630920343711702,0.9909372991867534,1.565595073210852e-05,1.2667522000638138e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,14:30,1.5,865,0.1403367860782854,0.14324897604751619,0.9955080331171755,1.218506938874099e-05,1.0065850541811473e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,15:00,1.0,865,0.10788278299385282,0.06578140028560872,0.9332840344861192,8.02686570796312e-06,7.284856548096873e-06
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,15:30,0.5,865,0.10389921445254399,0.10646751188319165,1.0290039160791256,4.5551110682305875e-06,4.252795236725389e-06
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,pooled,,8650,0.20045300192313276,0.1269264721132743,1.0395108553224266,1.7746541385705752e-05,1.4817016046441703e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,whole,pooled_1100_1500,,7785,0.21118120053097594,0.12919968991661682,1.0398343613320165,1.971587034484867e-05,1.6595145368940348e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,11:00,5.0,489,0.193367452881147,0.08352164729487054,1.041162554558148,3.18894819788331e-05,3.0404115061711107e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,11:30,4.5,489,0.20937906246610927,0.061818566753353336,1.000388714100172,2.691746105558869e-05,2.6334723999582805e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,12:00,4.0,489,0.24240701653849542,0.16066270635947522,1.1106789638162518,2.642123716829943e-05,2.257259770969819e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,12:30,3.5,489,0.2756763173227408,0.1404588176992076,1.0270431539469582,2.3332933669991452e-05,1.9584026478511127e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,13:00,3.0,489,0.2899889470079953,0.2689930097682574,1.1273473078958989,2.3379618777528037e-05,1.697958391024903e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,13:30,2.5,489,0.3156009232014651,0.22655681500572955,1.0562877189755682,1.829603033929747e-05,1.4318275337177106e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,14:00,2.0,489,0.36441975547696936,0.26645465656170175,1.1045813111273148,1.683580849685902e-05,1.194493458308904e-05
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,14:30,1.5,489,0.168754932372921,0.2596830272642469,1.1276399446965588,1.2552715506814316e-05,9.457938937683372e-06
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,15:00,1.0,489,0.0997543287880733,0.17204469915370738,1.08572619012273,8.02944265389774e-06,6.908561569404025e-06
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,15:30,0.5,489,0.09428686002802814,0.14753052288891041,1.092260698466527,4.22997805541268e-06,3.727515800670388e-06
blk2_R2,(3) honest rest-of-session regression R2 on blk2,True,daily_era,pooled,,4890,0.22536355960839444,0.178772446874946,1.0673837749972745,1.8425303515045617e-05,1.4540396071966e-05
