variant,family,causal,description,book,sample,n_fallback_stamps,n,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,sd_diff_vs_V0,mean_abs_diff_vs_V0,mean_turnover,mean_hedge_cost_prem,mean_choppy,Sharpe_choppy,n_choppy,mean_trend,Sharpe_trend,n_trend
V0_implied,V0 implied,True,the book: the re-inverted implied total volatility,exit_crossed,whole,0,865,0.045907840134738226,0.3235290821279116,2.2525467094164875,4.1733190592707805,-6.070172381929872,-2.2028675866604797,2024-04-04,0.0,0.0,2.055879436038417,0.027304525433073885,0.12584545974759756,6.685120907537402,289,-0.03720762561642831,-1.6960726358632812,289
V0_implied,V0 implied,True,the book: the re-inverted implied total volatility,exit_crossed,daily_era,0,489,0.05329332369079943,0.33663382173958073,2.5131321677178393,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,0.0,2.1241286608815755,0.02751042629616354,0.138739040224809,6.956786089265507,156,-0.04658701949249328,-1.95485279284015,169
V0_implied,V0 implied,True,the book: the re-inverted implied total volatility,exit_mid,whole,0,865,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,2024-04-04,0.0,0.0,2.055879436038417,0.027304525433073885,0.15430804645601431,8.255378965673808,289,0.011279401370186935,0.525372451174444,289
V0_implied,V0 implied,True,the book: the re-inverted implied total volatility,exit_mid,daily_era,0,489,0.0809156106804417,0.3311635003389521,3.8787351170811952,5.403115873185777,-2.1319712654000185,-2.041976485629983,2024-04-04,0.0,0.0,2.1241286608815755,0.02751042629616354,0.15904871370297435,8.026812078360704,156,-0.01316036757084183,-0.5635732268122372,169
V0_implied,V0 implied,True,the book: the re-inverted implied total volatility,hold,whole,0,865,0.10280158963047407,0.38849110201440484,4.200674442231098,7.782637597821875,-3.475653002635873,-2.297983622740885,2023-11-30,0.0,0.0,2.3527384483566958,0.031198119965995745,0.1709049311126802,6.046639196881415,289,0.029993752544086687,1.3566875194060593,289
V0_implied,V0 implied,True,the book: the re-inverted implied total volatility,hold,daily_era,0,489,0.09534612514974292,0.4042389863021925,3.744252447208741,5.21578020154985,-2.995115867154505,-2.297983622740885,2023-11-30,0.0,0.0,2.415577139858137,0.03128208007765915,0.18022229127411846,5.917127796835041,156,0.0002802606208662742,0.011754346031421526,169
V7_honest_blk2_R1,V7 honest,True,sqrt(F_rem) of the blk2_R1 rest-of-session regression,exit_crossed,whole,13,865,0.04786465274233913,0.3319458845886021,2.2890110760730322,4.240877008553625,-6.142667362449119,-2.0473789651363483,2024-04-04,0.07403519755584732,0.05061191851150331,2.1371632228146025,0.02820986432458374,0.12873056290351098,6.965081448521454,289,-0.03325076068289181,-1.4463836608851215,289
V7_honest_blk2_R1,V7 honest,True,sqrt(F_rem) of the blk2_R1 rest-of-session regression,exit_crossed,daily_era,13,489,0.053544724029683466,0.34678315788241004,2.4510883054504733,3.4143899312530053,-2.7311377444959053,-2.0473789651363483,2024-04-04,0.07702151757936897,0.051183117025824336,2.1469799358881736,0.027295015423824193,0.15766586513311553,8.083071070393643,156,-0.062350356698446234,-2.5309832435169155,169
V7_honest_blk2_R1,V7 honest,True,sqrt(F_rem) of the blk2_R1 rest-of-session regression,exit_mid,whole,13,865,0.08683634356388359,0.3248173652414477,4.243874763187392,7.862675326699965,-3.3681999542724057,-1.8864878641058511,2024-04-04,0.07403519755584732,0.0506119185115033,2.1371632228146025,0.02820986432458374,0.15719314961192776,8.57546066669622,289,0.015236266303723435,0.6730434449186541,289
V7_honest_blk2_R1,V7 honest,True,sqrt(F_rem) of the blk2_R1 rest-of-session regression,exit_mid,daily_era,13,489,0.08116701101932575,0.34150306034376054,3.7729862614421297,5.255806685208889,-2.1244365756492485,-1.8864878641058511,2024-04-04,0.07702151757936897,0.05118311702582434,2.1469799358881736,0.027295015423824193,0.17797553861128093,9.180427004354712,156,-0.028923704776794762,-1.195303575963231,169
V7_honest_blk2_R1,V7 honest,True,sqrt(F_rem) of the blk2_R1 rest-of-session regression,hold,whole,13,865,0.10397260983428001,0.39597907859873405,4.168184891342888,7.722443835187739,-3.4326446217591595,-2.435784070054431,2023-11-30,0.07951586445885166,0.05628257176265333,2.428337147702712,0.0320238962104987,0.1710769088274556,6.087308782039624,289,0.03433885639867642,1.4804552117922027,289
V7_honest_blk2_R1,V7 honest,True,sqrt(F_rem) of the blk2_R1 rest-of-session regression,hold,daily_era,13,489,0.09530837280809638,0.4132690863968886,3.66098884159392,5.099793186304875,-2.7783852727380633,-2.435784070054431,2023-11-30,0.07981603519408287,0.05513850792345212,2.4495732784192445,0.031239011703612953,0.19734638319708186,6.509615375923862,156,-0.015931501621761865,-0.6465565840880536,169
V7_honest_blk2_R2,V7 honest,True,sqrt(F_rem) of the blk2_R2 rest-of-session regression,exit_crossed,whole,13,865,0.04880931179879462,0.3235297897597355,2.3949071418688797,4.437071861179826,-5.329313288313337,-1.6904591414686718,2024-04-04,0.0750163928889468,0.04778340925032432,2.1248680993421267,0.028125012648341118,0.12799381014194094,6.924042630210181,289,-0.029492120444516788,-1.348555755297017,289
V7_honest_blk2_R2,V7 honest,True,sqrt(F_rem) of the blk2_R2 rest-of-session regression,exit_crossed,daily_era,13,489,0.05401873759414359,0.3378924953641,2.537851200117734,3.5352514902998613,-3.067707510000761,-1.6904591414686718,2024-04-04,0.07883631059375497,0.047765457040886666,2.1344566844842876,0.027240796853604553,0.1570340885675646,8.039531075645382,156,-0.057867181172844714,-2.4805625379386647,169
V7_honest_blk2_R2,V7 honest,True,sqrt(F_rem) of the blk2_R2 rest-of-session regression,exit_mid,whole,13,865,0.08778100262033907,0.31663474816250453,4.40090743262578,8.153611549933782,-3.04732981643901,-1.6017826610498935,2023-07-27,0.0750163928889468,0.04778340925032433,2.1248680993421267,0.028125012648341118,0.15645639685035775,8.535778185444498,289,0.01899490654209844,0.8814870892851281,289
V7_honest_blk2_R2,V7 honest,True,sqrt(F_rem) of the blk2_R2 rest-of-session regression,exit_mid,daily_era,13,489,0.08164102458378587,0.3329024032727567,3.893066178658337,5.423079181828861,-2.1495503129704012,-1.6017826610498935,2023-07-27,0.07883631059375497,0.04776545704088667,2.1344566844842876,0.027240796853604553,0.1773437620457299,9.134961707117444,156,-0.024440529251193263,-1.0658263891602167,169
V7_honest_blk2_R2,V7 honest,True,sqrt(F_rem) of the blk2_R2 rest-of-session regression,hold,whole,13,865,0.10495593603056486,0.3887734789667621,4.285590253145106,7.939962092199468,-3.1001542540968074,-2.3328798169991947,2023-11-30,0.0813287461186027,0.053884843003514545,2.4184335782319,0.03197849156314602,0.17104069880859793,6.104547265906508,289,0.037920231355808624,1.7173736484068252,289
V7_honest_blk2_R2,V7 honest,True,sqrt(F_rem) of the blk2_R2 rest-of-session regression,hold,daily_era,13,489,0.09574960916381955,0.40532006706508833,3.7500682729101116,5.223881703512275,-2.932962095221848,-2.3328798169991947,2023-11-30,0.08119133059747084,0.05124126339480597,2.4331027092592397,0.031125911051900733,0.19727585613460416,6.535518056594269,156,-0.011338196509161957,-0.4858555936157315,169
V7_honest_blk2_R3,V7 honest,True,sqrt(F_rem) of the blk2_R3 rest-of-session regression,exit_crossed,whole,13,865,0.048235096029208474,0.32202830970373797,2.37776738342064,4.4053168346117575,-5.387084974363201,-1.7171982501402057,2024-04-04,0.07323015387624648,0.045560272482023816,2.1216970624547913,0.02807984883246542,0.12660123194750134,6.818288606043866,289,-0.029733375700766045,-1.3754280795634086,289
V7_honest_blk2_R3,V7 honest,True,sqrt(F_rem) of the blk2_R3 rest-of-session regression,exit_crossed,daily_era,13,489,0.05338102537949418,0.3367358356878373,2.516505276522373,3.5055164104028105,-3.0418996527912623,-1.7171982501402057,2024-04-04,0.07705794412579939,0.04566849568165356,2.1347854449418744,0.027241843449290374,0.15511112371807492,7.913492584859774,156,-0.05732532584162409,-2.480235780890425,169
V7_honest_blk2_R3,V7 honest,True,sqrt(F_rem) of the blk2_R3 rest-of-session regression,exit_mid,whole,13,865,0.08720678685075292,0.31516327588546267,4.3925321564679,8.138094579976968,-3.095760307366149,-1.59150439638272,2023-07-27,0.07323015387624648,0.045560272482023816,2.1216970624547913,0.02807984883246542,0.15506381865591812,8.421823756397963,289,0.0187536512858492,0.8809375758033969,289
V7_honest_blk2_R3,V7 honest,True,sqrt(F_rem) of the blk2_R3 rest-of-session regression,exit_mid,daily_era,13,489,0.08100331236913647,0.3317291368202505,3.87631828706102,5.399749205380261,-2.104321768918167,-1.59150439638272,2023-07-27,0.07705794412579939,0.04566849568165356,2.1347854449418744,0.027241843449290374,0.1754207971962403,9.004781256807401,156,-0.023898673919972642,-1.0523659469771294,169
V7_honest_blk2_R3,V7 honest,True,sqrt(F_rem) of the blk2_R3 rest-of-session regression,hold,whole,13,865,0.10437550720950306,0.38738450022356785,4.2771711550131934,7.9243639327700075,-3.1031481897925346,-2.3413111517987213,2023-11-30,0.07967441861739986,0.05183783916943318,2.4152741202735015,0.031935139477186215,0.16964594935503235,6.047544760402972,289,0.037681813286550195,1.7272583276862552,289
V7_honest_blk2_R3,V7 honest,True,sqrt(F_rem) of the blk2_R3 rest-of-session regression,hold,daily_era,13,489,0.09511206907096727,0.40399057264385724,3.737357727865839,5.206175790215149,-2.9063378554971013,-2.3413111517987213,2023-11-30,0.07949969191763073,0.049321938913245225,2.431991659587004,0.031109983823567423,0.1953556908536587,6.4684532181070615,156,-0.010787725253833563,-0.4667664211097359,169
